task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T22:44:27,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,90.00330141299855,0.0007222087796550439,8.024246998902346e-06,12.124802342939248,18.933043250602395,20.0,0.00039968210030097776,0.000979028283222022,0.0005170995118833364,0.0018958098954063364,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T22:44:28,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,0.6608889550007007,8.699588670332673e-06,1.3163318291262939e-05,20.244569897596975,35.22243760762119,20.0,6.719636764598164e-06,1.2446121067988258e-05,3.670805155555506e-06,2.283656298814182e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T22:44:29,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,0.47739875500155904,5.2626720198285836e-06,1.1023797292721992e-05,22.633238542946724,39.99700838394972,20.0,3.968007341068752e-06,7.197227980010323e-06,2.649365072223504e-06,1.381460039330258e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T22:44:33,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,4.399687623999853,5.6670249010784416e-05,1.2880527101014171e-05,23.932800057558232,47.048867043456895,20.0,3.2350661158284805e-05,9.196868468600017e-05,2.44409875611079e-05,0.00014876033340539287,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T22:44:33,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,0.34360996299983526,4.789542191606226e-06,1.3938613436800164e-05,25.485247311000133,52.32131048373458,20.0,3.1923533872144083e-06,7.47945042800513e-06,1.9008230166643603e-06,1.2572626831883899e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T22:44:38,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,4.141178776000743,5.294220207339756e-05,1.278434618662405e-05,26.382493521633222,55.55640916606459,20.0,2.9738632402000198e-05,8.62309023179908e-05,2.3004614311109115e-05,0.0001389741490311,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T22:44:38,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,0.35871824599962565,4.924150787366977e-06,1.3726332324425501e-05,27.316743564428332,58.080105109423705,20.0,3.3921924359747724e-06,7.543617145999715e-06,1.9901670222174537e-06,1.292597660419205e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T22:44:42,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,4.1541316189996,5.3464250366168906e-05,1.2870163651178223e-05,27.842149259693905,60.16217701291623,20.0,2.863210096121574e-05,8.863618201998547e-05,2.3076251383332032e-05,0.00014034453436453324,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T22:44:42,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,0.35223045499878936,4.105983199619934e-06,1.1656820151514817e-05,28.44759866170375,59.75358350945434,20.0,3.3362096134061103e-06,5.485837722030151e-06,1.956225927774e-06,1.0778273263210153e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T22:44:47,sac_Ant-v5_seed85062,f5baebbd-825a-427a-a642-f3bf0e8b79c1,4.191794585000025,5.289308560969678e-05,1.2618307190985674e-05,28.75071158878884,61.21934225520956,20.0,2.7178195075871353e-05,8.837368180997229e-05,2.329334062221985e-05,0.0001388452175080635,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
