task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T12:58:41,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,90.00277419800022,0.0005915123873414703,6.572156810155262e-06,19.077463697757207,12.609798842465326,20.0,0.0003838776846019007,0.0006518855215079944,0.0005169665152222225,0.0015527297213321178,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T12:58:42,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,0.6638262810001834,7.54400675110603e-06,1.1364192341860035e-05,25.265025147983668,24.93570522387842,20.0,6.966336961948538e-06,9.147785096003114e-06,3.6890194333358793e-06,1.980314149128753e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T12:58:43,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,0.49003326299953187,5.837207330637974e-06,1.1911906826561193e-05,27.31660738805704,33.45877806997608,20.0,4.574424215093853e-06,8.028617534003302e-06,2.719723261108975e-06,1.532276501020613e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T12:58:47,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,4.582140409000203,8.00791727501571e-05,1.7476391509813166e-05,28.25121835703619,50.5849405148878,20.0,3.318762127230146e-05,0.00015156762125399792,2.545389975000241e-05,0.00021020914227630168,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T12:58:48,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,0.36559195700010605,4.729797667464932e-06,1.2937156938588808e-05,27.943727811014654,54.78246954161009,20.0,2.6967149351492248e-06,7.689728374005167e-06,2.0293531666690495e-06,1.2415796475823441e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T12:58:52,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,4.379069755999808,7.633307219606904e-05,1.7431376694514963e-05,27.67886111619356,64.08556555125443,20.0,3.0209161945085605e-05,0.00014584067222800368,2.4325732688885212e-05,0.00020037556686197428,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T12:58:52,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,0.3661866780003038,3.7519795499235675e-06,1.0245362197076713e-05,27.538669169868434,62.30169022060954,20.0,2.726350792195409e-06,5.08250406598687e-06,2.0401530166660976e-06,9.849007874848485e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T12:58:57,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,4.36568909899961,7.727475983354212e-05,1.7700504143476518e-05,27.388554984834975,68.9972014396027,20.0,2.9978364538225943e-05,0.00014861761889399527,2.4251528927778836e-05,0.00020284751236000027,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T12:58:57,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,0.36294059499959985,4.564637705990423e-06,1.2576491230720585e-05,27.294430254145972,69.35416944320077,20.0,2.681320478384319e-06,7.2916725000066185e-06,2.0092558888892614e-06,1.1982248867280307e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T12:59:02,sac_Ant-v5_seed85062,0a245709-b98a-47bb-9186-8dadb703b9f5,4.37268370899983,7.662226344966685e-05,1.7522970682059443e-05,27.186662981035422,74.03414082744811,20.0,3.008351434456713e-05,0.0001467603951860047,2.4290789116669957e-05,0.000201134698647242,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
