task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T13:57:14,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,90.0027386189995,0.0005923215272332596,6.581150017356424e-06,10.963525661902118,12.682235452656263,20.0,0.0003817458320630948,0.0006559158025100098,0.0005171920922499946,0.001554853726823099,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T13:57:16,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,0.6691191979989526,8.048320030083355e-06,1.202812568215387e-05,19.393554049714833,27.554198738553925,20.0,6.760140408110238e-06,1.0650008519991205e-05,3.7168231944431293e-06,2.1126972122544573e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T13:57:16,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,0.4851855279994197,5.812378225323028e-06,1.1979918332782854e-05,22.763690747745308,35.72946074328729,20.0,4.448437725408649e-06,8.115839825989513e-06,2.69331065000085e-06,1.525758820139912e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T13:57:21,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,4.718117820000771,9.0550034183764e-05,1.919200355666288e-05,24.433813830080812,56.0429089649346,20.0,3.15657674748171e-05,0.000179920977270015,2.6208580583331957e-05,0.00023769532532816394,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T13:57:21,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,0.3622831579996273,5.040443296631708e-06,1.3913261229740422e-05,24.804437614495654,60.832633163854844,20.0,2.6972916022799387e-06,8.52361792999523e-06,2.010336816672632e-06,1.3231246348947802e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T13:57:26,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,4.483854856000107,8.922222145215676e-05,1.9898591401733885e-05,25.009639808947185,72.63588738412125,20.0,3.0623640610003e-05,0.00017867625405201815,2.4909900461110124e-05,0.00023420979512313116,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T13:57:26,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,0.37170833600066544,4.6459286158867215e-06,1.2498279350776768e-05,25.185581429259596,72.51078577755982,20.0,2.7420844158909663e-06,7.390561468006984e-06,2.0629929555474784e-06,1.219563883944532e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T13:57:30,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,4.434358550999605,8.925416150654618e-05,2.0127892503660457e-05,25.328552638002453,80.40078757775377,20.0,3.289438187104726e-05,0.00017676680807998668,2.4632448338888927e-05,0.0002342936382899231,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T13:57:31,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,0.3528904129998409,4.226861767304513e-06,1.1977461729967736e-05,26.202852514063306,78.25547455105061,20.0,3.3593351874694477e-06,5.776671287982538e-06,1.9595750111067083e-06,1.1095581486558585e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T13:57:35,sac_Ant-v5_seed85062,7c20dba2-9db6-4b17-8cc4-4e2d035a6240,4.454617748999226,9.017393886582171e-05,2.024282535773493e-05,26.785061386902477,84.28240564110042,20.0,3.311446399154733e-05,0.00017884875418999746,2.474485076666799e-05,0.000236708068948213,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
