task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-07T13:49:06,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,90.0036413759999,0.000625215566936966,6.946558318864141e-06,11.130780750381565,13.336521039251386,20.0,0.00043455852736876827,0.0006895811072199914,0.0005170614861277803,0.0016412011207165402,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-07T13:49:07,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,0.6649455619999571,8.174881763489054e-06,1.2293896001062335e-05,19.9130902416904,28.447170584944956,20.0,6.945601945362867e-06,1.082417532601021e-05,3.6894214777778885e-06,2.1459198749150966e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-07T13:49:07,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,0.48492811100004474,5.8514080110376844e-06,1.2066700205749225e-05,23.09079206212446,36.66974151229076,20.0,4.412410196594219e-06,8.25611771597401e-06,2.6915141166682695e-06,1.5360042029236498e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-07T13:49:12,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,4.503163668000525,6.590853376763951e-05,1.4636064144330288e-05,24.667757849802776,48.122387323798705,20.0,3.051308246600909e-05,0.00011748398287601824,2.5013917116666518e-05,0.00017301098245869396,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-07T13:49:12,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,0.3669464879994848,3.6774624617661464e-06,1.002174582100177e-05,24.781322610515762,48.28405359548387,20.0,2.60319569366646e-06,5.009726229993072e-06,2.040477372222292e-06,9.653399295881824e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-07T13:49:16,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,4.239035229000365,6.407758314536213e-05,1.5116087877600654e-05,24.873016459041583,55.261038964374436,20.0,3.0299171739321673e-05,0.00011435703593000446,2.354849936666854e-05,0.00016820470703599456,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-07T13:49:17,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,0.3557400720001169,4.020925225918536e-06,1.1302283293178236e-05,25.817777358199514,55.13674474214464,20.0,3.2226334114315858e-06,5.358059841989449e-06,1.974301433331927e-06,1.0554994686752962e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-07T13:49:21,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,4.261297336000098,6.422102372289934e-05,1.5070791302423404e-05,26.396374373996178,59.78991060932439,20.0,3.0081734343150035e-05,0.0001148278696399968,2.3671636922219675e-05,0.00016858124090536651,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-07T13:49:21,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,0.35373283899934904,4.739229561895233e-06,1.339725973782234e-05,26.98420183979419,61.2296850392701,20.0,3.1898442185429587e-06,7.286672496012447e-06,1.96403863889018e-06,1.2440555353445803e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-07T13:49:26,sac_Ant-v5_seed958,644a72ad-bd5b-4444-a644-39fedb8c79be,4.279139713999939,6.30976166427202e-05,1.4745423570910189e-05,27.329475555046262,64.2568519896625,20.0,2.9506970550000067e-05,0.00011235425654999853,2.3771051788884934e-05,0.00016563227888888353,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
