task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T14:06:03,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,90.00401588599198,0.0006501965941859416,7.224083894212018e-06,17.91779705555103,14.471334270853479,20.0,0.00044165753082574255,0.0007481394874002678,0.0005169797088666302,0.0017067767270926408,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T14:06:04,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,0.6748636039992562,8.256376264451884e-06,1.2234063697719286e-05,24.283038393524123,29.14646556320392,20.0,6.9612675134556046e-06,1.0963897659976851e-05,3.7479579777735137e-06,2.167312315120586e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T14:06:04,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,0.49676060999627225,6.023963082146225e-06,1.2126668576832908e-05,26.692121503106687,37.0067678532088,20.0,4.699766537580308e-06,8.355562239881209e-06,2.757673144434332e-06,1.581300192189574e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T14:06:13,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,8.484019135008566,0.00012869695808069104,1.5169349189991667e-05,27.97919085674253,48.91615707540611,20.0,6.315757663713506e-05,0.00022754184870010796,4.7132201072236086e-05,0.000337831626409479,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T14:06:13,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,0.36204994899162557,5.025239483687628e-06,1.3880093933135205e-05,29.000110624345933,53.59285377224197,20.0,3.4488533146304068e-06,7.733617298111284e-06,2.0088654777888947e-06,1.3191336090530477e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T14:06:21,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,8.211053430000902,0.0001257154970779657,1.5310525531203408e-05,29.60235526271479,60.019564354085496,20.0,5.95553387553599e-05,0.00022483545764595547,4.561444596110954e-05,0.0003300052423624248,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T14:06:22,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,0.359875110007124,4.992421073462443e-06,1.3871856687861292e-05,30.18662936462005,62.10791973013369,20.0,3.4454283119045304e-06,7.662783907846915e-06,1.996975005507306e-06,1.3105187225258969e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T14:06:30,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,8.200786178000271,0.0001247049787742563,1.5206480378018967e-05,30.521681596555457,66.21770230991909,20.0,5.6067033186918414e-05,0.00022572851391600146,4.555706813334835e-05,0.0003273526152362681,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T14:06:30,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,0.3616072060103761,4.148969159610029e-06,1.147382467359099e-05,30.863623444327704,65.03377038149151,20.0,3.4279996868474827e-06,5.456671032133542e-06,2.006441394445985e-06,1.0891112113426901e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T14:06:39,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,8.375569834999624,0.0001258423567078162,1.5024949496916581e-05,31.044218137577662,68.01703977927855,20.0,5.614159769101734e-05,0.0002276637932421277,4.653286003894106e-05,0.00033033825097208633,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T14:06:39,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,0.3647972530015977,5.066286014334363e-06,1.3888083487938922e-05,31.31274131374616,68.70658468312705,20.0,3.507006138936397e-06,7.758617317943362e-06,2.033460450022429e-06,1.3299083906902296e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T14:06:47,sac_Ant-v5_seed958,24d4eba6-00eb-4109-96bc-3901e5ac320c,8.1407975829934,0.00012474887467472527,1.5323942531905072e-05,31.462360252036447,71.08486927893037,20.0,5.6972521966874856e-05,0.00022527156910601143,4.522375162228454e-05,0.0003274678426951707,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
