task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T15:50:09,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,90.003919484996,0.000651603235596864,7.239720652955404e-06,17.895116993413893,14.519122036421702,20.0,0.00044277684588785865,0.0007506708783140414,0.0005170214596722669,0.0017104691838741672,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T15:50:11,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,0.6763512780016754,8.284896396498482e-06,1.2249308224806212e-05,24.13256431341688,29.362396965873234,20.0,6.900504131511498e-06,1.1091397762008626e-05,3.7560870722194934e-06,2.174798896573951e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T15:50:11,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,0.49530973900982644,5.973667972673205e-06,1.2060667359199313e-05,26.386063760668456,37.20959656615617,20.0,4.578916996463012e-06,8.353062237898001e-06,2.748997200008774e-06,1.5680976434369895e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T15:50:29,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,17.876424446993042,0.0002628213524682177,1.4702128486286058e-05,27.637776581420958,48.73262192739918,20.0,0.00011974418746193982,0.0004708559322401662,9.931024246672879e-05,0.0006899103621688348,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T15:50:29,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,0.3750480599992443,4.81711945288395e-06,1.2844263460709094e-05,27.54256087323368,52.982286123323235,20.0,2.8352814348889255e-06,7.728061738099257e-06,2.0816744221923778e-06,1.2645017595180452e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T15:50:47,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,17.515965725993738,0.0002629156558595153,1.5010062767994868e-05,27.459633101718346,59.221778963772,20.0,0.00012256263332781347,0.0004702870428958672,9.730823389448532e-05,0.000690157910118166,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T15:50:47,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,0.3585657679941505,5.063855869522852e-06,1.4121730696065307e-05,28.31389579591128,61.70327666761044,20.0,3.4347135811074736e-06,7.868339628069876e-06,1.9896515277246585e-06,1.32927047369019e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T15:51:05,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,17.536363591003465,0.00026626990207758035,1.518387798172809e-05,28.927478220892194,65.67304310296514,20.0,0.00012694362766593054,0.00047459760190005085,9.742163190555098e-05,0.0006989628614715326,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T15:51:05,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,0.3606292320037028,5.1260482528639895e-06,1.4214522536505029e-05,29.512822075300733,67.05000726776981,20.0,3.503598358434168e-06,7.951117471760583e-06,2.001244933328241e-06,1.3455960763522883e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T15:51:23,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,17.508690604998264,0.00026889146728026813,1.5357606506611835e-05,29.952344243532362,69.87721871841032,20.0,0.00013123579887744374,0.0004773409374281279,9.726777683333947e-05,0.0007058445131389109,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T15:51:23,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,0.3615709260047879,5.121448697701682e-06,1.4164700718644516e-05,30.336618378877375,70.6544616692877,20.0,3.4906961258879265e-06,7.946950802084629e-06,2.0062399277877415e-06,1.3443886855759972e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T15:51:40,sac_Ant-v5_seed958,29a334cc-46c2-4c89-b20a-fa4f4b92f233,17.187558992998675,0.00026670328892184703,1.551723195936067e-05,30.629662981606813,72.88007488457791,20.0,0.00012916062416175322,0.0004754553803640871,9.548450452218982e-05,0.0007001005090480298,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
