task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T12:24:27,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,90.00354960700042,0.0006231927387331596,6.9240904302312965e-06,10.412620495485069,13.850068165336578,20.0,0.00040119821095831523,0.0007170039069359993,0.0005176890456000011,0.0016358911634943157,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T12:24:28,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,0.6682864829999744,7.57708237964633e-06,1.1337959074047868e-05,19.416235805358422,25.76573760102397,20.0,6.9705077986280395e-06,9.207229588005517e-06,3.712228172222877e-06,1.9889965558856325e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T12:24:29,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,0.48363935999987007,5.757318733385069e-06,1.190422028922922e-05,22.783510179715375,34.2079073837742,20.0,4.436061326627827e-06,7.992506393994514e-06,2.684488411114263e-06,1.5113056131736604e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T12:24:33,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,4.5624002650001785,8.01529870707177e-05,1.7568169212461485e-05,24.536884809165088,51.325843316899274,20.0,3.323490658790548e-05,0.00015182206590200198,2.5345933588889432e-05,0.000210402906078797,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T12:24:34,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,0.34772510299990245,4.2348084632636614e-06,1.2178302528907739e-05,25.94177813188342,53.1058732305384,20.0,3.2028481178336676e-06,5.983893675995389e-06,1.9296998999986494e-06,1.1116441693827597e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T12:24:38,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,4.327404870999999,7.809154929868506e-05,1.8045844690529356e-05,26.753267542798152,63.27464833551045,20.0,3.156374997319994e-05,0.0001493890084000027,2.4038839733333964e-05,0.00020499159810653637,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T12:24:39,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,0.3525077149997742,4.090890412000096e-06,1.1604684498914987e-05,27.51497106041679,62.453869080567536,20.0,3.2342811985310027e-06,5.548059994003873e-06,1.9563132555555076e-06,1.0738654448090492e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T12:24:43,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,4.331648841999595,7.81483273163807e-05,1.804126699584975e-05,27.958414555214095,69.33081857847338,20.0,3.147011212051298e-05,0.000149607897463995,2.4062631749999686e-05,0.00020514064133450756,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T12:24:43,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,0.3513867619994926,3.967918021341899e-06,1.1291830483650119e-05,28.52979479079225,67.68476561073697,20.0,3.3057937557437467e-06,5.158893016006527e-06,1.9511631333342426e-06,1.0415849905084408e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T12:24:48,sac_Ant-v5_seed958,48a7ec17-a951-4ef7-8469-6d896d41469f,4.348995984000794,7.816471151944702e-05,1.797306155847521e-05,28.855304195220448,72.80270503971252,20.0,3.125854084014279e-05,0.00014976623092399777,2.415887837222124e-05,0.0002051836501363617,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
