task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-08-13T10:49:44,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,90.00345219997689,0.0005885683312529151,6.5393953846708685e-06,9.657461514893619,60.029147557621044,20.0,0.0002531530759076851,0.0007706978387799976,0.000521150611110756,0.0015450015257984385,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-08-13T10:49:46,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,0.2828381999861449,2.4152305150638206e-06,8.538773521780173e-06,9.644222591795746,57.0761497812926,20.0,7.560148480081626e-07,4.015836545995244e-06,1.568168333162482e-06,6.340019727165943e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-08-13T10:49:46,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,0.7917857998982072,1.0491837510670141e-05,1.3250858358111699e-05,9.642648825446809,66.71254952314479,20.0,2.1202848898569716e-06,2.10247390419957e-05,4.396221666441648e-06,2.7541245598294156e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-08-13T10:49:54,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,7.937686300138012,0.00011782012324798607,1.484312647690133e-05,9.636916322997447,75.50172282739932,20.0,2.11985530032479e-05,0.00024398547296600182,4.409573055519204e-05,0.0003092797565244418,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-08-13T10:49:55,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,0.6120319999754429,8.763739232876583e-06,1.4319046861922647e-05,9.643906093697874,80.53345206984739,20.0,1.646046565256863e-06,1.7961403258000275e-05,3.3975094440392897e-06,2.300495926729632e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-08-13T10:50:03,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,7.645902399905026,0.0001137601004545278,1.4878571807763506e-05,9.63974385385532,84.88473029732673,20.0,2.042102427860914e-05,0.00023572629969199899,4.2474806110840324e-05,0.00029862213008144834,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-08-13T10:50:03,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,0.6010410999879241,8.779895823525811e-06,1.460708848787832e-05,9.642135769723405,87.83030349761266,20.0,1.6129477714638607e-06,1.8098070034000546e-05,3.3363527773568567e-06,2.3047370582821372e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-08-13T10:50:11,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,7.70377969997935,0.00011567779616642035,1.5015701321010417e-05,9.639139931131915,90.54421842220167,20.0,2.0581123905968044e-05,0.00024026880332599782,4.280618555559264e-05,0.0003036561127875582,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-08-13T10:50:12,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,0.6196535001508892,1.0061743540901169e-05,1.6237929237400674e-05,9.647692568098723,93.87295247474589,20.0,1.6740159426874486e-06,2.1300572596000267e-05,3.437653332689938e-06,2.641224187137749e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-08-13T10:50:19,sac_HalfCheetah-v5_seed0,7edc2575-ce1d-4944-89ea-f374247a04d2,7.694347199983895,0.00011628969024440991,1.5113614452155117e-05,9.645115466671568,95.63164208904023,20.0,2.056025510122685e-05,0.00024196102690200727,4.2741062777996454e-05,0.00030526234478123063,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.177,48.7823,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
