task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-08-13T11:28:37,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,90.00228859996423,0.0005151126908024034,5.723327888642812e-06,9.600000802683873,11.321107797043023,20.0,0.0002484784567518693,0.0005860449132800011,0.0005176558944448414,0.001352179264476712,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-08-13T11:28:38,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,0.17118249996565282,8.079673704603418e-07,4.719471416191306e-06,9.604288192722583,12.377897068896187,20.0,4.6362704594248494e-07,6.966672240066307e-07,9.606333333067422e-07,2.120927603255912e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-08-13T11:28:39,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,0.9688242999836802,6.24866173249436e-06,6.449688859462164e-06,9.626819047741938,17.100094200186415,20.0,2.6099645019204845e-06,8.412506730004488e-06,5.380368333620365e-06,1.640283956554512e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-08-13T11:28:50,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,11.574677900178358,7.568734217515557e-05,6.539037252617258e-06,9.62283514987355,20.118751279827144,20.0,3.088902438850026e-05,0.00010349591613000031,6.429557444450132e-05,0.00019868051496300184,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-08-13T11:28:51,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,0.7139409000519663,4.32195518891489e-06,6.053563794304668e-06,9.630989701161292,21.358107156988126,20.0,1.9191522420820796e-06,5.462226591992914e-06,3.9638244443469415e-06,1.1345203278422152e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-08-13T11:29:03,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,11.514626699965447,7.395699606499125e-05,6.422870508091487e-06,9.627437161338252,22.748497780511876,20.0,3.072657625805491e-05,9.944313510999725e-05,6.396861666710016e-05,0.00019413832803515238,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-08-13T11:29:03,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,0.7135595998261124,4.402527544064127e-06,6.169683442534465e-06,9.63615604737097,23.484546149752386,20.0,1.9228258278377133e-06,5.6727823160157564e-06,3.961098888733707e-06,1.1556707032587231e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-08-13T11:29:15,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,11.502712100045756,7.387109959742957e-05,6.42206257125937e-06,9.632998951974196,24.328689658214355,20.0,3.069984172866276e-05,9.931091278199411e-05,6.390209388789823e-05,0.00019391284839855526,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-08-13T11:29:15,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,0.7126915999688208,4.572066585185929e-06,6.415079912216928e-06,9.637584551496778,24.992179087010427,20.0,1.9171515613376332e-06,6.1275049019898775e-06,3.957093333722007e-06,1.20017497970493e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-08-13T11:29:27,sac_HalfCheetah-v5_seed0,a1caa80b-dabb-4a1c-a742-d10fba3518a5,11.497413699980825,7.421927060693165e-05,6.4552957726141634e-06,9.634868091251617,25.575093314349168,20.0,3.068575834363585e-05,0.00010027869133401313,6.38623533330651e-05,0.0001948268030107143,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
