task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-08-13T12:17:16,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,90.00146649987437,0.0005064419397820829,5.627039292909026e-06,11.19520526291613,10.870156003406448,20.0,0.0002485863576569253,0.0005629485059139849,0.0005178835372220621,0.0013294184007929726,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-08-13T12:17:17,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,0.16904629999771714,7.783884692847331e-07,4.604320512253982e-06,10.66938509047742,11.863202938123647,20.0,4.534197597530834e-07,6.508338540045511e-07,9.390288886303513e-07,2.043282502387986e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-08-13T12:17:18,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,0.8360256999731064,5.152066805974836e-06,6.162586843300173e-06,10.413098017858065,16.050139658897237,20.0,2.2406112456323213e-06,6.641671979987218e-06,4.641976666688494e-06,1.3524259892308196e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-08-13T12:17:30,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,11.63410839997232,7.188325132694462e-05,6.178666677617116e-06,10.251599725006452,18.596964910942415,20.0,3.1043321881480367e-05,9.301979663801918e-05,6.463159555569287e-05,0.00018869471407519252,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-08-13T12:17:30,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,0.7288760000374168,4.213376383102943e-06,5.780499989031393e-06,10.15248221403871,19.662269504843284,20.0,1.956178641898535e-06,5.057226267993209e-06,4.046777221891618e-06,1.1060182131783416e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-08-13T12:17:42,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,11.525395500008017,7.316160055573088e-05,6.3478660297591865e-06,10.07446619763318,21.19373875297745,20.0,3.0755964515851396e-05,9.72670222579991e-05,6.402741499995403e-05,0.00019205040177380458,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-08-13T12:17:42,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,0.7267042999155819,4.328686610939928e-06,5.956307904953268e-06,10.033357640129033,21.865126586379954,20.0,1.9682274166033767e-06,5.360004288010312e-06,4.03464166706224e-06,1.1362873371675766e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-08-13T12:17:54,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,11.525700700003654,7.312203068362188e-05,6.344251979105706e-06,9.985850276825808,22.80771030246603,20.0,3.07550930367764e-05,9.716146661797875e-05,6.40299705555662e-05,0.0001919465302103213,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-08-13T12:17:55,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,0.7119284998625517,4.29229272120614e-06,6.029079365180564e-06,9.961461045623228,23.25207020769094,20.0,1.9276117261681847e-06,5.386948754015908e-06,3.952778333849837e-06,1.1267338814033821e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-08-13T12:18:06,sac_HalfCheetah-v5_seed0,49a824e2-898f-43d0-8a8d-939cc872d063,11.522018700139597,7.277348517889342e-05,6.3160320223540476e-06,9.929110637257478,23.872933395662155,20.0,3.074474440947512e-05,9.627702146600137e-05,6.400982666657207e-05,0.00019103159254204856,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
