task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-08-19T10:49:45,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,90.00156709999999,0.00047651906332496133,5.294563027794166e-06,9.600000058064516,9.348020351179898,20.0,0.00024864216567443477,0.00048422816516,0.0005180000283333334,0.0012508703591677683,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-08-19T10:49:46,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,0.16706149999998843,9.58429396343745e-07,5.7366489417625175e-06,9.602289840309679,14.268804104616587,20.0,4.512930977323905e-07,1.1288897920004766e-06,9.35710000000067e-07,2.51589288973288e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-08-19T10:49:47,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,0.8634629000000018,4.631211660889177e-06,5.363524190738759e-06,9.64191210743226,15.934517223756016,20.0,2.342220908902999e-06,5.019448459999808e-06,4.7953372222224065e-06,1.2157006591125268e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-08-19T10:49:59,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,11.566688599999964,6.470365491116376e-05,5.593964402450623e-06,9.634803705785808,17.399187484238723,20.0,3.0865879801667104e-05,7.472505977999984e-05,6.425721611111107e-05,0.0001698481556927779,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-08-19T10:50:00,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,0.6953419999999824,3.846499451693169e-06,5.5319041296979505e-06,9.63784648815484,18.273374721939685,20.0,1.865343448386684e-06,4.3713923860004035e-06,3.860388333333433e-06,1.009712416772052e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-08-19T10:50:11,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,11.344381999999996,6.359230924904771e-05,5.6056270208744255e-06,9.633214948589863,19.001275785996295,20.0,3.026994785259446e-05,7.363839224399987e-05,6.302251500000015e-05,0.00016693085509659447,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-08-19T10:50:12,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,0.6984724000000142,3.84310549840592e-06,5.502011476749128e-06,9.64266796961613,19.431542218091295,20.0,1.8844854028809868e-06,4.338336804000052e-06,3.86539277777789e-06,1.0088214984659092e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-08-19T10:50:23,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,11.34566970000003,6.36940215681148e-05,5.613950618326714e-06,9.638491059303227,19.87795406887922,20.0,3.0272239151096032e-05,7.389811467400009e-05,6.302749777777777e-05,0.00016719785160287394,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-08-19T10:50:24,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,0.6991643999999724,3.873474066280963e-06,5.540230936680707e-06,9.645226324892906,20.15726526036523,20.0,1.8859327864568262e-06,4.400559076000229e-06,3.881441111111463e-06,1.0167932973568572e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-08-19T10:50:35,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,11.322143600000004,6.346303259607312e-05,5.605216212258643e-06,9.64171222677537,20.44856851206554,20.0,3.0215189092911462e-05,7.347478100199964e-05,6.29015316666665e-05,0.00016659150176157782,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-08-19T10:50:36,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,0.6988364000000047,3.915562031894717e-06,5.6030635871380544e-06,9.669417586277422,20.660650550676237,20.0,1.937166004703397e-06,4.4613924580000006e-06,3.879856111111291e-06,1.0278414573814797e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-08-19T10:50:47,sac_HalfCheetah-v5_seed0,c8c33fb7-353e-437e-9fd9-965750c55475,11.306083299999955,6.352354493711801e-05,5.61852600403773e-06,9.66481494117916,20.87868831610685,20.0,3.018084918738538e-05,7.37722812400002e-05,6.279721722222227e-05,0.00016675034764960768,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
