task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-08-21T10:57:22,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,90.00320939999074,0.0005277961578164172,5.864191431033096e-06,12.500057461491934,46.8645430722957,20.0,0.0003235730647817184,0.0005442040464739978,0.0005176964622222133,0.0013854735734779296,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-08-21T10:57:24,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,0.1738762000168208,1.3034062753664553e-06,7.495816333272637e-06,12.507740020161288,44.33754924244327,20.0,6.05790252882106e-07,1.8663903819937655e-06,9.492822221040653e-07,3.4214628569799368e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-08-21T10:57:25,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,0.8687114999920595,5.350844482502693e-06,6.159446094683415e-06,12.518151215120966,39.67051673732271,20.0,3.0295940448243322e-06,6.192504953997369e-06,4.8239555555886935e-06,1.4046054554410449e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-08-21T10:57:36,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,11.61290849998477,7.020313102987404e-05,6.045248130643562e-06,12.515981012096773,36.66065677218369,20.0,4.034761830393023e-05,7.942228576000854e-05,6.451446666679754e-05,0.0001842843707307363,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-08-21T10:57:37,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,0.7125244999770075,4.391795623087669e-06,6.163762774961272e-06,12.520915460080644,34.83766690612703,20.0,2.484233715271066e-06,5.088615181988998e-06,3.955686666692296e-06,1.152853556395236e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-08-21T10:57:49,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,11.837399900017772,7.15825816176844e-05,6.04715974293583e-06,12.520736222926265,33.38000682986902,20.0,4.1168175254772564e-05,8.098700923400703e-05,6.575026666671166e-05,0.00018790545115549137,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-08-21T10:57:50,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,0.9142196000029799,5.466177066737769e-06,5.978798012438556e-06,12.552743218497984,32.179830553862175,20.0,3.243779098862894e-06,6.032227047994554e-06,5.072798333357166e-06,1.4348804480214614e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-08-21T10:58:03,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,13.725619900011225,8.532019672018198e-05,6.2160698206910695e-06,12.715302312672812,31.351432158293587,20.0,5.344199965734984e-05,9.426924208200127e-05,7.625567444435248e-05,0.0002239669161837039,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-08-21T10:58:04,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,0.7188515000161715,4.3511035506479685e-06,6.052870517890884e-06,12.72666941015553,30.65543783122113,20.0,2.562915978406683e-06,4.868059449991691e-06,3.990742777791145e-06,1.1421718206189573e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-08-21T10:58:16,sac_HalfCheetah-v5_seed0,5403e1e0-4b38-43b8-867d-6e4b18181ac8,11.691959599993424,7.132839383513817e-05,6.10062795761204e-06,12.708160010652755,30.15294229788957,20.0,4.0673977101606136e-05,8.160978750999803e-05,6.495443944440924e-05,0.00018723820405601313,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.2.9,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
