task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-08-24T11:04:17,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,90.0072991999914,0.0005572194359431173,6.19082293356282e-06,12.500001328830646,12.003743928078976,20.0,0.00032358379692318625,0.0006214302193660037,0.0005176961450000009,0.0014627101612891909,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-08-24T11:04:18,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,0.17040990001987666,1.6098421942733771e-06,9.446055938534623e-06,12.503650985887099,26.932441578838823,20.0,5.937394665547877e-07,2.686668816004323e-06,9.454538890471412e-07,4.225862171606089e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-08-24T11:04:19,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,0.9117980999872088,6.139664608598248e-06,6.733594585622279e-06,12.605458164415325,27.905471350259717,20.0,3.272178539262332e-06,7.790561787984762e-06,5.053979999825519e-06,1.611672032707256e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-08-24T11:04:32,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,13.013603799976408,8.56215468458463e-05,6.579394330579226e-06,12.585429440186108,28.25865477748089,20.0,4.520647273617578e-05,0.00010725619691601129,7.22952955554421e-05,0.00022475796520762923,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-08-24T11:04:33,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,0.7523169000050984,5.71848411642299e-06,7.601102340980696e-06,12.58440936890509,30.093953936156566,20.0,2.630118617986195e-06,8.203617674007457e-06,4.177378333083135e-06,1.5011114625076896e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-08-24T11:04:46,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,12.903893899987452,8.627729560606236e-05,6.6861504889159725e-06,12.573282500132933,30.17747179045212,20.0,4.483006293594551e-05,0.0001099628657479923,7.168638777770367e-05,0.00022647931646164153,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-08-24T11:04:47,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,0.7376008999999613,5.328323808642958e-06,7.223535321341676e-06,12.577357700116316,30.86570963219104,20.0,2.5840304585801306e-06,7.307783624010966e-06,4.095123333455503e-06,1.39869374160466e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-08-24T11:05:00,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,12.90624589996878,8.572943261650435e-05,6.642484079574614e-06,12.56948698760339,30.799315143961792,20.0,4.483823143127969e-05,0.00010850675347198746,7.169618222235136e-05,0.0002250411671256185,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-08-24T11:05:00,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,0.7290107000153512,4.6195444785796045e-06,6.3367898010443945e-06,12.576320022593052,30.445884767659273,20.0,2.560378964492683e-06,5.5186155260011915e-06,4.0473855556532375e-06,1.2126380046146787e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-08-24T11:05:13,sac_HalfCheetah-v5_seed0,b32c6ca0-5323-4704-92fe-f1568e2279fc,12.908549099985976,8.518142470527359e-05,6.598833479719659e-06,12.569955352706971,30.392629782444217,20.0,4.484570172470228e-05,0.00010705397453200649,7.170296111111787e-05,0.00022360263736782675,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
