task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-07T12:46:48,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,90.00610630900019,0.0006502667567379126,7.22469538143361e-06,12.086491461370716,14.37763036063377,20.0,0.00044666093010623485,0.0007433100390919975,0.0005169899357444441,0.0017069609049426763,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-07T12:46:49,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,0.15227623200007656,2.071118829390637e-06,1.3599364469985613e-05,19.88550751793932,33.78486276598065,20.0,1.5224853846546732e-06,3.069169122002502e-06,8.450663999989665e-07,5.436720906656142e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-07T12:46:49,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,0.33548928900017927,3.6573388079288787e-06,1.0901838021898013e-05,22.618246163711717,38.359018904688725,20.0,2.8893989781845347e-06,4.849448323997196e-06,1.8617270722213596e-06,9.60057437440309e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-07T12:46:54,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,4.4760631409999405,6.495701880400104e-05,1.451211463526029e-05,23.940052869409964,49.532485181776906,20.0,2.8457557488249102e-05,0.00011718342708000318,2.487225550000104e-05,0.0001705132400682532,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-07T12:46:54,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,0.21375743799990232,2.415452120754975e-06,1.129962567559503e-05,24.170258042337238,51.3776678768325,20.0,1.5277412221906955e-06,3.6197251179967416e-06,1.1931351055536167e-06,6.340601445740945e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-07T12:46:58,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,4.176245440999992,6.250907476743756e-05,1.4967834665447732e-05,24.314571923722163,57.87042568668532,20.0,2.857084535665827e-05,0.0001123173120760046,2.3199189377778114e-05,0.00016408734681044109,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-07T12:46:58,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,0.20925282999996853,2.4159603628213545e-06,1.154436791184978e-05,24.495262008359568,58.53849261319633,20.0,1.5116009315016554e-06,3.6697251580009027e-06,1.1606095000009755e-06,6.341935589503425e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-07T12:47:02,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,4.189440332000231,6.292277809679541e-05,1.5019391593294464e-05,24.623034378876383,62.7837873080835,20.0,2.9323407625372194e-05,0.00011257759006199491,2.327232715000117e-05,0.00016517332483736817,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-07T12:47:03,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,0.20210569699975167,2.504650553391825e-06,1.2391858299780951e-05,25.299966958577222,62.96908426018744,20.0,1.7924297672743117e-06,3.6525029220024763e-06,1.1298161055568268e-06,6.574748794833506e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-07T12:47:07,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,4.229629341999953,6.2830789878236e-05,1.485494144510416e-05,25.730132656597803,65.95265680259565,20.0,2.8903655900682987e-05,0.0001125325900259988,2.349560832777672e-05,0.0001649318542544585,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-07T12:47:07,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,0.2033032499998626,2.6671147133712145e-06,1.3118760404006035e-05,26.229691684564273,66.49194342637291,20.0,1.8094520031139427e-06,4.06861436599848e-06,1.1231535111113841e-06,7.0012198802238065e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-07T12:47:11,sac_HalfCheetah-v5_seed14577,2fc7234c-6a2d-4514-b1cc-93e720c21160,4.218356713000048,6.374481832961177e-05,1.511129689027236e-05,26.54164509893336,68.93678924307295,20.0,2.8752339946298486e-05,0.00011514592545000535,2.3432928538889212e-05,0.00016733119393519316,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
