task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T14:55:43,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,90.00278047199936,0.0006111605651209969,6.7904626883165224e-06,12.816047165516373,13.29694757116759,20.0,0.0003997153981053956,0.0006875319389140211,0.0005170591733388897,0.0016043065103583066,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T14:55:44,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,0.15049910199923033,2.1158811558368972e-06,1.4057935780203874e-05,20.658659567152593,34.23560957172082,20.0,1.5415928999395166e-06,3.1780580980189654e-06,8.345717500055343e-07,5.554222747964016e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T14:55:44,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,0.34151594800096063,3.831825023382332e-06,1.122052721514985e-05,23.416900535182645,39.226944117945756,20.0,3.024490197367849e-06,5.138615221944587e-06,1.895498133338419e-06,1.0058603552650855e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T14:56:01,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,16.985501318999013,0.00025534745775686004,1.5033264773304024e-05,24.999222920061023,50.6906827207829,20.0,0.00012041635299967239,0.0004555131421880576,9.436177074443957e-05,0.0006702912659321697,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T14:56:01,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,0.19871480300025723,2.5902408865971418e-06,1.3034488361577253e-05,25.99905288244302,54.22899153419541,20.0,1.7285972162103987e-06,3.967780951963373e-06,1.1030466555490186e-06,6.799424823722682e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T14:56:17,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,15.907392215000073,0.00024320667162948666,1.5288917802522906e-05,26.658243609952418,60.71628782778992,20.0,0.00010977979199042935,0.0004402700744380317,8.837163673333637e-05,0.0006384215031617975,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-08T14:56:17,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,0.19792473199959204,2.7038063579194055e-06,1.3659376970654268e-05,27.391634730133877,62.664488521240955,20.0,1.8064508896038951e-06,4.192503353983579e-06,1.09858180555116e-06,7.097536049138851e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-08T14:56:33,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,15.786559452999427,0.00024061877187703728,1.5242022868034498e-05,27.89889714279768,66.88031088066526,20.0,0.00010276293137694535,0.00044116563071000536,8.769966176667163e-05,0.0006316282238536222,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-08T14:56:33,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,0.2054796329994133,2.5047115932226756e-06,1.2189386958661848e-05,27.595215954187474,67.20726937628474,20.0,1.4331200353847467e-06,4.001392090002831e-06,1.1403969000032665e-06,6.574909025391061e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-08T14:56:49,sac_HalfCheetah-v5_seed14577,409ba2ac-da53-44f6-bec4-3c1cf39be820,15.877857509000023,0.00024203311108483188,1.5243444569558876e-05,27.337013605512244,70.27048396525355,20.0,0.0001021100939102319,0.00044502285601799585,8.820793755000224e-05,0.0006353408874782301,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
