task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T19:38:49,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,90.00318185600008,0.0006149984811518768,6.833074445386342e-06,12.031825744867664,13.455346399029066,20.0,0.0004015147792671217,0.0006957708343940036,0.0005170954892444444,0.0016143811029055697,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T19:38:49,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,0.14915553399987402,2.030111182770109e-06,1.3608924452858285e-05,20.14628581899363,32.85911302242065,20.0,1.529639834817187e-06,2.9708357100061145e-06,8.285996166679764e-07,5.329075161491278e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T19:38:50,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,0.31539194800006953,3.5805310404506433e-06,1.1353096872064965e-05,23.050405239860844,38.49231796308516,20.0,2.8002372401865483e-06,4.848614990005107e-06,1.7501004944455714e-06,9.398952724637335e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T19:38:54,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,4.4184031089998825,5.045310009879579e-05,1.1418859497905016e-05,24.476698048782147,43.602871152016164,20.0,2.9295331491797916e-05,7.860006287999793e-05,2.4544821138889998e-05,0.00013244021551068585,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T19:38:54,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,0.19744002499965063,2.355570347882855e-06,1.1930062153197647e-05,25.518306365661804,46.524818504750364,20.0,1.7116091470675832e-06,3.3697249179967526e-06,1.1020767444455465e-06,6.183410809509991e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T19:38:58,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,4.195241886000076,4.747158092902298e-05,1.1315597058880398e-05,26.026355250982874,49.08658602671645,20.0,2.6196073456843938e-05,7.511200453400035e-05,2.3305600783333396e-05,0.0001246136787741777,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T19:38:59,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,0.2039136859998507,2.269521794028939e-06,1.1128524108645675e-05,25.95197245530515,50.39445236701047,20.0,1.4546008859014914e-06,3.3711138079997593e-06,1.131817249999255e-06,5.957531943900614e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T19:39:03,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,4.038983244000065,4.756849740400319e-05,1.1777363766363061e-05,25.893412045579012,52.11599805645548,20.0,2.8510776697493467e-05,7.391978135799782e-05,2.243752805555538e-05,0.00012486808611104645,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T19:39:03,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,0.19421908699996493,2.3928982467259557e-06,1.2319757433919942e-05,26.474423402386208,53.39632363809342,20.0,1.7285297161558077e-06,3.4808361180083125e-06,1.072031322223643e-06,6.28139715638798e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T19:39:07,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,3.8378427059997193,4.4676727842850664e-05,1.1641159404726802e-05,26.795861661747907,54.459473100134026,20.0,2.6589851271862502e-05,6.937227771999094e-05,2.131501457777686e-05,0.00011727714356963041,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-12T19:39:07,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,0.19941734100029862,2.31175155866346e-06,1.1591836141011929e-05,26.68179351027788,55.245070432737975,20.0,1.4230661384562193e-06,3.538058386001741e-06,1.1072612444447795e-06,6.068385768902632e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-12T19:39:11,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,3.8195570409998254,4.4662767768417636e-05,1.1693200123015617e-05,26.576011570737112,56.03743053755647,20.0,2.6480700351209918e-05,6.95411667439999e-05,2.1218631050000055e-05,0.00011724049814520977,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-12T19:39:11,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,0.19351785500020924,2.4260331057063614e-06,1.2535641832288466e-05,26.9522491557826,56.79401782605421,20.0,1.7296486059421856e-06,3.5680584100014623e-06,1.07066968888978e-06,6.368376704833645e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-12T19:39:15,sac_HalfCheetah-v5_seed14577,b4cec979-410a-4249-b601-cd46773bc578,3.8839237800002593,4.504310685672186e-05,1.159734354595305e-05,27.13627202711741,57.42561020934129,20.0,2.5172498749094496e-05,7.14911683040026e-05,2.1575227438888275e-05,0.00011823889449198537,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
