task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T20:32:26,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,90.00321672200062,0.0007157747769810789,7.95276848306409e-06,12.7235840850969,18.623297922941983,20.0,0.000398771728461568,0.0009630360482059813,0.0005171127561611128,0.0018789205328286623,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T20:32:26,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,0.15717047400084994,2.2797641283085843e-06,1.4503700186392173e-05,20.709335353807642,39.05054028065495,20.0,1.6234646321028334e-06,3.4883361239856914e-06,8.726174833352572e-07,5.9844182394238905e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T20:32:27,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,0.32181156699971325,3.829277974661308e-06,1.1899392697925157e-05,23.392599613705055,44.518120230365675,20.0,2.8280083735204853e-06,5.438893240006237e-06,1.7850158944434464e-06,1.0051917507970277e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T20:32:31,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,4.464947035000478,5.627662403604502e-05,1.260411111606725e-05,24.71047952888307,50.607232369220796,20.0,2.9953747018536536e-05,9.29697965979942e-05,2.480351777222093e-05,0.00014772706138875178,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T20:32:31,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,0.20765441399998963,2.3702489382012356e-06,1.1413869986907258e-05,24.74414125025977,52.63346599435809,20.0,1.4510064385853116e-06,3.6183362280006737e-06,1.1525996833319958e-06,6.221942349917981e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T20:32:35,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,4.123523627000395,5.2408098923086835e-05,1.2709545075796163e-05,24.788830119904013,55.75206982063356,20.0,2.9377440446384795e-05,8.528784600801698e-05,2.2906833044448365e-05,0.00013757211949884992,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T20:32:36,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,0.2018880559999161,2.540621500883946e-06,1.2582824260802739e-05,25.67916227603524,57.12656305055923,20.0,1.807417279273138e-06,3.741114103991694e-06,1.1206417388873614e-06,6.66917312215241e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T20:32:40,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,4.131295899000179,5.236924230896654e-05,1.267624667023838e-05,26.230952876054356,59.02400567607169,20.0,2.936969266240097e-05,8.515034589799686e-05,2.2950081688890775e-05,0.0001374701202492886,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T20:32:40,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,0.1944297469999583,2.525722625330417e-06,1.2989599286673828e-05,26.74778480888263,60.22911135978954,20.0,1.7134063707222036e-06,3.837225291999924e-06,1.0794316666660293e-06,6.630063329388265e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T20:32:44,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,4.136724218999916,5.290099744815319e-05,1.2788154493511642e-05,27.053142240376584,61.65408811811923,20.0,2.8668111545580854e-05,8.721729199601125e-05,2.2980582672223865e-05,0.00013886598621381608,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-12T20:32:44,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,0.19496023899955617,2.497614699398438e-06,1.281033922978662e-05,27.45462464570524,62.2598725494239,20.0,1.743906950679719e-06,3.7302807619904454e-06,1.0820918499979994e-06,6.556279562668164e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-12T20:32:48,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,4.1345602480005255,5.231550722721752e-05,1.2653254688867878e-05,27.69165979983525,63.19166889559836,20.0,2.895182288366327e-05,8.540979054999509e-05,2.296745134444287e-05,0.00013732906477810112,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-12T20:32:49,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,0.19755922999956965,2.585068796130078e-06,1.3084945112501653e-05,28.064804861782953,63.751288122285914,20.0,1.8247784042690895e-06,3.871391986015604e-06,1.0896776111065645e-06,6.785848001391367e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-12T20:32:53,sac_HalfCheetah-v5_seed14577,90a03e74-c159-42fd-8d87-b2fff366d8a4,4.185723487999894,5.209326374409451e-05,1.2445462166301511e-05,28.247545786082245,64.51698446293703,20.0,2.601841081470435e-05,8.747451442399357e-05,2.3252746749999917e-05,0.00013674567198869794,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
