task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-07T12:15:51,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,90.00358154399999,0.0006308186325920988,7.008816314980735e-06,10.033112075295067,13.627352604117268,20.0,0.0004220009223226901,0.0007116714026699999,0.0005222369349944444,0.0016559092599871344,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-07T12:15:52,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,0.15163462600003186,1.9807297102495324e-06,1.3060563014835532e-05,18.537043265399316,31.546017986185635,20.0,1.5191114930658209e-06,2.838335604000118e-06,8.42000888889036e-07,5.199447985954975e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-07T12:15:52,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,0.3697663079999529,4.381647249084323e-06,1.1850252976167133e-05,21.091142564121203,39.44992170926282,20.0,2.9690668196958453e-06,6.4811162959997615e-06,2.0517128000001068e-06,1.1501895915695714e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-07T12:15:56,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,4.230935698000053,6.143513674165336e-05,1.4520494260143762e-05,22.36636605372192,50.53919689091988,20.0,2.6246986830906222e-05,0.00011151842254800062,2.3502832494445023e-05,0.00016126824187335186,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-07T12:15:57,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,0.20467057999996996,2.4599109586459847e-06,1.2018947347796827e-05,23.743135823488302,52.581449554123175,20.0,1.7582669621677913e-06,3.5641695179996352e-06,1.134870144444528e-06,6.457306624612063e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-07T12:16:01,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,3.90237417000003,5.920936150277851e-05,1.5172684592427606e-05,24.501445708472733,59.22133833096744,20.0,2.638058582667439e-05,0.0001073681414500002,2.167681807777749e-05,0.00015542554535445219,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-07T12:16:01,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,0.20203166800001782,2.5930755876333277e-06,1.2833541469189865e-05,25.315930951973897,60.583550235545786,20.0,1.7580639064501517e-06,3.928614253999492e-06,1.120187800000231e-06,6.806865960449875e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-07T12:16:05,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,3.904033056000003,5.9268157541195274e-05,1.5181292011205012e-05,25.77785669215038,64.80988451357723,20.0,2.6952704617702085e-05,0.00010694036333000045,2.1686817972221785e-05,0.00015557988591992453,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-07T12:16:05,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,0.2026299269999754,2.5349136343067727e-06,1.250931190512523e-05,26.347188471706186,64.97325802465588,20.0,1.789818931853624e-06,3.739169657999454e-06,1.1252012888892434e-06,6.654189878742105e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-07T12:16:09,sac_HalfCheetah-v5_seed331,2ab8fba5-bfcc-4267-8cf2-8fe3bddfe83b,3.938125411000101,5.974800309898308e-05,1.5171720285940617e-05,26.624153417121104,68.17663328344382,20.0,2.5349839446521874e-05,0.00010961342102400011,2.1876227911110982e-05,0.00015683948838163307,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
