task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T13:53:17,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,90.00267101200006,0.0006188324506979043,6.875711795400964e-06,13.646886640308473,14.00746512258981,20.0,0.00038333782972557046,0.0007241405793119993,0.0005169669268277782,0.0016244453358653479,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T13:53:17,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,0.15464045999942755,1.5303988090760619e-06,9.895150563447619e-06,21.041068911842807,21.72492970754347,20.0,1.5609204154012901e-06,1.5972235000161206e-06,8.591780666695635e-07,4.017321982087083e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T13:53:18,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,0.34018717700018897,4.37740448638738e-06,1.2868036630455087e-05,23.521154264512745,33.937253715527405,20.0,2.9424826317667185e-06,6.6611164400154355e-06,1.8871595222258366e-06,1.149075859400799e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T13:53:35,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,17.00787720900007,0.0002506326588477474,1.4736275751552783e-05,24.92546953904403,46.31652132374809,20.0,0.00011068311076863763,0.0004527461955300127,9.44855351444453e-05,0.0006579148414430959,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T13:53:35,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,0.207046685000023,2.5394386881982594e-06,1.2264737567901709e-05,24.919100955054365,50.40960639320508,20.0,1.4454286563422847e-06,4.071947701994594e-06,1.148691861110147e-06,6.666068219446809e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T13:53:51,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,16.67464167399885,0.00025153425395991113,1.508484370963056e-05,24.915247995019275,57.14808236331351,20.0,0.00011567311587175333,0.00045197175046599036,9.263667706666944e-05,0.000660281543404413,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-08T13:53:52,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,0.19868132600095123,2.5851764339154815e-06,1.3010188843823582e-05,25.701557649133136,58.943854824678425,20.0,1.7396175027925564e-06,3.943892044000474e-06,1.1026210055509146e-06,6.786130552344054e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-08T13:54:08,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,16.78137382499881,0.00025236642332286934,1.5038495066972193e-05,26.267454336920494,63.2720260267179,20.0,0.00011290081920947714,0.0004563378650700167,9.32273173555485e-05,0.0006624660016350424,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-08T13:54:09,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,0.2103982040007395,2.408314675266714e-06,1.1445919050112026e-05,26.045691433143713,63.33838440521146,20.0,1.4192005798122076e-06,3.7347252099806383e-06,1.1679397444418205e-06,6.321865534234666e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-08T13:54:25,sac_HalfCheetah-v5_seed331,9353124e-17c5-4cdd-88d7-d416568629af,16.87033926100048,0.00025264729207226735,1.4975835130411689e-05,25.860062902551046,66.51308834579646,20.0,0.00010904704918202057,0.0004604384239060011,9.371781362222265e-05,0.0006632032867102439,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
