task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T13:36:42,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,90.00278545699257,0.0005908078574674414,6.56432781464555e-06,12.509185079351301,12.364065018679657,20.0,0.0003944263041519014,0.0006393507892576977,0.0005171032254444273,0.0015508803188540264,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T13:36:43,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.1530326950014569,2.09625489402108e-06,1.3696214049383042e-05,20.599643711489367,32.28541063283969,20.0,1.585809324203269e-06,3.066946897778422e-06,8.499472667203908e-07,5.502703488702082e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T13:36:43,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.3395903759956127,3.7680431056408238e-06,1.1096121947723602e-05,23.543394634580494,37.30390247659284,20.0,3.0716735684443996e-06,4.935003948158823e-06,1.8844974555476315e-06,9.891174972150854e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T13:36:48,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.529828348997398,8.764790394765918e-05,1.9349082074134887e-05,25.066271759905582,57.15995165814136,20.0,3.309539064295236e-05,0.00017182235967982962,2.5159435522234888e-05,0.00023007718584501687,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T13:36:48,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.20411681600671727,2.495432128604854e-06,1.2224855936731442e-05,26.190837540953055,58.2074882638735,20.0,1.822252013360115e-06,3.5952806540784366e-06,1.1330176110884273e-06,6.5505502785268704e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T13:36:52,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.363204431007034,8.41479715530958e-05,1.9285848557382285e-05,26.818713627727288,69.4032032681463,20.0,3.113250351709923e-05,0.00016551957685995156,2.423772551111243e-05,0.00022088980588816321,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T13:36:53,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.20285811398935039,3.105186181390175e-06,1.5305360006368154e-05,27.5604968927529,72.19640134784517,20.0,1.863773157674553e-06,5.162504129962997e-06,1.1248873832906802e-06,8.151164670928447e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T13:36:57,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.38446993099933,8.487194523897382e-05,1.9357414518476918e-05,27.97220760276277,79.46431035322392,20.0,3.084889384576128e-05,0.0001675848562900928,2.4356498555506674e-05,0.00022279024869136053,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T13:36:57,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.2023582860128954,3.1011584916919212e-06,1.532417342000507e-05,28.37297558742074,80.77612063346182,20.0,1.8159114527210862e-06,5.201393050047187e-06,1.1232874166227378e-06,8.140591919390903e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T13:37:01,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.34853689900774,8.55191694636155e-05,1.966621951094765e-05,28.596717946531115,86.12338245005513,20.0,3.1723933156903306e-05,0.00016860902377602294,2.415626596670743e-05,0.00022448922289963367,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-15T13:37:02,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.2017317369900411,2.7187352755618684e-06,1.3477281654177442e-05,28.99544846964876,85.0925566196076,20.0,1.8889840111904754e-06,4.1286144139007774e-06,1.1191262777881942e-06,7.136724702879339e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-15T13:37:06,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.359696256011375,8.450380904634065e-05,1.9382962612993644e-05,29.223098900075307,89.07965095464562,20.0,3.180241405302542e-05,0.00016580374375396723,2.421772733893397e-05,0.0002218238851459265,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-15T13:37:06,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.21188527799677104,3.7460662287716e-06,1.7679132572892515e-05,28.960642355676736,91.39180090296837,20.0,1.5183826035936043e-06,7.139727933980211e-06,1.175374772234691e-06,9.833485309808723e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-15T13:37:11,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.349842545008869,8.473676829469996e-05,1.9480431257221506e-05,28.74307648717426,94.4855234185611,20.0,3.178191625884119e-05,0.0001664895776360975,2.416391309994245e-05,0.00022243540699488137,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-15T13:37:11,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.20129681800608523,2.921376940170613e-06,1.4511277584226994e-05,29.00777035534551,93.82591030772262,20.0,1.862501490000612e-06,4.689170418181732e-06,1.1169904889054205e-06,7.668662397087873e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-15T13:37:15,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.189439573005075,8.314900489588255e-05,1.9847314369563637e-05,29.152301370604892,96.66832588614172,20.0,2.9586214502289043e-05,0.00016540874343795586,2.327254408333423e-05,0.00021826750202357924,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-15T13:37:15,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.20056159600790124,2.958497041524212e-06,1.4750759218747742e-05,29.34778786254409,96.10210154563964,20.0,1.8385623041863863e-06,4.814448295809015e-06,1.1130926721509464e-06,7.76610327214624e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-15T13:37:19,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.051134602006641,8.2378215081332e-05,2.0334618798662236e-05,29.450343429045933,98.74780245872394,20.0,2.9044562124519446e-05,0.0001646959650900559,2.250363889995952e-05,0.00021624416611453487,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-15T13:37:19,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.19941569199727383,2.550502094702655e-06,1.2789418946421397e-05,29.609221547973686,97.20915469218946,20.0,1.825948405198563e-06,3.762503010040774e-06,1.1066584277917395e-06,6.695109843031077e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-15T13:37:24,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.059252231003484,8.096083429691707e-05,1.9944799227053165e-05,29.676282963914733,99.43274249095562,20.0,2.7724696346403954e-05,0.00016224957424393338,2.254924771105931e-05,0.00021252351830139665,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-15T13:37:24,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.2100052800087724,3.0712515285986203e-06,1.4624011871056954e-05,29.53498836880053,99.06996867398611,20.0,1.5647859740453018e-06,5.331670932084975e-06,1.1656287444768588e-06,8.062085650606919e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-15T13:37:28,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.0643550739914645,8.175926513690184e-05,2.011620040538813e-05,29.38735290908148,101.09631140046717,20.0,2.7589893460792936e-05,0.0001644520760060164,2.257744288888515e-05,0.0002146194123556944,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_10,2026-09-15T13:37:28,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.20432983900536783,3.0107155145437867e-06,1.47333563236923e-05,29.5713178402378,100.43059831502455,20.0,1.9393887737279014e-06,4.829448307930306e-06,1.1343405388793961e-06,7.903177620537712e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_10,2026-09-15T13:37:32,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.068165864999173,8.298866712945171e-05,2.03995438922535e-05,29.685799869064525,102.24491212979177,20.0,3.0482632719423808e-05,0.00016476152069788697,2.2602459338829923e-05,0.00021784661275614037,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_11,2026-09-15T13:37:32,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,0.20083990099374205,2.7855696048946586e-06,1.3869753451927257e-05,29.836060270359802,101.28351895794556,20.0,1.8926967919330462e-06,4.305281221972379e-06,1.114187899980165e-06,7.312165913885699e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_11,2026-09-15T13:37:36,sac_HalfCheetah-v5_seed331,9cc22cdd-bf28-4f7f-b96d-040d33ce4127,4.103217103009229,8.258592321551102e-05,2.0127114555824762e-05,29.9177637385225,102.87904835865301,20.0,2.9466602462155378e-05,0.00016452929829013918,2.2793502622193442e-05,0.00021678940337448768,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
