task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-08-24T12:28:27,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,90.00545410002815,0.0005365087476204663,5.96084537750847e-06,12.50000104516129,39.954906987846805,20.0,0.0003236425905797479,0.0005669004535200084,0.0005178012205556216,0.001408344264655378,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-08-24T12:28:28,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,0.17078320001019165,8.764059225509126e-07,5.131212259892117e-06,12.511791896774193,31.88337501848795,20.0,5.98967658876513e-07,7.49722821991039e-07,9.51889444452997e-07,2.3005799253206574e-06,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-08-24T12:28:29,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,0.8646077000303194,5.5755163709681876e-06,6.448567256292135e-06,12.548357522580647,30.89957923330155,20.0,3.0586293265607092e-06,6.74861651003833e-06,4.828576111079539e-06,1.4635821947678578e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-08-24T12:28:42,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,13.034206400043331,8.568721486052703e-05,6.574030070819539e-06,12.54021729191067,30.643285756774855,20.0,4.528655514786855e-05,0.00010723369689796813,7.241009277770194e-05,0.00022493034482353857,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-08-24T12:28:43,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,0.7411280999658629,4.681705526112553e-06,6.3171039206244664e-06,12.55915749117556,30.0467559678833,20.0,2.6061521384836096e-06,5.568893343993464e-06,4.114508333279599e-06,1.2289553815756672e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-08-24T12:28:56,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,13.035341699956916,8.518156710425823e-05,6.534659444154937e-06,12.5517663626285,29.93233781604342,20.0,4.5290138673248254e-05,0.00010589591805001963,7.241695444422987e-05,0.00022360301116749765,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-08-24T12:28:56,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,0.7312898000236601,4.594598023013288e-06,6.282591518541871e-06,12.57342585479994,29.5243545900358,20.0,2.586068636789671e-06,5.414726553992777e-06,4.060100000222362e-06,1.206089519100481e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-08-24T12:29:10,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,13.20684609998716,8.711805819674664e-05,6.596437388334695e-06,12.56608231309598,29.559912545333596,20.0,4.5886113383000445e-05,0.00010945230978401388,7.33479088890211e-05,0.0002286863320560353,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-08-24T12:29:10,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,0.7382071000174619,4.48915180523569e-06,6.081365904256607e-06,12.57212880178638,29.09057747236322,20.0,2.590034173278967e-06,5.09611518800801e-06,4.09794777806382e-06,1.1784097139350743e-05,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-08-24T12:29:23,sac_HalfCheetah-v5_seed42,5182bf24-db02-47e1-be98-f0d63a90d568,12.98196750000352,8.570991780825561e-05,6.6022248393052386e-06,12.566225069456152,29.16272906797518,20.0,4.510394088831453e-05,0.00010776508621199166,7.212091333349234e-05,0.00022498994043379864,0.0,Germany,DEU,baden-wurttemberg,,,Windows-11-10.0.26200-SP0,3.14.6,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,63.273277282714844,machine,0.0,0.0,0.0,0.0,N
