task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T13:18:20,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,90.00274145000003,0.000614243574646969,6.824720423186857e-06,13.427119641257658,13.62753983653789,20.0,0.00039099701613069804,0.0007044627857920038,0.0005169396590222226,0.0016123994609449246,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T13:18:21,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,0.15116462699916156,1.5093713868444703e-06,9.984057992433026e-06,20.964631979106304,21.6853940198357,20.0,1.5352178948449535e-06,1.5875012700089508e-06,8.394054888917956e-07,3.962124653745808e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T13:18:21,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,0.3399961320001239,4.4530075541378365e-06,1.3097525664043146e-05,23.519315010749914,34.39806240039167,20.0,2.9623698699007828e-06,6.841116583986007e-06,1.8857314333369391e-06,1.1689217887223729e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T13:18:30,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,8.577101941000365,0.00012637086252810384,1.4733524513914375e-05,24.89920867428222,46.50667989446813,20.0,5.7914309942515285e-05,0.0002261679587120119,4.7643318766667025e-05,0.0003317255874211941,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T13:18:30,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,0.20722812300027726,2.690749321256373e-06,1.2983905296297754e-05,24.93994397367975,51.65062547918456,20.0,1.4615520025768047e-06,4.451392449991709e-06,1.1503166611116127e-06,7.063261113680018e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T13:18:38,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,8.309644558999935,0.00012633360775812297,1.520326680803839e-05,24.974369079095283,58.299232659833244,20.0,5.882658039455674e-05,0.00022663879242200424,4.616242022221844e-05,0.0003316277930387793,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-08T13:18:39,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,0.19983710700034862,2.490555049241335e-06,1.2461605726936215e-05,25.727899722667583,59.32799260524528,20.0,1.7384305574102976e-06,3.690280729995443e-06,1.1090365777767291e-06,6.537747865182578e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-08T13:18:47,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,8.556383292999271,0.00012434343426940663,1.4532260563369818e-05,26.195564803275154,63.393659826919574,20.0,5.090097572074681e-05,0.00022796934904199817,4.753323021666604e-05,0.0003264035549794108,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-08T13:18:47,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,0.209163978000106,2.6250883108319776e-06,1.255056481537123e-05,26.030466073819404,64.44341241350742,20.0,1.4397830962742386e-06,4.2902812100037435e-06,1.1608355777803026e-06,6.890899884058176e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-08T13:18:56,sac_HalfCheetah-v5_seed43611,a9f04a30-efb4-4e05-8972-e072f3bba46a,8.335896632000185,0.00012622125980961082,1.5141905745858143e-05,25.903079461667325,67.4744245236239,20.0,5.861149966693985e-05,0.0002264132366859989,4.630814147777633e-05,0.00033133287783071496,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
