task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T19:49:28,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,90.00321806599914,0.0007097883813945719,7.886255082326915e-06,13.260301858342636,18.26225024484692,20.0,0.00040173899833538876,0.0009443582554859997,0.0005171088923777764,0.0018632061461991648,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T19:49:28,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,0.1509204089998093,1.5626593189270194e-06,1.0352919859643068e-05,21.18621061713775,25.586761061612815,20.0,1.575772371725792e-06,1.6877791279984455e-06,8.384548499987786e-07,4.102006349723016e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T19:49:29,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,0.31652477999978146,3.7959260931902123e-06,1.1993130889615839e-05,23.760495892547397,34.621464355811966,20.0,2.785470006150259e-06,5.4225043379999005e-06,1.7563939277756005e-06,9.964368271925868e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T19:49:33,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,4.1743095920001,5.15327136376742e-05,1.2345219787986516e-05,25.0813820713672,41.850281480319204,20.0,3.003597486209153e-05,8.204951008400352e-05,2.3188733816666878e-05,0.00013527421876276214,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T19:49:33,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,0.20002949399986392,2.4841410459689297e-06,1.2418576561626247e-05,26.294134213823423,45.67378615415191,20.0,1.8161489529211483e-06,3.59528065399517e-06,1.1094813944459046e-06,6.520911001362331e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T19:49:37,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,3.824719142000504,4.673148738916445e-05,1.2218312509688046e-05,26.908811692595044,49.16969115689831,20.0,2.690784374848043e-05,7.45170040580001e-05,2.12460732833329e-05,0.00012267092108981343,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T19:49:37,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,0.19706358399980672,2.509347789455803e-06,1.2731995594552437e-05,27.54088466117746,51.53214764254257,20.0,1.7679308587856268e-06,3.725002980001224e-06,1.0941452777791594e-06,6.587079116565902e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T19:49:41,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,3.824056828000721,4.731751766918102e-05,1.237367147267397e-05,27.844355777257462,53.77654546686895,20.0,2.6774092252587756e-05,7.619200539800419e-05,2.124316253888437e-05,0.00012420926018947643,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T19:49:41,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,0.19516724100049032,2.4416332793305044e-06,1.2509737448894407e-05,28.281582424784933,54.97364176382312,20.0,1.7645572449806468e-06,3.5616695160042844e-06,1.083100655553909e-06,6.4093274165389486e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T19:49:45,sac_HalfCheetah-v5_seed43611,4dc29041-0558-4d42-9b49-9dc52f7e19d3,3.870597496999835,4.587630236992427e-05,1.1852524209541146e-05,28.432352117217455,56.23876440441459,20.0,2.486010099917585e-05,7.406422591799827e-05,2.150171946666685e-05,0.00012042604638384108,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
