task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T13:14:43,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,90.0027117790014,0.0006024247621459585,6.6934065201815015e-06,12.203403469925204,12.762020883216085,20.0,0.0004047175934960359,0.0006597188611079385,0.0005169384296221931,0.0015813748842261675,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T13:14:44,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,0.1514319519919809,2.0748726133368615e-06,1.3699891696327232e-05,20.113251125850667,32.84642732561283,20.0,1.5332851155125393e-06,3.072224679989688e-06,8.410648555986621e-07,5.446574651100889e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T13:14:44,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,0.34000201399612706,3.77240974790236e-06,1.1095495910040752e-05,23.0848452099296,37.8229476385544,20.0,3.0397149317698546e-06,4.976670648026982e-06,1.8862518999311325e-06,9.902637479728077e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T13:14:49,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,4.53888760600239,7.638748510403423e-05,1.6829588120919306e-05,24.55980006748395,53.20646992040245,20.0,3.0650462020345715e-05,0.00014465428238996658,2.5213657227787876e-05,0.00020051840163810017,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T13:14:49,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,0.2115415500011295,3.556194544593479e-06,1.6810830297369463e-05,24.710081789866937,63.22641464576077,20.0,1.5098545412123299e-06,6.6516719881004605e-06,1.1735424944264803e-06,9.33506902373927e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T13:14:53,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,4.269250650002505,7.373718682995346e-05,1.7271728634656264e-05,24.7963772216983,71.12096052873723,20.0,2.933517374590494e-05,0.00014050955685207533,2.3716594588929865e-05,0.00019356132518691025,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T13:14:53,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,0.212433158987551,2.8422640867864805e-06,1.3378083744903745e-05,24.914769221228983,72.2975639810722,20.0,1.5334717823334287e-06,4.748614909955151e-06,1.1789031667124332e-06,7.4609898590011214e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T13:14:58,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,4.270582198005286,7.503906078637306e-05,1.7571181853706486e-05,25.00843646672618,77.62325214777601,20.0,3.063788228805514e-05,0.0001426170585379083,2.3723824855551392e-05,0.00019697876568151472,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T13:14:58,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,0.2005596310045803,2.935509177508992e-06,1.4635909505953956e-05,25.767589090791954,78.40470749471558,20.0,1.8345611898645808e-06,4.757781584263654e-06,1.1134169778314554e-06,7.705759751959473e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T13:15:02,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,4.264872874991852,7.546421716877116e-05,1.7694403434929148e-05,26.274173874982605,82.26828624473586,20.0,3.117290521608557e-05,0.00014322928124999024,2.3692621694499445e-05,0.00019809480816057514,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-15T13:15:02,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,0.2011018619959941,2.6661187419697256e-06,1.3256857081946147e-05,26.83463370064769,81.41413610200358,20.0,1.861857322815741e-06,4.020558771689053e-06,1.116189344449849e-06,6.998605438954426e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-15T13:15:07,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,4.26261651799723,7.579455275236115e-05,1.7781294526543238e-05,27.20334616399553,84.52767105688932,20.0,3.096645421758748e-05,0.00014431622656396748,2.3679263705546198e-05,0.00019896194448710105,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-15T13:15:07,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,0.2033545750018675,2.514179731353183e-06,1.2363091956215017e-05,27.569996458941052,83.07610947275745,20.0,1.84517425391717e-06,3.62555845612178e-06,1.129030333282214e-06,6.599763043321164e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-15T13:15:11,sac_HalfCheetah-v5_seed43611,60b8af57-0f7d-48be-887d-3234908e39fb,4.26572641999519,7.474005556918338e-05,1.7521106075744126e-05,27.806493545092057,85.49289511072772,20.0,3.1108750442536415e-05,0.00014138816866604564,2.3696952972224812e-05,0.00019619387208080676,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
