task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T14:10:04,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,90.00272458301333,0.0006040877158250813,6.711882126146418e-06,4.74294480997813,12.825077584839745,20.0,0.0004055176274694039,0.0006631502527418842,0.0005170722847055812,0.0015857401649168692,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T14:10:05,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.15539868500491139,2.1038428996227564e-06,1.3536968780346067e-05,15.320124609244237,32.21887634943053,20.0,1.5962362769905702e-06,3.0638913397496026e-06,8.624945111579537e-07,5.522622127898018e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T14:10:05,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.34786465599609073,3.831110540169504e-06,1.101369245077062e-05,19.598778466007104,37.030142945790516,20.0,3.1538844675466082e-06,4.9713928660377604e-06,1.931450688910717e-06,1.0056728022495194e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T14:10:10,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.702456749000703,8.780367746148536e-05,1.8671870998098147e-05,21.87080710664469,55.90360647700411,20.0,3.274257424959459e-05,0.00017162152618599436,2.6121993438896944e-05,0.0002304860938744859,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T14:10:10,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.22051868500420824,2.824597734258261e-06,1.2808813965000643e-05,22.51986380651888,59.035524380324354,20.0,1.5988471124134263e-06,4.587781448073258e-06,1.2279868332876328e-06,7.414615393774209e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T14:10:14,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.414732820005156,8.60736079678784e-05,1.949693803874937e-05,22.970801608169975,70.44831295546376,20.0,3.1066500964294086e-05,0.00017035402517207032,2.4524106933272835e-05,0.00022594463306963735,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T14:10:15,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.21766869501152541,2.4093264585010573e-06,1.1068020701681908e-05,23.329733878265056,68.96503821418683,20.0,1.5770607060955344e-06,3.5394472757133144e-06,1.2080135000158221e-06,6.3245214818245625e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T14:10:19,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.43027003199677,8.582546038397897e-05,1.937255490101645e-05,23.62081574171954,76.49003864590534,20.0,3.247707153718887e-05,0.00016820541234241482,2.461075771110089e-05,0.00022529324159070458,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T14:10:19,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.2091478779911995,2.9605953393785833e-06,1.4155022000786625e-05,24.5588936306127,76.89157424865196,20.0,1.9359298820756377e-06,4.6747259618840076e-06,1.1609554944799197e-06,7.771611338439673e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T14:10:24,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.455034683007398,8.64125693806995e-05,1.9396627578750657e-05,25.19468736949874,82.4080852587811,20.0,3.188864273311748e-05,0.0001702026361618536,2.4743133444442484e-05,0.00022683441233941346,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-15T14:10:24,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.20984258300450165,2.7272072472370613e-06,1.2995943397203591e-05,25.818512285229403,81.36279913972164,20.0,1.9235026499087038e-06,4.0705588120193426e-06,1.1649023055926603e-06,7.158963767520815e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-15T14:10:28,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.508718258992303,8.532494064035414e-05,1.8924483619787152e-05,26.195603909353636,85.56238100001399,20.0,2.866948488002008e-05,0.0001702637473219859,2.5046136849980272e-05,0.00022397936905198604,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-15T14:10:29,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.21720007099793293,2.801345114422909e-06,1.2896889664693186e-05,26.1399269670292,84.89949127779359,20.0,1.547899571650857e-06,4.600003680188536e-06,1.2056736333761848e-06,7.353576885215686e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-15T14:10:33,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.443411426007515,8.697911474298036e-05,1.95748777773566e-05,26.102054863111928,88.49205805638415,20.0,3.2346609210594235e-05,0.00017129152592199048,2.468346807775869e-05,0.0002283216032103433,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-15T14:10:33,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.21013650399981998,2.5873697570197828e-06,1.231147831869287e-05,26.476618675376997,86.9620457139994,20.0,1.8913573464202083e-06,3.7341696539350266e-06,1.1663610611221172e-06,6.791888061477135e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-15T14:10:38,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.441780674998881,8.586950171591157e-05,1.9332251120219963e-05,26.736809282139614,89.88024449992221,20.0,3.224073023700563e-05,0.0001684937459058844,2.4674374666695592e-05,0.0002254088508095854,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-15T14:10:38,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.21125142800156027,3.1437002282405646e-06,1.4880752357291321e-05,27.054702334313237,89.77755032305527,20.0,1.9230448717669213e-06,5.157781904019387e-06,1.171437899999254e-06,8.252264675785454e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-15T14:10:42,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.471493459001067,8.577847252802268e-05,1.9183447678087037e-05,27.25092910642084,92.27385329864074,20.0,2.992200893759539e-05,0.00017040874743812218,2.483914132220288e-05,0.00022516989769792023,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-15T14:10:43,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.21636227700219024,2.8156089830096154e-06,1.3012833915739585e-05,27.15377437653897,91.53480031448456,20.0,1.5353537282866703e-06,4.6547259460183454e-06,1.2009400999684955e-06,7.39101977427362e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-15T14:10:47,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.436952265998116,8.683599737310203e-05,1.9571119990919127e-05,27.074805241428255,93.78090416865349,20.0,3.23622917231467e-05,0.00017093624785990968,2.4647378183322477e-05,0.00022794591776637875,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-15T14:10:47,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,0.20801369201217312,2.5585629355483804e-06,1.229938233845686e-05,27.30520404930738,92.4193121724138,20.0,1.8754545559121483e-06,3.686114059986423e-06,1.1547010666012117e-06,6.716269682499783e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-15T14:10:52,sac_HalfCheetah-v5_seed43611,c3deb7a6-3a10-46b5-ae29-4d28be51b808,4.487752228000318,8.567727092717364e-05,1.909143162730411e-05,27.43880333497207,94.3620613466552,20.0,2.907779242888181e-05,0.00017089708116202473,2.492936824443552e-05,0.00022490424183534228,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
