task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-08-31T14:38:24,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,90.01296699800059,0.0005701703366736022,6.33431306951199e-06,10.061330116866618,10.486983781817079,20.0,0.0004362692212373162,0.0005428223787019987,0.0005176148882444422,0.001496706488183757,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-08-31T14:38:25,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,0.15767434800000046,1.4676246264236142e-06,9.307482927214983e-06,19.154908002496168,16.76055450090825,20.0,1.7000802489536282e-06,1.279723245997677e-06,8.727352277774917e-07,3.852538722728905e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-08-31T14:38:26,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,0.7175086269999156,6.1502674779719685e-06,8.571702194110676e-06,23.36405275874231,18.790764927827503,20.0,7.216716328917183e-06,4.94972618199363e-06,3.978110522221984e-06,1.6144553033132798e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-08-31T14:38:49,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,22.64284040199982,0.0002307333804817416,1.0190131493158785e-05,25.87998928765557,23.312551069515752,20.0,0.00021951402811107995,0.00026037798608000845,0.0001257868950666661,0.0006056789092577545,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-08-31T14:38:49,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,0.5122936329998993,4.349982311050273e-06,8.491314380836932e-06,27.199912278312663,23.814941616004177,20.0,4.851760825853868e-06,3.7322252079974305e-06,2.8347888999986654e-06,1.141877493385018e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-08-31T14:39:13,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,24.23897513600059,0.00024734077386522773,1.0204264908930547e-05,28.151843405146508,26.27470715567991,20.0,0.00023837372264327167,0.00027625244322399684,0.0001346474234888875,0.000649273589356156,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-08-31T14:39:14,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,0.5287114410002687,4.864462450080223e-06,9.200301537091728e-06,29.06064817403177,26.90495344982519,20.0,5.255270315321359e-06,4.585837002003823e-06,2.9281864222209996e-06,1.276929373954629e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-08-31T14:39:43,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,28.741412665999633,0.00029639939571497916,1.0312628207644482e-05,29.770608253543212,28.495827559071284,20.0,0.000289325408404581,0.00032907276325799817,0.00015965510492221965,0.0007780532765847988,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-08-31T14:39:43,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,0.7894178879996616,7.429618682681894e-06,9.411642917220292e-06,30.551681903696146,28.781676914072857,20.0,8.284016071648248e-06,6.850005480001087e-06,4.368849383333995e-06,1.950287093498322e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-08-31T14:40:13,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,29.17602491100024,0.0002996709039367728,1.0271137045393228e-05,31.186124983074055,29.892843735200664,20.0,0.0002922717227060792,0.0003322933213900023,0.00016207599524444352,0.0007866410393405246,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-08-31T14:40:13,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,0.4997199469999032,4.484941263146764e-06,8.975119041546426e-06,31.530035097365143,29.844738960855434,20.0,4.94327951017226e-06,4.060281026001256e-06,2.769483861114492e-06,1.1773044397287574e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-08-31T14:40:36,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,22.701807895000456,0.00023100995061020807,1.0175846336135346e-05,31.81634697717336,30.799670962902812,20.0,0.00021388329055093552,0.0002664285464759955,0.00012609307335555457,0.000606404910382486,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-08-31T14:40:36,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,0.5453828069994415,4.950503010925757e-06,9.077244187472046e-06,32.018106548929175,30.79504047575674,20.0,5.311998971822829e-06,4.654725945997529e-06,3.0284267055573615e-06,1.2995151623377936e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-08-31T14:41:10,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,33.84590647799996,0.000340815791161212,1.0069633317127068e-05,32.196116976452316,31.336033003925657,20.0,0.0003408416346175336,0.00036578807040800465,0.00018801733831666457,0.0008946470433422024,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-08-31T14:41:11,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,0.5043114199997945,4.5068309104806525e-06,8.936278705298703e-06,32.38291478877729,31.196148509238245,20.0,4.975272035780132e-06,4.06305880600033e-06,2.792174238887366e-06,1.1830505080668262e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-08-31T14:41:34,sac_HalfCheetah-v5_seed56,94c76186-0ecd-4c8f-b836-1505ccf51b23,23.646748753999418,0.000245200321146828,1.036930385764074e-05,32.55015568975415,31.82091935367704,20.0,0.00023764242094711369,0.0002746538308339985,0.00013135861407222366,0.0006436548658533357,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
