task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T13:35:45,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,90.00277715200082,0.0006294839049486545,6.994049109128704e-06,10.408436158857882,14.159535063103672,20.0,0.0004034111382842098,0.0007320169745019811,0.0005169774652388898,0.001652405578025081,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T13:35:46,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,0.14978150900060427,2.1293623614444725e-06,1.4215001779993433e-05,18.975583126357996,35.332280003806375,20.0,1.5242653860769728e-06,3.233335920005409e-06,8.320098277787629e-07,5.589611133861253e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T13:35:46,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,0.3414415340002961,3.818792157342268e-06,1.1184580506821466e-05,22.216104708521875,39.91693380743255,20.0,3.0465643816937615e-06,5.083892956003755e-06,1.893934727776399e-06,1.0024392065473807e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T13:35:55,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,8.65007014999992,0.00012778743630168876,1.4773005799521425e-05,23.971376572355606,51.16829708636999,20.0,5.631241088322608e-05,0.0002310779626399917,4.805374329444525e-05,0.00033544411681766303,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T13:35:55,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,0.20545131300059438,2.585740832045276e-06,1.2585394116085635e-05,25.108448850500594,53.95615076011842,20.0,1.7747636420345492e-06,3.872503097995805e-06,1.1403453666642555e-06,6.78761210669461e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T13:36:03,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,8.4137526909999,0.0001248935011595589,1.4843982704688011e-05,25.809745310392888,60.02926837568955,20.0,5.565418202330835e-05,0.00022545240258400878,4.674090498333499e-05,0.0003278474895906519,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-08T13:36:04,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,0.203956948999803,2.670315548306424e-06,1.309097042596345e-05,26.450552752969077,61.597331724735184,20.0,1.7694230822068446e-06,4.1083366200123095e-06,1.1318624222238314e-06,7.009622124442769e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-08T13:36:12,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,8.466772689000209,0.00012444493617689298,1.4698054161294507e-05,26.836209472669065,65.54129584062684,20.0,5.1291261032967994e-05,0.00022834323822998326,4.703549988888784e-05,0.0003266699991518389,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-08T13:36:12,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,0.20621188699988124,2.454093971506399e-06,1.1900217555725067e-05,26.545829926716447,65.82245541551566,20.0,1.3843763852702806e-06,3.913058685994786e-06,1.1446018666700156e-06,6.442036937935082e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-08T13:36:21,sac_HalfCheetah-v5_seed85062,281ccf85-5472-4508-af96-0b47a99ed484,8.357467208000344,0.00012569688508783138,1.5040081957702115e-05,26.321689832016865,68.64431477142506,20.0,5.8663752486518006e-05,0.0002248637910020057,4.6428842094443706e-05,0.0003299563855829672,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
