task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T20:00:12,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,90.0032454860002,0.0006197742428718394,6.886131702297944e-06,12.361590539417309,13.953693223192028,20.0,0.00038739915269685524,0.0007220544665320003,0.0005174639365444465,0.001626917555773302,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T20:00:13,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,0.15301898600046115,1.5159426540168035e-06,9.905570492708855e-06,20.36626154926913,21.3335135746694,20.0,1.578739318545963e-06,1.5450012360029852e-06,8.556337833346426e-07,3.979374337883699e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T20:00:13,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,0.31648434500039,4.249946619823983e-06,1.3429359812195487e-05,23.254910791578805,34.71424297580907,20.0,2.8239561480521147e-06,6.575838593994576e-06,1.7563848611138995e-06,1.1156179603160482e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T20:00:17,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,4.385489528000107,5.1518612293977636e-05,1.1747520338573892e-05,24.75680774804645,40.74892175310022,20.0,3.1856124929324076e-05,7.902422988599611e-05,2.435684768888676e-05,0.00013523720250420705,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T20:00:18,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,0.19994560700069997,2.449532919004244e-06,1.2250177045123528e-05,25.96072502307558,44.53747861447197,20.0,1.7948033802853147e-06,3.5250028199984573e-06,1.1102579000029159e-06,6.430064100286688e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T20:00:22,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,4.146577975000582,4.853128942661352e-05,1.17039699969797e-05,26.64666607248833,47.41857493953007,20.0,2.9835678035189384e-05,7.452505962000228e-05,2.3034693311112524e-05,0.00012739543096630408,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T20:00:22,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,0.20052639999994426,2.431975009717499e-06,1.2127104701147233e-05,27.329900077474235,49.27352375155162,20.0,1.8062645005638422e-06,3.465002772005954e-06,1.1127070277780655e-06,6.383974300347862e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T20:00:26,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,4.171504527000252,4.869108775156167e-05,1.1672367882474656e-05,27.69006889819972,51.11991995083176,20.0,2.829461096900271e-05,7.634700552199697e-05,2.317328770000133e-05,0.00012781490419100068,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T20:00:26,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,0.2048643070002072,2.312871261626946e-06,1.1288928852635241e-05,27.449128258673664,52.11868464870554,20.0,1.454159774438163e-06,3.4788916720013274e-06,1.1382735611125934e-06,6.071325007551975e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T20:00:30,sac_HalfCheetah-v5_seed85062,1859896c-2d93-43f4-b144-f981cbea28c0,4.1537068480001835,4.8335551248847503e-05,1.163674544379259e-05,27.25653480308905,53.23399124910736,20.0,2.9482369974763445e-05,7.431561500800127e-05,2.3083630055553976e-05,0.00012688161503831858,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
