task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T14:21:15,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,90.00265193700034,0.0006020919192045376,6.689712955825299e-06,12.329271467815492,12.729483966993476,20.0,0.00040513180104961855,0.0006582574710500833,0.0005171118939444973,0.001580501166044199,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T14:21:16,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,0.15171230999112595,1.4917049171112853e-06,9.831154981590972e-06,20.180735778232794,20.660002114162648,20.0,1.533759838120985e-06,1.5394456760464692e-06,8.425443666864154e-07,3.915749880853978e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T14:21:16,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,0.34149112399609294,4.434760383172434e-06,1.2986981021401474e-05,23.375229555692865,32.9162885111072,20.0,3.144390015502596e-06,6.602505281838589e-06,1.894423466728811e-06,1.1641318764069996e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T14:21:21,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,4.626724108005874,8.641657446363733e-05,1.8677722229460435e-05,24.935583453195154,52.824331294695504,20.0,3.092293279388647e-05,0.0001702204139539809,2.5701578999966506e-05,0.000226844925747834,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T14:21:21,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,0.21335274599550758,2.7880292231435323e-06,1.3067139906649629e-05,24.99534361999208,57.02399588648492,20.0,1.513330099553456e-06,4.621114808145421e-06,1.184177544443334e-06,7.318622452142211e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T14:21:25,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,4.268221165999421,8.429538005554028e-05,1.9749569904322922e-05,25.07744837869635,68.87204913171857,20.0,3.163985725632146e-05,0.0001659267994080782,2.3710098961116023e-05,0.00022127675562551579,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T14:21:25,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,0.20097128800989594,2.7221768896229905e-06,1.3543362457099808e-05,26.074045088493843,69.59591490375641,20.0,1.8640612134690482e-06,4.1661144438709385e-06,1.1155833389138404e-06,7.1457589962539356e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T14:21:29,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,4.0666558900120435,8.26370643128956e-05,2.0320689556297596e-05,26.711214195182208,77.99513700054689,20.0,3.0336419824680827e-05,0.00016399679786394117,2.2590431905539178e-05,0.00021692364959416096,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T14:21:30,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,0.19944413300254382,2.54202382775424e-06,1.2744772813806344e-05,27.376917291276776,76.88080200630021,20.0,1.8676895497116153e-06,3.6988918479252675e-06,1.1062728555569007e-06,6.672854253193892e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T14:21:34,sac_HalfCheetah-v5_seed85062,4557ba66-3613-41ff-bfc8-370dd9074dab,4.046053746002144,8.15119813597653e-05,2.014609334718962e-05,27.800111052547013,82.95391245143952,20.0,3.001040789719911e-05,0.00016148290696427203,2.2476973522215214e-05,0.00021397028838368625,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
