task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T12:43:03,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,90.0027851269997,0.0006299575201366971,6.999310931655597e-06,11.845560449051948,13.92876358633457,20.0,0.00041660116828066626,0.000720076964949995,0.0005169706924333292,0.0016536488256639903,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T12:43:03,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,0.1565102200002002,2.1274620345215246e-06,1.3591703750132997e-05,19.999201844557444,33.162546348330345,20.0,1.6003557247283584e-06,3.1150024920045816e-06,8.692645277783928e-07,5.584622744511224e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T12:43:04,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,0.3491817970007105,3.851828338598262e-06,1.1031470466424607e-05,23.0300885095365,37.87563425023466,20.0,3.1329800063845115e-06,5.040559587998761e-06,1.9375729888906337e-06,1.0111112583274014e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T12:43:12,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,8.785568640999372,0.00012832634108018146,1.4606502495833303e-05,24.651310285594857,49.25794084736539,20.0,5.673780844576634e-05,0.00023131435171801218,4.880659053888947e-05,0.0003368587507026682,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T12:43:13,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,0.22206122599982336,2.5969549439009733e-06,1.1695022863172643e-05,24.71924514841017,51.930719827858915,20.0,1.5595473587468045e-06,4.025003219998435e-06,1.2324987555530163e-06,6.817049334298473e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T12:43:21,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,8.663061666999965,0.0001265737234872759,1.4610759032664369e-05,24.72424963509265,58.19147493956014,20.0,5.371659047324201e-05,0.0002304162954439859,4.812521485000106e-05,0.00033225810076722897,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-08T12:43:21,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,0.21845526499964762,2.5409268002851574e-06,1.1630130224273461e-05,24.52538322686169,59.24484067476746,20.0,1.4167591889623077e-06,4.0405587880126825e-06,1.2126565611147219e-06,6.669974538089495e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-08T12:43:30,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,8.748801888000344,0.00012766748254700532,1.4592581387354055e-05,24.356360451777505,63.32083021596332,20.0,5.3406786892060826e-05,0.00023312018649600252,4.860226285555256e-05,0.0003351292362436158,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-08T12:43:30,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,0.2196687480000037,2.4224354546369467e-06,1.1027449017637435e-05,24.364942694702794,62.94850861880708,20.0,1.505259815320903e-06,3.6344473519911435e-06,1.2192256444399849e-06,6.358932811752031e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-08T12:43:39,sac_HalfCheetah-v5_seed958,308f02d1-f043-4a3a-b545-b3ea272caf1f,8.513345372000003,0.0001279911810544176,1.5034188974823903e-05,24.382910091297273,66.00280345484357,20.0,6.037817608028212e-05,0.0002283062937560032,4.729448029999934e-05,0.00033597895013628455,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
