task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-08T14:24:18,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,90.00273593499878,0.0006191341510595552,6.879058589157392e-06,7.440875829308526,13.525905174110836,20.0,0.00040900544137074946,0.0006992566705159575,0.0005169751923777767,0.001625237304264484,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-08T14:24:19,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.15606053000010434,2.119337654224321e-06,1.3578646137943749e-05,16.93356112220006,32.99175637074751,20.0,1.578671540714005e-06,3.1180580500056454e-06,8.665665222199522e-07,5.563296112939603e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-08T14:24:19,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.3466946669996105,3.827321686841962e-06,1.1039701619902697e-05,20.425151164502687,38.068605972319745,20.0,2.9934810058945827e-06,5.129170770001856e-06,1.924130444452485e-06,1.0046782220348924e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-08T14:24:36,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,17.338974065000002,0.0002565209389343233,1.4794475161608654e-05,22.44708308943679,49.55091907046917,20.0,0.00011718597152647614,0.00045986036788797646,9.632533386110377e-05,0.0006733716732755565,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-08T14:24:36,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.21740256900011445,2.437843319398462e-06,1.1213017927845515e-05,22.74261574254491,51.550984852032094,20.0,1.4768786815166912e-06,3.71555852801686e-06,1.2069415000041678e-06,6.399378709537936e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-08T14:24:54,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,17.084708080999917,0.00025427934382492377,1.4883456145355808e-05,22.955522110285084,57.929440742917805,20.0,0.00011604022477655629,0.0004565342541159867,9.491297044444057e-05,0.0006674874493369834,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-08T14:24:54,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.215598922000936,2.445654142703554e-06,1.1342305166048138e-05,23.186043501979576,58.43886569447521,20.0,1.5021573128437549e-06,3.718614086017924e-06,1.199110849999332e-06,6.419882248860902e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-08T14:25:11,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,17.062148805000106,0.00025669854719277707,1.504492090067794e-05,23.366757294601953,62.73956843580192,20.0,0.00011864218269144744,0.0004604084238820083,9.47872912944452e-05,0.0006738378978679012,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-08T14:25:11,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20748599600119633,2.5576323448143513e-06,1.232615470405323e-05,24.23967818963726,62.881230456077176,20.0,1.8676384385546418e-06,3.694725177999514e-06,1.1514632500014181e-06,6.713826866555465e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-08T14:25:28,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,17.127094173998557,0.00025626973069807794,1.4962837964358592e-05,24.913639281740508,66.00764722824356,20.0,0.00011479872100557398,0.000462765092433981,9.514843409444646e-05,0.0006727122475340013,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-08T14:25:28,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20781348099990282,2.729781156186103e-06,1.31350567142496e-05,25.50192155909475,66.4978911153958,20.0,1.8639934356301513e-06,4.148058873998384e-06,1.1536680111121859e-06,7.165720320740504e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-08T14:25:46,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,17.178684693999458,0.0002573725549240254,1.4982094843989878e-05,25.96317420880608,68.93300386447392,20.0,0.00011180005193997533,0.00046837176358602295,9.543536369443855e-05,0.000675607179220437,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-08T14:25:46,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20828093099953549,2.675879423709145e-06,1.2847434325654171e-05,26.364773618987417,68.97641572437982,20.0,1.8455642542269945e-06,4.022225439992422e-06,1.156437694438189e-06,7.024227388657822e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-08T14:26:03,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,17.208773400998325,0.0002585735522492587,1.502568952522137e-05,26.68377636945508,70.92801405660744,20.0,0.00011350574441562622,0.000469651486831979,9.560258565555462e-05,0.0006787598169031598,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-08T14:26:03,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20783546199891134,2.752835103151524e-06,1.3244068560219422e-05,26.96905781390386,71.06612513227188,20.0,1.8299834084190003e-06,4.237781168009436e-06,1.1584727333279789e-06,7.226237309755981e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-08T14:26:21,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,17.39519242300048,0.00025917740059406896,1.4899376796603895e-05,27.192411117522443,72.66405271286163,20.0,0.00010906329141723015,0.00047464371304800634,9.663792424999978e-05,0.000680344928715236,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-08T14:26:21,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.223358802999428,2.7289195707099617e-06,1.2217625445243516e-05,26.99688415415538,72.60785005947974,20.0,1.482032852301307e-06,4.4419479979795895e-06,1.239477794448855e-06,7.163458644729968e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-08T14:26:37,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,16.472504605000722,0.0002562603155785493,1.5556859955225663e-05,26.828030758890943,74.12178947959109,20.0,0.00011733771109230517,0.0004638387044040293,9.151111719443695e-05,0.0006726875326907716,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-08T14:26:37,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20709555199937313,2.8634251190871526e-06,1.382593966352649e-05,27.04900803717191,74.37499202881266,20.0,1.8152331188597826e-06,4.551948085990132e-06,1.1493567111150581e-06,7.516537915965189e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-08T14:26:53,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,15.892732804999468,0.00024751083053921666,1.5573848358867962e-05,27.22803563001627,75.73567885547362,20.0,0.00010695347945161027,0.0004544759191359993,8.829059232777774e-05,0.0006497199909153871,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-08T14:26:54,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20831192399964493,2.874459844140996e-06,1.3798137603864542e-05,27.431256575690703,75.85919879062119,20.0,1.852295092932832e-06,4.5369480740076185e-06,1.1562610833305061e-06,7.545504250271173e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-08T14:27:10,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,15.938705339998705,0.00024942383914435635,1.564895047396138e-05,27.598380064420173,77.0376921844881,20.0,0.00011033707576958707,0.0004558584202420113,8.85461738777747e-05,0.0006547416698893726,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_10,2026-09-08T14:27:10,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.22211316199900466,2.6592541493950135e-06,1.1971321298406835e-05,27.5573852235086,76.59313722363088,20.0,1.6574577148542602e-06,4.090836605963322e-06,1.2322914500044208e-06,6.980585770822653e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_10,2026-09-08T14:27:26,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,16.10598020299949,0.00024689718593490706,1.5329541654394875e-05,27.510238079997777,77.61970656749573,20.0,0.00010114958869739121,0.0004574831437640092,8.947643130000462e-05,0.0006481091637614046,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_11,2026-09-08T14:27:26,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20626928199999384,2.85604897863655e-06,1.3845883400460909e-05,27.693127378176055,77.64663787329434,20.0,1.8675709384935457e-06,4.484725809994483e-06,1.1448786777792062e-06,7.497175426267669e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_11,2026-09-08T14:27:42,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,15.996079819000443,0.00024722159933966443,1.54551446826195e-05,27.84318011738471,78.55305814437646,20.0,0.00010635340313820685,0.0004537431407720116,8.886421036111429e-05,0.0006489607542713334,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_12,2026-09-08T14:27:42,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20885551200080954,2.91169850273219e-06,1.3940675177686257e-05,28.03141661496851,78.55720304598478,20.0,1.9400159964599872e-06,4.547503638013817e-06,1.1557367055501592e-06,7.643256340023746e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_12,2026-09-08T14:27:59,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,16.945574385999862,0.0002591079925210772,1.5290607664509248e-05,28.189646241119092,79.288905401402,20.0,0.00011637542587802918,0.00046964787571798783,9.413942978888181e-05,0.0006801627313848986,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_13,2026-09-08T14:27:59,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.20858360800048104,2.6887476880952874e-06,1.2889727326035877e-05,28.30809211030182,78.97754284771261,20.0,1.8575000971104982e-06,4.044447680012775e-06,1.1560590166684922e-06,7.058006793791982e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_13,2026-09-08T14:28:17,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,17.277896797999347,0.00025732384209894554,1.4893247759637413e-05,28.402577170800374,79.59455538808903,20.0,0.00010865659442520215,0.0004708367655579804,9.598594727222012e-05,0.0006754793072554031,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_14,2026-09-08T14:28:17,sac_HalfCheetah-v5_seed958,07f86593-cbaa-4ca9-897e-d6875f1ae654,0.21622050000041781,2.5505488537632542e-06,1.1794676824076234e-05,28.310886174605766,79.18342964340538,20.0,1.54457651344031e-06,3.9591698340057935e-06,1.1914862388846554e-06,6.695232586331409e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
