task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-12T19:28:05,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,90.00338672999987,0.0007179659721280677,7.977099047541655e-06,6.235225792333486,18.933773931649426,20.0,0.0003884988177432491,0.0009790718943680013,0.0005171017439277775,0.001884672456039028,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-12T19:28:05,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,0.15364190599984795,2.249913861108706e-06,1.4642072776773197e-05,16.428532699442204,39.661389622187464,20.0,1.59342183029057e-06,3.4600027680013745e-06,8.526361999984695e-07,5.906060798290414e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-12T19:28:06,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,0.3152522290001798,3.7881092111887154e-06,1.2016461554897404e-05,20.219170492343043,45.21557133856931,20.0,2.7835880602039564e-06,5.411670995998652e-06,1.748589772223013e-06,9.943848828425621e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-12T19:28:10,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,4.387284131000342,5.3467053191937476e-05,1.2186854871832799e-05,22.216435435643813,50.27183071377782,20.0,3.0070222111714534e-05,8.590951317200002e-05,2.4372156544445202e-05,0.00014035189182815986,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-12T19:28:10,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,0.20564905899982477,2.349370858425472e-06,1.1423605330015995e-05,22.78408198193178,52.24424218053889,20.0,1.4783025715295328e-06,3.546947281999474e-06,1.1418871944442882e-06,6.167137047973295e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-12T19:28:14,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,4.094758060999993,5.0353077505111647e-05,1.229698324528365e-05,23.195451531064357,54.833831501381916,20.0,2.9393259070146366e-05,8.003756403000134e-05,2.2746831461111254e-05,0.00013217765456125918,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-12T19:28:14,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,0.19768995599997652,2.5165059336241385e-06,1.272815155914906e-05,24.29966183870163,56.47884614504223,20.0,1.7769505882281322e-06,3.7316696519969217e-06,1.0972491222219086e-06,6.605869362446854e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-12T19:28:19,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,4.137666441999954,4.976717990385574e-05,1.2027864586087274e-05,24.976458158038827,57.96118135227087,20.0,2.741080665084883e-05,8.024339752800425e-05,2.298545956666662e-05,0.0001306396637455196,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-12T19:28:19,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,0.2023119640002733,2.385793884674076e-06,1.1791911505293998e-05,24.909293607388527,58.85850049385463,20.0,1.3795955481170352e-06,3.7600030079951163e-06,1.1231495333327741e-06,6.262748089444926e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-12T19:28:23,sac_HalfCheetah-v5_seed958,9e72d049-9e14-46f5-97f6-7b5abe4f5498,4.112129243000254,5.119577143103621e-05,1.2449960998342783e-05,24.87865700460083,60.05593867821005,20.0,2.9304893721673886e-05,8.224812135400328e-05,2.2836724866667486e-05,0.00013438973994234476,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
