task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T12:52:22,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,90.00368943200738,0.0006101966531608517,6.779684390092897e-06,11.6769667734448,12.77676258596024,20.0,0.00042246322880364756,0.0006615430292338242,0.0005177699676111742,0.001601776225648646,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T12:52:22,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,0.15687703400908504,2.1089710146286354e-06,1.3441927763753887e-05,19.797998270620194,31.943251257051116,20.0,1.59571044323209e-06,3.0677802318468395e-06,8.725928388432979e-07,5.536083513922119e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T12:52:23,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,0.34159700099553447,3.797106282517229e-06,1.1116339005452584e-05,22.81682936817167,37.174505208030844,20.0,3.0474121601523074e-06,5.021115128123199e-06,1.8989389999963168e-06,9.967466288271932e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T12:52:27,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,4.52014816099836,7.747904816676927e-05,1.7140865931242816e-05,24.419333283042796,52.80572723403291,20.0,3.34805726177681e-05,0.0001447942825019144,2.5108917466665497e-05,0.0002033837725863481,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T12:52:27,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,0.20384423100040294,2.942812802085972e-06,1.4435865892322494e-05,25.865437268374688,57.85001123407276,20.0,1.8937142927492878e-06,4.70000376018298e-06,1.1312138333677063e-06,7.724931886300083e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T12:52:32,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,4.280372923996765,7.512730043051264e-05,1.755160244115654e-05,26.710536040970688,66.632964415782,20.0,3.1550423851431364e-05,0.00014188094683809105,2.3779025505549093e-05,0.00019721039619507172,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T12:52:32,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,0.20874281199940015,2.8302911319703092e-06,1.3557318122737038e-05,27.48029369100424,67.68807938556279,20.0,1.92397737251368e-06,4.347781255908956e-06,1.1578020277536747e-06,7.429560656176202e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T12:52:36,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,4.283069552999223,7.499046825978125e-05,1.750860165322593e-05,27.924840362001888,73.44747106277212,20.0,3.086625497076764e-05,0.0001421920581978764,2.3792896333341335e-05,0.00019685120950198526,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T12:52:36,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,0.20704791699245106,2.6748542420402047e-06,1.2918180196922944e-05,27.73843054823364,73.68366747265834,20.0,1.513720099859811e-06,4.358336820109443e-06,1.1494793499878565e-06,7.021536269957111e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T12:52:41,sac_HalfCheetah-v5_seed958,f5a92440-7567-446b-a701-2f670d3e0d4c,4.294612989993766,7.540112489118529e-05,1.7557175736895452e-05,27.594562119682404,77.83764431114652,20.0,3.167142589267924e-05,0.00014240094725415098,2.3856816749968056e-05,0.00019792918989679827,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
