task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-15T13:47:45,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,90.00275916900137,0.0006054130960994764,6.726605567381553e-06,11.316871818122522,12.700223233051183,20.0,0.0004151489412855605,0.0006568641366018202,0.0005172062319944315,0.0015892193098818123,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-15T13:47:46,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,0.15590856000198983,1.5085467250434926e-06,9.67469386228514e-06,19.293729255514467,20.366398922226526,20.0,1.547696238161922e-06,1.5463901259504809e-06,8.658735388760667e-07,3.9599599029884695e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-15T13:47:46,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,0.3429924869997194,4.387537827356554e-06,1.2792276290363862e-05,22.486150274405336,32.454848689171726,20.0,3.07238551345429e-06,6.541671900173185e-06,1.9033013666760112e-06,1.1517358780303378e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-15T13:47:51,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,4.570551905999309,8.775144293248621e-05,1.919933459042039e-05,24.16810852868288,53.006593970422955,20.0,3.33114205380014e-05,0.00017164874842978683,2.5388808411096523e-05,0.00023034897737888487,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-15T13:47:51,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,0.20788499599439092,2.536403052058123e-06,1.2200580124972302e-05,25.560438537839715,54.57251521162558,20.0,1.8984273520775141e-06,3.604725105965656e-06,1.1549471667320456e-06,6.658099624775324e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-15T13:47:55,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,4.350663025994436,8.424846547128411e-05,1.9364551338910175e-05,26.363870413902813,66.37124871128104,20.0,3.123507609915227e-05,0.00016575068815627425,2.4167839816719707e-05,0.00022115360407214623,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-15T13:47:55,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,0.20891485099855345,2.96792159191052e-06,1.4204597806618513e-05,26.26072873713843,69.14142680011992,20.0,1.49651175276877e-06,5.134726329902861e-06,1.1596047888613866e-06,7.790842871533126e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-15T13:48:00,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,4.322649055000511,8.600834317784101e-05,1.9897175219118534e-05,26.217742692278954,77.09889607678448,20.0,3.27022061617499e-05,0.0001690515241299373,2.4019581633345126e-05,0.0002257733119250321,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-15T13:48:00,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,0.2043615389993647,2.554908709980299e-06,1.2501349374648677e-05,26.939347017112823,75.83536182122167,20.0,1.9169754224696023e-06,3.655836257943079e-06,1.1338656000184789e-06,6.706677280431377e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-15T13:48:04,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,4.341512047001743,8.492679898748797e-05,1.9561611586631725e-05,27.40882273677371,81.49320580351386,20.0,3.231570168587411e-05,0.00016650096653414437,2.411757246114168e-05,0.00022293424068116005,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-15T13:48:05,sac_HalfCheetah-v5_seed958,33033ef1-3adf-46f2-a794-716815e18d23,0.20501750300172716,2.9224133893803817e-06,1.4253832223359075e-05,27.804405286117326,81.5596663775432,20.0,1.8494637017904547e-06,4.683892635970466e-06,1.13802675550691e-06,7.671383093267939e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614303588867,machine,0.0,0.0,0.0,0.0,N
