task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-02T13:13:14,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,90.01094089200001,0.0005792647372483953,6.43549212757042e-06,6.629675090993996,11.036370417158825,20.0,0.00043151406521097554,0.0005713599015319997,0.0005177054721555552,0.0015205794388985306,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-02T13:13:15,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,0.6673167359999752,5.838670598373795e-06,8.749388030331132e-06,17.23905986510591,15.290936608317173,20.0,7.206696320908104e-06,4.4125035300003265e-06,3.7074062611111612e-06,1.5326606112019484e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-02T13:13:16,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,0.989167420000058,8.10400407887991e-06,8.192692241772692e-06,21.337165265015017,17.37424018198879,20.0,9.294434379985943e-06,6.487227411999287e-06,5.491481872222617e-06,2.127314366420774e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-02T13:13:38,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,21.87517961599997,0.00019944467079794801,9.117401071874575e-06,23.79164456923209,20.50156764722546,20.0,0.00020147123673241616,0.00020056210489400109,0.00012151219137777761,0.0005235455330041949,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-02T13:13:39,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,0.7787094010000146,6.462838923424483e-06,8.29941971050924e-06,25.450931872712573,21.19006267055428,20.0,7.341176984047761e-06,5.311670915999003e-06,4.3122103055559784e-06,1.696505820560296e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-02T13:14:01,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,21.785988454999938,0.0001977858770243079,9.078583139495049e-06,26.63437835128736,22.779547329151463,20.0,0.00020263164877185567,0.00019554265643400084,0.00012101686692777777,0.0005191911721336342,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-02T13:14:02,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,0.8718331299999136,7.1395838342112015e-06,8.188941530654032e-06,27.78831100910989,22.619416241501018,20.0,8.7280628157777e-06,5.1877819280000265e-06,4.825679955555696e-06,1.874152469933353e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-02T13:14:23,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,21.85032812700001,0.00019968841669777107,9.138921676191344e-06,28.67655085699798,23.69898635147479,20.0,0.00020660209750376782,0.00019621932364199957,0.00012136394884444397,0.0005241853699902116,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-02T13:14:24,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,0.9007522910000034,7.4722499162969795e-06,8.295599746951701e-06,29.290409276861034,23.681354801585666,20.0,8.756647838645965e-06,5.868893584000216e-06,4.989237200000041e-06,1.9614778622646222e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-02T13:14:46,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,21.790768779000018,0.00019882788369836942,9.1244079188506e-06,29.788494443990036,24.47545844267579,20.0,0.00020468532569257406,0.00019619515695599998,0.00012104597410000028,0.0005219264567485745,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-02T13:14:47,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,0.8735064310000098,7.388268323465759e-06,8.458224174495733e-06,30.251860401810855,24.48226093833598,20.0,8.62065800763187e-06,5.938060306000248e-06,4.83560725000041e-06,1.939432556363231e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-02T13:15:09,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,21.875681778000057,0.00020012453128402273,9.148266235091988e-06,30.63867152884828,25.107345931525835,20.0,0.00020569065760795043,0.00019812321405399905,0.00012151630627222211,0.0005253301779341718,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-02T13:15:10,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,0.8915103200000658,7.732559338951336e-06,8.673565579509307e-06,31.170925997439237,25.015412404665916,20.0,9.480642028951783e-06,5.880560260000493e-06,4.9368928388894995e-06,2.029809512784156e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-02T13:15:32,sac_Humanoid-v5_seed56,28ec6363-321e-4c85-992d-68d5d7b24471,21.854546007000067,0.00020072965428916492,9.18480240142851e-06,31.62076219299758,25.513453962556223,20.0,0.00020833583194630918,0.00019718599108200022,0.00012139681272222195,0.0005269186357505316,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
