task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-02T13:55:02,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,90.00691112300001,0.0005482228506692346,6.090896942850281e-06,11.324038095414997,10.437116759006068,20.0,0.00038248737404521227,0.0005396032094599976,0.0005170033938388896,0.0014390939773440993,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-02T13:55:03,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,0.6860210760000882,5.984680697629992e-06,8.72361201638016e-06,20.717095480667965,14.484279714814923,20.0,7.593133018946735e-06,4.304447888001106e-06,3.812304111112225e-06,1.5709885018059958e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-02T13:55:04,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,0.8186242480001056,6.8484533527406015e-06,8.365819653617601e-06,24.244853154411842,16.885187518051865,20.0,7.963581926416496e-06,5.471393266003044e-06,4.542327216664637e-06,1.797730240908407e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-02T13:55:29,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,24.787882595000156,0.00024499838732385166,9.883798362093723e-06,26.354552422581634,21.39705880333147,20.0,0.00023386452098035637,0.00027156577280799954,0.0001376944924666683,0.0006431247862550245,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-02T13:55:30,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,0.64858085700007,5.805122338723139e-06,8.950414930218232e-06,27.726851244858267,22.806674009245,20.0,6.2719955731468935e-06,5.369726517996665e-06,3.5968192888882755e-06,1.5238541380031834e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-02T13:55:54,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,24.651421319999827,0.0002447974005718768,9.930358814385e-06,28.704783201458856,25.213392349894345,20.0,0.00023415721815896184,0.000271503272758003,0.00013693670181666624,0.0006425971927336311,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-02T13:55:55,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,0.729747505999967,6.124664030161733e-06,8.392556247068092e-06,29.46036441777426,25.11563132250062,20.0,7.084609278791565e-06,4.945003956001448e-06,4.0477303277789084e-06,1.6077343562571813e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-02T13:56:20,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,24.715280769999936,0.0002452091367023837,9.92136108530049e-06,30.045281682148843,26.72821305154191,20.0,0.00023435098720285888,0.0002720357731839963,0.00013729124644444504,0.0006436780068313002,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-02T13:56:21,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,0.7470665399996506,6.573305323755814e-06,8.798703011425162e-06,30.53753818525335,26.86414694270862,20.0,7.297418337933598e-06,5.816393541999837e-06,4.141222438890156e-06,1.72550343188237e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-02T13:56:45,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,24.545970475000104,0.0002432929047342866,9.911728247709583e-06,30.936677454812752,28.030451574238626,20.0,0.0002316857392373299,0.00027061188315600365,0.00013635024408333474,0.0006386478664766678,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-02T13:56:46,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,0.7442155730000195,6.582571844667524e-06,8.844865078510132e-06,31.297907063575025,28.044081927924893,20.0,7.333090033135453e-06,5.818893544000392e-06,4.1273755111105245e-06,1.727935908824637e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-02T13:57:10,sac_Humanoid-v5_seed56,9fde6526-d0a3-4ebd-bab8-200b8458b236,24.548826528000063,0.0002432327066919835,9.908123707483607e-06,31.59915056940169,28.94815572489143,20.0,0.00023078018240177411,0.0002713454948539973,0.00013636416837222083,0.000638489845627992,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-30-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.1827,48.767,60.81615447998047,machine,0.0,0.0,0.0,0.0,N
