task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T21:44:01,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,90.00323303700134,0.0006265100386304844,6.960971959856732e-06,12.192649950536644,13.85074229851994,20.0,0.0004115934628856205,0.0007160386283862064,0.0005169670388777579,0.0016445991301495847,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T21:44:02,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,1.3568274489953183,1.6227291960161836e-05,1.1959726512648578e-05,17.290494792159848,27.2051064687802,20.0,1.474215123815903e-05,2.0318071810132565e-05,7.536684577806054e-06,4.259690762609754e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T21:44:03,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,0.3493677619990194,4.557377750188528e-06,1.304477030308568e-05,21.94416306741267,37.21698126864348,20.0,3.5044291924329896e-06,6.520282993971449e-06,1.9384791777863654e-06,1.1963191364190804e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T21:44:11,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,8.028636934002861,0.00011471327195883112,1.4288023306055415e-05,24.539940901316452,47.36441763009066,20.0,6.037743024635278e-05,0.00019614543469415047,4.46013559778092e-05,0.00030112422091831234,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T21:44:11,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,0.25321007100865245,3.6416282537135667e-06,1.438166864864716e-05,26.353868362053664,52.84870748808151,20.0,2.5113717313229866e-06,5.642504513847513e-06,1.4054576666644447e-06,9.559333911834944e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T21:44:19,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,7.92638514500868,0.00011390590196713832,1.4370499020922586e-05,27.506739164788225,57.92367935891665,20.0,6.040331915594527e-05,0.0001945687667659346,4.4032775522242075e-05,0.00029900486144412205,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T21:44:19,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,0.25064323299739044,3.5733926215601427e-06,1.4255645224050785e-05,28.485123545688275,60.578100818425746,20.0,2.4801930952680906e-06,5.508615518179383e-06,1.3914056444870766e-06,9.38021425793455e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T21:44:27,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,8.174299036996672,0.00011460573022215547,1.4020268259902844e-05,29.120158668617258,63.55367003610372,20.0,5.708282594400066e-05,0.00019834904756788063,4.5410048583289587e-05,0.0003008419220951711,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T21:44:28,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,0.25839870200434234,3.527455665231806e-06,1.3651660537683087e-05,29.059887220841098,65.23256598687287,20.0,2.0627133168332756e-06,5.762782388174514e-06,1.4341332889065235e-06,9.259628993914422e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T21:44:36,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,7.864264824995189,0.0001142369320883017,1.4526093064721878e-05,29.001933339102106,67.43993297439327,20.0,6.065117240978968e-05,0.0001955348786499833,4.368776988339959e-05,0.0002998738209431728,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T21:44:36,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,0.2542800399969565,2.629118440832315e-06,1.033909846475947e-05,28.93265530093907,65.89084707472982,20.0,2.015936890524539e-06,3.466669439733394e-06,1.4188727111711166e-06,6.90147904142905e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T21:44:44,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,7.813328626987641,0.00011383849207725503,1.4569803375150354e-05,28.87520212625676,67.69856367720874,20.0,6.141975608021932e-05,0.00019400321075813132,4.340494253887706e-05,0.0002988279093772278,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-09T21:44:44,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,0.2517720920004649,3.690006456059415e-06,1.4656405914098315e-05,29.315611873738696,68.81034387615067,20.0,2.469834198083609e-06,5.819171321919114e-06,1.3973219666998157e-06,9.686327486702756e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-09T21:44:52,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,8.546695195997017,0.00012156973168826464,1.4224190615355575e-05,29.643179456605296,70.0017668908183,20.0,6.586029324374965e-05,0.00020578266462600858,4.74795823278125e-05,0.00031912254019757095,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-09T21:44:53,td3_Ant-v5_seed14577,f03a9ee3-3d82-4f62-908e-4607cd5696eb,0.25018904999888036,3.5469641526285e-06,1.4176327853497925e-05,29.76878782406549,70.76144449835463,20.0,2.2171320514866033e-06,5.705282341894602e-06,1.3884247000128499e-06,9.310839093393947e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
