task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T11:46:13,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,90.00322113199945,0.000706630060985547,7.85116362766238e-06,56.904998232268824,18.092476130144927,20.0,0.0004021220780862922,0.0009356471374060149,0.0005171462878166494,0.0018549155033089565,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T11:46:15,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,1.3423786779967486,1.7488830470165366e-05,1.3028193882464172e-05,46.771460991178564,33.93374896030698,20.0,1.3989555080522187e-05,2.446307512604662e-05,7.4558367055335955e-06,4.59084669121024e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T11:46:15,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,0.3194778769975528,3.872474371577209e-06,1.2121289393460604e-05,43.68770598738036,40.442966032692475,20.0,3.0757255161315e-06,5.31694869798649e-06,1.7726345444518503e-06,1.016530875856984e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T11:46:18,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,2.3357885039949906,2.738142735181587e-05,1.1722642902111024e-05,41.16190517051072,45.64873529630708,20.0,1.578179873654162e-05,4.312114560800495e-05,1.297375168332008e-05,7.187669602786687e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T11:46:18,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,0.25679859899537405,3.418655689440826e-06,1.331321202646966e-05,39.05964223750982,50.89221669840782,20.0,2.052133863936212e-06,5.496671064086911e-06,1.4252223444297541e-06,8.97402727245266e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T11:46:20,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,2.1273792490028427,2.574244566766362e-05,1.210059845955939e-05,37.48456331144248,53.240812862720965,20.0,1.5974076112590385e-05,3.978364293799608e-05,1.1816623166669197e-05,6.757434221725577e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T11:46:20,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,0.2678641129969037,3.492432678299344e-06,1.3037384384772603e-05,36.553869078541474,55.71788212018474,20.0,2.251328467733904e-06,5.430282121965391e-06,1.4860824889183439e-06,9.16769307861753e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T11:46:22,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,1.8770728019953822,2.3453889192593682e-05,1.2494943666067667e-05,35.744155850541766,57.25634573394512,20.0,1.4873427732063627e-05,3.6266973457932394e-05,1.0426442733336874e-05,6.1566843923333e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-13T11:46:22,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,0.24832055900333216,2.829870116851708e-06,1.139609463386312e-05,35.66842399318368,56.778113922422776,20.0,2.4325347238104977e-06,3.6175028941265452e-06,1.3784178666457038e-06,7.428455484582638e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-13T11:46:24,td3_Ant-v5_seed14577,2635b4a8-de33-4611-a530-bbb495312d1d,1.8676697089977097,2.2506417290750176e-05,1.2050611018965872e-05,35.12462800833101,57.93248480042833,20.0,1.2665010132001386e-05,3.604030660997459e-05,1.0374397894459737e-05,5.907971463643561e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
