task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T12:24:11,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,90.00530556299782,0.0006559695675774991,7.288120259008481e-06,18.420805447730963,15.788651334917677,20.0,0.0003868065022227321,0.0008174070428139668,0.0005177173319222169,0.0017219308769589158,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T12:24:12,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,1.3485400120043778,1.651357299194676e-05,1.2245448083878306e-05,21.18607045928464,29.586950306572376,20.0,1.4441790997868353e-05,2.141668380017947e-05,7.489925233312555e-06,4.334840003136038e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T12:24:13,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.32334338699729415,4.522200993370678e-06,1.3985992229953117e-05,25.00467687325987,41.08745233113713,20.0,3.295367080734246e-06,6.781672091893398e-06,1.793812627794199e-06,1.1870851800421843e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T12:24:15,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,2.3844004529964877,2.9423486426744905e-05,1.2340001993578376e-05,26.566514944715777,47.08025160934824,20.0,1.6922662427011625e-05,4.706642654195292e-05,1.3248045633331958e-05,7.72371346022965e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T12:24:15,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.2750797339976998,2.7221831769043414e-06,9.895789073531643e-06,26.79263613388378,46.804824466218584,20.0,2.1492475527212784e-06,3.4694472199614523e-06,1.5270807277880348e-06,7.1457755004707656e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T12:24:18,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,2.18940190399735,2.7605622206309686e-05,1.260880248356446e-05,26.941429731471175,50.331147939858226,20.0,1.683480569005663e-05,4.34697569979825e-05,1.2160648511093668e-05,7.246521119913291e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T12:24:18,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.26458234400342917,3.408183651139752e-06,1.2880691709540849e-05,27.14172835940888,53.177311763554734,20.0,2.11345724632217e-06,5.36555984820275e-06,1.4675209055794178e-06,8.94653800010423e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T12:24:20,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,2.2325526159984292,2.717100640849601e-05,1.2170393897252762e-05,27.147055150870866,55.10410387263572,20.0,1.5195896045601398e-05,4.372725720380721e-05,1.2401184350003137e-05,7.132433759941196e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-13T12:24:20,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.24596610500157112,3.3124875469345717e-06,1.3466610497874779e-05,27.199028290456084,57.45024731672838,20.0,1.91861959045192e-06,5.401948766081688e-06,1.374765800008209e-06,8.695334156541817e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-13T12:24:23,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,2.1808424740011105,2.7551962637735374e-05,1.2633687679920393e-05,27.221859580865974,58.80529661011078,20.0,1.6381756438733908e-05,4.382836839589288e-05,1.2114229116640617e-05,7.232435395126751e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-13T12:24:23,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.25051204900228186,2.7871136667970836e-06,1.1125697098080385e-05,27.84364146928699,58.09039610749593,20.0,2.4325858349535934e-06,3.49305835012359e-06,1.390574916634575e-06,7.316219101711867e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-13T12:24:25,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,2.173316927997803,2.7507154444091596e-05,1.2656800532815386e-05,28.17306672182805,59.20530976768521,20.0,1.6322094446560853e-05,4.381281282794802e-05,1.2071824433304611e-05,7.22067317078137e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-13T12:24:25,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.2419176250041346,2.7651669584942895e-06,1.142967800576789e-05,28.66265139205265,58.74157416445121,20.0,2.373924121369664e-06,3.5413917220949997e-06,1.3432927888869977e-06,7.258608632351553e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-13T12:24:27,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,2.1763786309966235,2.7477038842034984e-05,1.262514690980695e-05,28.91185397650532,59.635109745116814,20.0,1.6427040919399227e-05,4.361114600004434e-05,1.2089490838884036e-05,7.212767775832771e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-13T12:24:28,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.2290028830029769,2.713951433051592e-06,1.185010112283719e-05,29.22554585712587,59.52089064725216,20.0,2.1772728529337315e-06,3.67555849600798e-06,1.2713356888626208e-06,7.124167037804441e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-13T12:24:30,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,2.2142633449984714,2.8010549766532616e-05,1.2650104335176853e-05,29.334806405836613,60.381082658507545,20.0,1.5628905836444218e-05,4.559948092386357e-05,1.2299765927794725e-05,7.35281526881024e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-13T12:24:30,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.24839207100012572,2.5813618672931643e-06,1.0391925656696161e-05,29.216630866472144,59.85404143878899,20.0,1.8925781807288544e-06,3.5061139160852406e-06,1.3774251555636382e-06,6.776117252377516e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-13T12:24:32,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,2.214146960999642,2.73127055551469e-05,1.2335578663269489e-05,29.07879820808293,60.450110170850145,20.0,1.5622853331599684e-05,4.377420168588664e-05,1.2299245166650557e-05,7.169630018413666e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-13T12:24:33,td3_Ant-v5_seed14577,b12b76e9-64f9-497e-827e-200d519e8f69,0.24114896800165297,3.2925618235638086e-06,1.3653405714551845e-05,28.986073576175283,61.483210176705576,20.0,1.846089810207674e-06,5.452782140036305e-06,1.3441568555410538e-06,8.643028805785033e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
