task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T20:29:44,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,90.00278226599767,0.0006054022640556155,6.726483708273851e-06,15.469247839149311,13.392361101586944,20.0,0.0003794743110792061,0.0006925752762819704,0.0005171412882277865,0.001589190875588963,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T20:29:45,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,1.3426316530021722,1.5924598088358846e-05,1.1860686928606555e-05,18.896802569628125,27.32501481283083,20.0,1.3758062950885823e-05,2.0585016467844497e-05,7.459251827781851e-06,4.180233124651228e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T20:29:46,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,0.3386420079987147,3.8458605666555215e-06,1.1357024778485068e-05,22.609291942648063,33.85389522147204,20.0,3.193048665548013e-06,5.023059574060795e-06,1.8793388444060793e-06,1.0095447084014888e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T20:29:48,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,2.0913553749996936,3.528631920701286e-05,1.6872498862144614e-05,24.520659098222108,49.19084326774644,20.0,1.686581488153033e-05,6.415421798999787e-05,1.1607133966673325e-05,9.262716683820153e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T20:29:48,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,0.26667329799965955,4.137673347942702e-06,1.5516068535570934e-05,26.613302616342594,55.8957634151573,20.0,2.766989991367496e-06,6.615283069999478e-06,1.4791873611102188e-06,1.0861460422477301e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T20:29:50,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,1.9612240700007533,3.446574243878733e-05,1.7573709385197657e-05,27.537676784273433,64.62301644431277,20.0,1.5864246858053946e-05,6.371643986202713e-05,1.0892452638856603e-05,9.047313935893779e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T20:29:50,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,0.26319741000042995,2.9425919092067885e-06,1.1179531923514346e-05,28.629777646413103,62.69194365228263,20.0,2.671860193041893e-06,3.5919473180268113e-06,1.460544527799373e-06,7.724352038868077e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T20:29:52,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,1.9692810129999998,3.425461991008664e-05,1.7394640390371133e-05,29.077640945522806,68.54119690368628,20.0,1.5905055501812e-05,6.307643934999607e-05,1.0937444405539638e-05,8.991893925734771e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T20:29:53,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,0.26007939400005853,3.827117449420824e-06,1.4715110229816327e-05,29.737616448376098,70.01028526084222,20.0,2.5973123556257555e-06,6.006115915946353e-06,1.4428178221957515e-06,1.004624609376786e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T20:29:54,td3_Ant-v5_seed14577,85e4d934-cdd0-42e9-9e36-7d29454cbae4,1.9700626129997545,3.340948001938945e-05,1.6958603761985688e-05,29.9696921817952,73.76866230508402,20.0,1.5833102110915896e-05,6.0925048739890464e-05,1.0942282327798406e-05,8.770043317860477e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
