task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T21:08:12,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,90.0027188469976,0.000612614773684537,6.806624714045351e-06,7.598180538527588,13.458153143015766,20.0,0.0003950516590966284,0.000695950834538106,0.0005171213380611233,0.0016081238316958577,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T21:08:14,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,1.3388902219958254,1.5556008649748355e-05,1.1618491043878024e-05,13.720169624006004,26.667366966313953,20.0,1.3652777588881587e-05,1.9743904684066393e-05,7.4380956500034534e-06,4.083477792295154e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T21:08:14,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,0.3357144160036114,3.7530283516092576e-06,1.1179421991564975e-05,18.721358050255866,32.94550986807015,20.0,3.163633086458728e-06,4.8250038600095024e-06,1.8631240500124012e-06,9.851760996480632e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T21:08:16,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,2.1431769670016365,4.46030671569568e-05,2.0811696660036365e-05,21.36417996649896,56.02093488484836,20.0,1.6897247962232437e-05,8.82828484040088e-05,1.1903686694414396e-05,0.00011708378306065563,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T21:08:16,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,0.2615052570035914,3.186250044949772e-06,1.2184180482189414e-05,23.85126906772777,56.47616876818069,20.0,2.656007958137807e-06,4.25861451791576e-06,1.449336166681127e-06,8.363958642734802e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T21:08:18,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,2.003685221003252,4.3788823715370986e-05,2.185423061463406e-05,25.266701262604435,70.94513613104361,20.0,1.5998218909678286e-05,8.781562580806312e-05,1.11325359499865e-05,0.00011494638066772791,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T21:08:19,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,0.24158135899779154,2.736950054582025e-06,1.1328261934538762e-05,26.555001513625847,68.4767469129041,20.0,2.408002204180165e-06,3.4350027480201106e-06,1.3415338444449677e-06,7.1845387966452436e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T21:08:21,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,2.033507954001834,4.168213128235556e-05,2.049772448234939e-05,27.18513104342251,77.34108538908448,20.0,1.4436315160154534e-05,8.369034472999193e-05,1.1289618577777372e-05,0.00010941627846792383,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T21:08:21,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,0.25210226899798727,4.146473206005966e-06,1.644703595964483e-05,27.279380156150268,80.3287475638484,20.0,1.9855549217781543e-06,7.500283778050232e-06,1.3987214944386319e-06,1.088456019426691e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T21:08:23,td3_Ant-v5_seed14577,a848e4c6-27c2-4cef-a056-1fa238f0627a,2.020919069997035,4.2632058427601103e-05,2.1095495146107503e-05,27.366734008962474,86.74371999077844,20.0,1.5995624740933884e-05,8.468951219586796e-05,1.1224715872231177e-05,0.00011190985280903291,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
