task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T21:47:25,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,90.0028124169985,0.0005984652589545536,6.64940589515301e-06,11.315436208307975,12.986827048644804,20.0,0.00038226830914774024,0.0006715852594899596,0.0005171275547500247,0.0015709811233877245,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T21:47:27,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,1.363915249996353,1.5633503349342273e-05,1.1462190837460151e-05,16.119916371633433,25.82450613296811,20.0,1.3927570864269434e-05,1.952751562206423e-05,7.583116294457163e-06,4.1038202780790825e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T21:47:27,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,0.33861980400251923,4.386667824724227e-06,1.2954826129838825e-05,20.74969521401564,36.28929092698999,20.0,3.277395677465933e-06,6.359171753844706e-06,1.8785075778092897e-06,1.1515075009119928e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T21:47:30,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,2.536204837000696,5.417532164946862e-05,2.1360822076323693e-05,22.933097139906874,60.26165544182887,20.0,1.8135445897231317e-05,0.00010998869910205933,1.4086963149990603e-05,0.00014221110814928114,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T21:47:30,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,0.27012331900186837,3.889123079936084e-06,1.4397838211231806e-05,23.83486254840317,64.83557097542436,20.0,2.1412111574151127e-06,6.5700052559458655e-06,1.4977954777956569e-06,1.0209011891156635e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T21:47:33,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,2.3600239899969893,5.2507414626546344e-05,2.224873933419301e-05,24.45719011977541,78.76264825550776,20.0,1.8307530757120938e-05,0.0001064145295760488,1.3110764516669469e-05,0.00013783282484983931,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T21:47:33,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,0.2649138330016285,4.552535798278256e-06,1.7184000727524598e-05,25.88040055700834,82.20111758631911,20.0,2.6578049040215657e-06,7.821117368078667e-06,1.4715588888874944e-06,1.1950481160987727e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T21:47:35,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,2.3775117629993474,5.334891937855662e-05,2.2439053135702503e-05,26.63051200197807,91.49554150378799,20.0,1.7322933858338052e-05,0.0001095131431659846,1.3205711605567406e-05,0.00014004178862988994,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T21:47:36,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,0.25609354300104314,2.9561066814887604e-06,1.1542823299273712e-05,26.77539726231094,88.43393738221684,20.0,2.0132749439516484e-06,4.325836793883653e-06,1.4207168000009976e-06,7.759828537836407e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T21:47:38,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,2.371739141002763,5.344409518872424e-05,2.253376332247858e-05,26.887712354303805,95.39936404685113,20.0,1.8381281371687708e-05,0.00010873508698805434,1.3175258333325904e-05,0.00014029162669306795,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-17T21:47:38,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,0.2422165780008072,4.193740747044099e-06,1.7314247214258346e-05,27.574367634082957,96.47664250744151,20.0,2.382909961878843e-06,7.281672491976643e-06,1.3440558111242965e-06,1.1008638264979782e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-17T21:47:41,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,2.3732771779978066,5.251148523862737e-05,2.2126216324157878e-05,27.964350472274344,101.47243142000174,20.0,1.826134766462484e-05,0.00010639980734206134,1.3182355266649686e-05,0.00013784351027333608,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-17T21:47:41,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,0.24234981499466812,4.445317449731597e-06,1.8342521612512604e-05,28.538690835890957,102.59135008802625,20.0,2.4439619551661074e-06,7.88000630402852e-06,1.3450629777960821e-06,1.16690312369906e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-17T21:47:43,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,2.374812911002664,5.409068918597274e-05,2.2776957332031252e-05,28.856682742999666,106.90777269926282,20.0,1.843024502196089e-05,0.00011036814384990379,1.3190557672229848e-05,0.00014198894654409442,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-17T21:47:43,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,0.2418094070017105,2.783110776428846e-06,1.1508995811732037e-05,29.260157500560325,103.55252703384878,20.0,2.3915058020920754e-06,3.5722250800729327e-06,1.3419805666570325e-06,7.305711448822149e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-17T21:47:46,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,2.3825295599963283,5.381644511408409e-05,2.2588012146656878e-05,29.46682047821245,107.21245157473051,20.0,1.8344592453443942e-05,0.00010969092108592537,1.3233537816672138e-05,0.00014126905135604167,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-17T21:47:46,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,0.23990875299932668,3.069181499955765e-06,1.2793018237611538e-05,29.775202522151922,104.90439268896519,20.0,2.353155493635406e-06,4.372225720028489e-06,1.3312705777934926e-06,8.056651791457387e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-17T21:47:48,td3_Ant-v5_seed14577,d389d0c5-9be6-4270-8417-f8a043692fe6,2.373408487001143,5.36332745451752e-05,2.2597646873051283e-05,29.929181350894343,108.09421792234994,20.0,1.85180167588464e-05,0.0001090886983819983,1.3181510466650525e-05,0.00014078822560749512,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
