task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T13:00:29,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,90.00327536300756,0.0006119718834601827,6.799439839715225e-06,12.986225768504152,12.729163262896314,20.0,0.00043137022592924096,0.000658080248685744,0.0005169857596944591,0.001606436234309444,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T13:00:31,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,1.3316837000020314,1.57730845847993e-05,1.1844477645191681e-05,17.72568347282145,26.516729496524487,20.0,1.3985570910673983e-05,2.0018071569927187e-05,7.400963333283332e-06,4.140460581388461e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T13:00:31,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,0.33785647799959406,3.790622410035989e-06,1.1219806405550915e-05,21.959846007429704,32.69941189868033,20.0,3.272716229282824e-06,4.803614954029811e-06,1.8741148333194105e-06,9.950446016632154e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T13:00:33,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,2.0654156480013626,2.9778839586174833e-05,1.4417854953449791e-05,24.152438084535113,43.521090674534186,20.0,1.6909048249455494e-05,4.979003983196506e-05,1.1470854394428874e-05,7.816994247584943e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T13:00:34,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,0.2666152510064421,3.656841304081407e-06,1.3716480880010452e-05,26.15131602241353,48.48791686448701,20.0,2.6970541020868155e-06,5.423337672061379e-06,1.4788766444932865e-06,9.599268418641373e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T13:00:35,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,1.8950736840051832,2.758417709247706e-05,1.4555776508806872e-05,27.037619618833794,54.272605771512836,20.0,1.5052463708621622e-05,4.683087079815351e-05,1.0525582916711264e-05,7.240891742348629e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T13:00:36,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,0.27410777199838776,2.9489934224872973e-06,1.0757579169054916e-05,28.402124254969582,52.93234194740312,20.0,2.9108123286436527e-06,3.3111137598407225e-06,1.519230027770442e-06,7.741156116254817e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T13:00:38,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,1.9074780189985177,2.7436946642076508e-05,1.4383915437179317e-05,28.94277563923576,56.75518218600578,20.0,1.5160309072684286e-05,4.626753701408859e-05,1.0594588988897206e-05,7.202243507567008e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T13:00:38,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,0.2571758830017643,3.6665001028853613e-06,1.4256165921395947e-05,29.57300128209132,59.00199574926948,20.0,2.5385834197533264e-06,5.6580600820144156e-06,1.4279794221996184e-06,9.62462292396736e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T13:00:40,td3_Ant-v5_seed331,4e86c76c-b840-459b-bc75-86698d765b99,1.9179161700012628,2.717194254259756e-05,1.4167528665523249e-05,29.72798216409745,61.50748732233288,20.0,1.4564674985062531e-05,4.610920355396786e-05,1.0652916427756698e-05,7.132679496678709e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
