task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T20:14:57,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,90.00358889299969,0.0006379206964482103,7.0877249021787585e-06,9.787455229950378,14.230819348949925,20.0,0.00042171090375733855,0.0007357972553043712,0.0005170441350666806,0.0016745522941283904,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T20:14:59,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,1.3367737270018551,1.598792951307932e-05,1.1960065474345927e-05,15.532615397782406,27.90742940786509,20.0,1.4034619561020009e-05,2.0511127519995398e-05,7.4228301944256675e-06,4.1968577275441074e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T20:15:00,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,0.3399594140064437,4.525467527484515e-06,1.3312007437495341e-05,20.70035137154578,38.303169035250605,20.0,3.4390874734899777e-06,6.5544496881120295e-06,1.8858893444606778e-06,1.1879426506062468e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T20:15:04,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,4.042259460009518,5.719577288506965e-05,1.4149469908466613e-05,23.437271030737133,47.96160967609173,20.0,3.045669269866795e-05,9.72278555597672e-05,2.2455293938886253e-05,0.00015013984219732152,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T20:15:04,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,0.2575355910084909,3.4412048438296934e-06,1.336186782557859e-05,24.11978155929562,53.075031515023795,20.0,1.985063254716056e-06,5.619448940175076e-06,1.4287069777815884e-06,9.03321917267272e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T20:15:08,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,3.8442518260126235,5.592364948051661e-05,1.4547362476321717e-05,24.66487948330621,58.11005877011299,20.0,3.1138623799768024e-05,9.430674211197143e-05,2.1355131477725437e-05,0.00014680049738946478,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T20:15:08,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,0.2472581260080915,3.626289763296103e-06,1.4664682525611379e-05,26.02549530927062,61.1989278633867,20.0,2.4619675251279834e-06,5.684726769983328e-06,1.3723758277288823e-06,9.519070122840628e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T20:15:12,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,3.817783203005092,5.5597159057555324e-05,1.4562746471084647e-05,26.890670171933742,64.28997419260642,20.0,3.0344252608716137e-05,9.439229773611224e-05,2.1206904327846182e-05,0.00014594345467267445,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T20:15:12,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,0.24622843600809574,2.8971025625210535e-06,1.1766048543968975e-05,27.76555680798872,63.39328147664444,20.0,2.4573558547719533e-06,3.7811141360144518e-06,1.3664717667173122e-06,7.604941757503609e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T20:15:16,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,3.8210773409955436,5.6357258621204357e-05,1.4749072133765868e-05,28.319381035950403,65.89045489240812,20.0,3.0278487556104007e-05,9.64342438138921e-05,2.122599712771865e-05,0.00014793872849771465,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T20:15:16,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,0.24223862000508234,2.726158851888553e-06,1.125388342958031e-05,28.874214466406258,64.63427234762831,20.0,2.3801127374220056e-06,3.4275027418484427e-06,1.3485962332601123e-06,7.156211712530669e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T20:15:20,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,3.825044095006888,5.5280902760201337e-05,1.4452391085068494e-05,29.205389309205877,66.49197944533198,20.0,2.9537895019185988e-05,9.43272976843268e-05,2.1248083999994864e-05,0.00014511327670350786,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-09T20:15:20,td3_Ant-v5_seed331,fcb62e2f-a25e-40c1-9b66-a9ed14b1c847,0.23686291099875234,3.607468907845476e-06,1.5230552090860169e-05,29.671111424826016,68.02700156313561,20.0,2.370363840733928e-06,5.784726849977773e-06,1.314574377789127e-06,9.469665068500936e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
