task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T21:08:47,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,90.00395236400072,0.0006289822942979264,6.988384777401605e-06,6.942644762323551,13.59788699570751,20.0,0.00043097821144895757,0.0007030691735661065,0.0005170414568222542,0.0016510888418373182,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T21:08:49,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,1.3401378709968412,1.682720926080223e-05,1.2556339313449776e-05,13.937138230643916,28.87425271605717,20.0,1.4610044188023003e-05,2.2118351028055372e-05,7.443305166654848e-06,4.417170038273333e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T21:08:49,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,0.34121607399720233,3.951182972751293e-06,1.1579934655742649e-05,19.59140561098721,34.848095568393084,20.0,3.484728343335075e-06,4.994726217955048e-06,1.892465566682728e-06,1.037192012797285e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T21:08:58,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,9.139319813999464,0.00012503646121969744,1.3681167526804983e-05,22.75188564376571,44.745647248185016,20.0,6.335499096173092e-05,0.00021409600460997602,5.077176652226224e-05,0.00032822276209396885,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T21:08:58,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,0.24079156000516377,3.5757455399857774e-06,1.4850317336342091e-05,24.888557190042587,51.3839764958031,20.0,2.399016363653639e-06,5.651393410355254e-06,1.3359809333956954e-06,9.38639070740448e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T21:09:07,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,8.861425302005955,0.00012262436980387133,1.3838011451691561e-05,26.24225350677212,56.33872326023478,20.0,6.0824325326086504e-05,0.00021184044724997797,4.9226209977738735e-05,0.0003218909825538031,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T21:09:07,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,0.24707889500132296,2.5477475676775625e-06,1.0310866633345766e-05,26.38500233030099,55.53196039761421,20.0,1.8948498492106502e-06,3.4216694040356543e-06,1.3713599111522161e-06,6.687879164398412e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T21:09:16,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,8.249735546007287,0.00011704824092835368,1.418812804330675e-05,26.477399814406713,59.16173310697608,20.0,5.931045272609958e-05,0.0002021129394678134,4.5830160577720025e-05,0.0003072535527716331,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T21:09:16,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,0.24571031099185348,2.564329386572743e-06,1.0436223725938777e-05,26.582355229416216,58.33862148670214,20.0,1.8941720708945398e-06,3.473613890081495e-06,1.3636207500692873e-06,6.731406711045322e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T21:09:24,td3_Ant-v5_seed331,90e54235-b5b1-41d7-8391-bd67e3b6fbbd,7.656124048997299,0.00011231365838069345,1.4669791348338729e-05,26.67602879777937,61.25456404711963,20.0,6.001735718051335e-05,0.0001922759871539892,4.25318515722918e-05,0.00029482519590679455,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
