task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T11:31:17,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,90.0032885460023,0.0006029707305405138,6.699429511267156e-06,8.16218904603587,12.917798273293101,20.0,0.0003977375743009215,0.0006679747010460702,0.0005170957848722335,0.001582808060219225,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T11:31:19,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,1.3332436889977544,1.553606626473027e-05,1.1652810737804846e-05,14.236641071388659,26.173028134554006,20.0,1.3868790539467435e-05,1.950834894004494e-05,7.405289355584565e-06,4.078242883509705e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T11:31:19,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,0.323397379994276,3.7188635620631063e-06,1.1499424038417797e-05,19.723178932109185,32.71942265134518,20.0,3.2703765051877998e-06,4.697781536000534e-06,1.7939198222140977e-06,9.762077863402323e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T11:31:21,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,2.340032195999811,2.6871006386535758e-05,1.148320004558812e-05,22.269027715092584,38.88720069399286,20.0,1.6260008285771954e-05,4.128586636187315e-05,1.2990957972215276e-05,7.053683261986038e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T11:31:22,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,0.2636946709972108,2.5724837137039132e-06,9.755790200618524e-06,23.11072533134079,39.859529876074916,20.0,2.0160385572759454e-06,3.2733359518477556e-06,1.463437444423725e-06,6.752811953547426e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T11:31:24,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,2.1770971629957785,2.4831508817067262e-05,1.1405839392437949e-05,23.596301440813306,43.149115610246504,20.0,1.5066501775413965e-05,3.802419708609506e-05,1.2092419177780491e-05,6.51831180392894e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T11:31:24,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,0.25342574599926593,3.4216410737088546e-06,1.3500920801405332e-05,25.258363824963276,46.56851217977389,20.0,2.6171320937004583e-06,4.958615078098916e-06,1.4061167833359514e-06,8.981863955135434e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T11:31:26,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,2.189727147000667,2.4816143056960254e-05,1.1333027301759772e-05,26.077482026143876,48.39207415780847,20.0,1.4675623129373205e-05,3.830391953196788e-05,1.2163240005571012e-05,6.51427826669122e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-13T11:31:27,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,0.25951653200172586,2.5296202674987426e-06,9.747059841495801e-06,26.180069833609384,48.0354674860528,20.0,1.969126297525492e-06,3.230280362087612e-06,1.4408880444130839e-06,6.640294704026188e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-13T11:31:29,td3_Ant-v5_seed331,2a627bc3-6c6f-4750-9cc4-cc7d991a4b14,2.130908876999456,2.4963052427655124e-05,1.1714793363062583e-05,26.234274196177875,49.538178955760195,20.0,1.547689460373175e-05,3.8214475015951876e-05,1.1837052555549433e-05,6.552842217523317e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
