task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T20:14:29,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,90.00255364600162,0.0005932422854741159,6.591393612711889e-06,12.923186995071353,12.659620325626529,20.0,0.00038589740232877756,0.0006544305235439696,0.000516942806438884,0.0015572707323116312,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T20:14:31,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,1.3410967650015664,1.5611385605563658e-05,1.1640662136596453e-05,17.309762727781408,26.009370553835215,20.0,1.3894018615207004e-05,1.9635849041965692e-05,7.45027568332772e-06,4.0980143340500416e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T20:14:32,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,0.34102840600098716,4.417777902863051e-06,1.2954396892843638e-05,21.53961409596166,36.5251936189098,20.0,3.2615773314786933e-06,6.442782932047919e-06,1.8923792111107292e-06,1.1596739474637342e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T20:14:34,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,2.1169937880004,3.5280227970915204e-05,1.6665270292110543e-05,23.73747904883649,50.89208032144674,20.0,1.714525399396094e-05,6.370782874398628e-05,1.175809450556294e-05,9.261117724351027e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T20:14:34,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,0.2633189919979486,3.044613236862664e-06,1.1562745447576277e-05,25.73013569480493,51.31226801012726,20.0,2.630390159866214e-06,3.901392010119409e-06,1.46037752777673e-06,7.992159697762461e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T20:14:36,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,1.9757360980001977,3.304029105288299e-05,1.6723165118918273e-05,26.62797521095274,59.63979381057902,20.0,1.557672079469108e-05,6.017477036202035e-05,1.0979814927769517e-05,8.673130608448094e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T20:14:36,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,0.2665382369996223,3.912802255886627e-06,1.4678846420385125e-05,27.675756643410864,62.623384743897205,20.0,2.6117745894199684e-06,6.179727165989135e-06,1.4796683611065621e-06,1.0271170116515557e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T20:14:38,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,1.9872498619988619,3.3810787451764605e-05,1.7013912825975318e-05,28.10464587911487,68.18893600167208,20.0,1.5506327127268182e-05,6.22094942119844e-05,1.1038050433328193e-05,8.875387177258078e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T20:14:38,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,0.24812431299869786,2.9039173773423403e-06,1.1703455207513834e-05,28.751276350047238,66.95375633265837,20.0,2.4021191439155265e-06,3.844169742084347e-06,1.3765418722161329e-06,7.622830758216006e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T20:14:40,td3_Ant-v5_seed331,b939a484-9c3a-4d22-9edb-f07522f2205d,2.0062040699995123,3.344916724249997e-05,1.66729588553178e-05,29.050428838158542,70.91957269738401,20.0,1.5052293986267395e-05,6.160949373190672e-05,1.114282507221813e-05,8.780461279039235e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
