task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T20:52:37,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,90.00278943200101,0.0006093948643288024,6.770844097989663e-06,11.183959923008876,13.504059120527677,20.0,0.0003841719415039746,0.0006983555586839163,0.0005171440166221955,0.0015996715168100865,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T20:52:39,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,1.3311303519949433,1.6347577189114644e-05,1.2280929314786595e-05,16.11949031822304,28.62724212707224,20.0,1.3749009332531675e-05,2.1768906304120428e-05,7.394742688888447e-06,4.291265832554055e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T20:52:39,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,0.33964647299580975,3.814147366511776e-06,1.1229854232249085e-05,20.563738206681776,34.49948927866761,20.0,3.2165470176797467e-06,4.9113928178856625e-06,1.8842595777742712e-06,1.0012199413339789e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T20:52:42,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,2.483383770995715,4.7142754307868896e-05,1.898332831984251e-05,22.554618485861198,54.72798136932736,20.0,1.6404390067944336e-05,9.355257484200408e-05,1.3793538588854296e-05,0.0001237505034988027,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T20:52:42,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,0.2744443620031234,3.7916714170342257e-06,1.3815305376615324e-05,23.24704849530184,59.55934116057386,20.0,2.051438863372168e-06,6.3783384360860396e-06,1.5234223777547528e-06,9.95319967721296e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T20:52:45,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,2.2750302130007185,4.6029842292003346e-05,2.0232695063640997e-05,23.748442755919786,71.67262550858877,20.0,1.6984239976270896e-05,9.12084062998364e-05,1.2636444922221358e-05,0.00012082909119832865,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T20:52:45,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,0.26136537700222107,2.8745232122655458e-06,1.0997405395723179e-05,25.103698273481548,68.85520351209023,20.0,2.530258968650931e-06,3.564725074012287e-06,1.450686549974811e-06,7.545670592638137e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T20:52:47,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,2.282573907999904,4.5660563009415124e-05,2.0004021779317496e-05,25.876939109374085,76.98664487536361,20.0,1.713898093339515e-05,9.004257203404364e-05,1.2678174055569453e-05,0.00011985972702300857,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T20:52:47,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,0.2507594569979119,3.92139195854054e-06,1.5637365592155907e-05,26.76913968725023,78.56377448969167,20.0,2.4435383437181046e-06,6.458060722080994e-06,1.3921191611088396e-06,1.029371822690783e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T20:52:50,td3_Ant-v5_seed331,b9e4971a-1bfd-4f5a-a0b5-d4f9fb76d30e,2.382417542998155,4.512550730346272e-05,1.894116707712037e-05,27.16696842020701,83.70922818415828,20.0,1.5788614297547812e-05,8.94336826579023e-05,1.3232900061120752e-05,0.00011845519701657098,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
