task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T21:31:04,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,90.00274062799872,0.0006062229524523141,6.7356049763656385e-06,13.44929672405696,13.321099925665772,20.0,0.0003853436616080147,0.0006888730510978824,0.0005171284833889027,0.0015913451960948,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T21:31:05,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,1.332549194994499,1.621306164897255e-05,1.2166895121202874e-05,17.528737936764458,28.364002786336062,20.0,1.3522026928725062e-05,2.163501730811923e-05,7.4025085889136e-06,4.2559552825758e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T21:31:06,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.3391901080030948,3.815530883456556e-06,1.1248950281082078e-05,21.635718654066444,34.32710640524745,20.0,3.218055907777684e-06,4.915559488005705e-06,1.8822157722348572e-06,1.0015831168018246e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T21:31:08,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.573353831001441,5.531131637945665e-05,2.1493871973990215e-05,23.48892544407681,59.129547981316776,20.0,1.7735479743926502e-05,0.00011316425719798406,1.4293376011119126e-05,0.00014519311295302958,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T21:31:09,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.2609379909990821,4.065514161473308e-06,1.558059250401127e-05,25.318614631981177,64.71653765988351,20.0,2.517373680562679e-06,6.7072275879986876e-06,1.4474401055647457e-06,1.0672041374126112e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T21:31:11,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.3861736830003792,5.451027976670483e-05,2.284428983773928e-05,26.308492176537904,79.48262628230995,20.0,1.8447860591609688e-05,0.00011138870022198155,1.325381788887573e-05,0.00014309037870246697,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T21:31:11,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.2613674530002754,2.8404926119483505e-06,1.0866912887231e-05,27.33397387176187,75.52649694712463,20.0,2.5283600782396998e-06,3.4752805579962853e-06,1.4526990722515693e-06,7.456339708487554e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T21:31:14,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.390284510998754,5.366467506453794e-05,2.245122217872752e-05,27.872749984963388,85.42868028582559,20.0,1.8290322132245157e-05,0.00010930342077597466,1.3276909577770199e-05,0.00014087065248599012,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T21:31:14,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.24632257699704496,4.04524165954637e-06,1.6422356558147817e-05,28.60606946369927,86.8675136711897,20.0,2.4290083320936684e-06,6.823061014071818e-06,1.3667563778047226e-06,1.0618825723970101e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T21:31:16,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.406471219001105,5.398297288133891e-05,2.243260066670748e-05,28.926688854909344,94.06256122784986,20.0,1.7385477797258325e-05,0.00011095425542995141,1.3366456249989077e-05,0.0001417061894771988,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-17T21:31:17,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.2458984939949005,2.826374790613844e-06,1.1493373710827378e-05,29.383599604345235,90.76701089558514,20.0,2.3698213402999213e-06,3.6944474000044636e-06,1.3550114555578325e-06,7.419280195862434e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-17T21:31:19,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.4065718130004825,5.319168833018231e-05,2.210285228665195e-05,29.545261700410173,96.34237193752932,20.0,1.7151662610209728e-05,0.00010911036506588978,1.3367026872219859e-05,0.00013962905454831948,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-17T21:31:19,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.2503499570011627,4.1418908359961565e-06,1.654389577943402e-05,29.420135731525786,97.20650943249223,20.0,1.948832114621879e-06,7.53445047207979e-06,1.3892488111094886e-06,1.087253139781105e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-17T21:31:22,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.382958358997712,5.424224035483589e-05,2.2762646549422887e-05,29.289359592682153,101.94855984098943,20.0,1.7747161142164097e-05,0.00011140425578992641,1.323535391667169e-05,0.00014238677084876198,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-17T21:31:22,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.250773048006522,2.67492265663223e-06,1.0665791966573564e-05,29.149233588468462,98.92565764721577,20.0,1.8994445751055467e-06,3.7302807620598344e-06,1.3919905222186096e-06,7.021715859383774e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-17T21:31:24,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.3849988489964744,5.4009955195953954e-05,2.2645730701265134e-05,29.045538669708748,102.86785934638472,20.0,1.8608535164596485e-05,0.00010992092127004582,1.3247562061102715e-05,0.00014177701849574492,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-17T21:31:25,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.23698578900075518,3.3860761353497314e-06,1.4287580361996436e-05,29.437991423954415,101.52368797009086,20.0,2.397592473630389e-06,5.1755596959246475e-06,1.315353238896897e-06,8.888505408451933e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-17T21:31:27,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.392516590000014,5.364807049958956e-05,2.242336161334375e-05,29.637492719702802,104.83543866714126,20.0,1.826867155937245e-05,0.00010926953186007893,1.3288861811128726e-05,0.0001408270652305801,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-17T21:31:27,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.24177386199880857,4.4403938372738604e-06,1.836532976146828e-05,29.888853306624675,105.52829956352734,20.0,2.3476960448222395e-06,7.966395262015702e-06,1.3420153666730914e-06,1.1656106673510816e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-17T21:31:30,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,2.4083761580041028,5.412494098667076e-05,2.2473689897604807e-05,29.998776171006956,108.36568447477433,20.0,1.825459988144887e-05,0.00011044647724589574,1.3377780955528941e-05,0.00014207885808287376,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-17T21:31:30,td3_Ant-v5_seed331,a4739991-7e4b-4b8b-84f7-c468c750957c,0.2454400100032217,3.129577137938721e-06,1.2750303381882206e-05,30.223864972599007,106.40762915001719,20.0,2.4030855335747947e-06,4.449448004040235e-06,1.36265779442004e-06,8.21519133203507e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
