task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T20:47:18,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,90.00330907199532,0.0006391064637316134,7.100921575646334e-06,13.210282813280902,14.06589089802709,20.0,0.0004334678309406547,0.0007272014150940809,0.000516995706666704,0.0016776649527014396,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T20:47:20,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,1.3324691000016173,1.634247282775224e-05,1.2264788694148048e-05,17.735239647066837,29.061703624610328,20.0,1.364414785975411e-05,2.185418415012741e-05,7.400927283338727e-06,4.289925929322025e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T20:47:21,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,0.3432374499971047,4.025060238473121e-06,1.1727129662799847e-05,23.00258897511024,34.76447368097006,20.0,3.721340754849617e-06,4.940281729925999e-06,1.9042266777736117e-06,1.0565849162549228e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T20:47:25,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,4.572942782004247,6.378358092351934e-05,1.3948049300934133e-05,25.70918850159986,44.681307377806206,20.0,3.489580597217795e-05,0.00010713480793023145,2.5402332477743685e-05,0.0001674329463801532,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T20:47:25,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,0.26301812699239235,3.635613254882844e-06,1.3823301614161133e-05,27.53541081673136,49.55456394613509,20.0,2.6989360480365876e-06,5.387504309783964e-06,1.4571040833996239e-06,9.543544441220284e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T20:47:30,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,4.371022904000711,6.02731092735749e-05,1.3789288681388052e-05,28.540914721054442,54.4900500377849,20.0,3.182994740838149e-05,0.000102107026130005,2.4280927166627332e-05,0.0001582179007050136,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T20:47:30,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,0.2571667570009595,3.4882415826705936e-06,1.3563301573728253e-05,28.453271395768947,57.706880971730975,20.0,2.0038654919823234e-06,5.72583791402792e-06,1.4269879778213085e-06,9.156691383831444e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T20:47:34,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,3.8459050660021603,5.5562601405344464e-05,1.4447223575353671e-05,28.407596209443383,61.05845911241728,20.0,3.0622538386898546e-05,9.386618620399467e-05,2.1364015677762752e-05,0.00014585274026865597,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T20:47:34,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,0.25206184000126086,3.6992840304495705e-06,1.4675875875701773e-05,29.201880587894703,63.1644312489676,20.0,2.5655234413054367e-06,5.746115708138433e-06,1.3990421222438622e-06,9.710681271687949e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T20:47:38,td3_Ant-v5_seed43611,7b176feb-69ce-4fdd-a9f0-7fae72965b78,3.8628947300021537,5.609664778032173e-05,1.4521949524067616e-05,29.652687961047388,65.57099451126443,20.0,2.9621852030795384e-05,9.617452138388494e-05,2.145824735004379e-05,0.00014725462076472422,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
