task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T22:02:02,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,90.00317978300154,0.0006311762559951063,7.0128216130334065e-06,14.607589636647504,13.635439698783053,20.0,0.0004348738242876682,0.0007049652861941258,0.0005170089168055307,0.0016568480272873246,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T22:02:04,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,1.342190606999793,1.658492034699473e-05,1.2356598929619797e-05,18.8603957029312,28.693779672581275,20.0,1.4156944103324576e-05,2.1923628650055704e-05,7.455115255531101e-06,4.353568800891127e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T22:02:04,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,0.3434633830038365,3.89041197742981e-06,1.1327077717887064e-05,23.03241656255598,34.363868808403836,20.0,3.4115710625809426e-06,4.895559472251065e-06,1.9052647333915292e-06,1.0212395268223646e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T22:02:12,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,7.894896329002222,0.00011347881015966752,1.4373697592949287e-05,25.3320998675415,45.175717650963314,20.0,6.012026892951439e-05,0.00019390543290187523,4.3858036611103064e-05,0.00029788373844249257,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T22:02:13,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,0.25603727099951357,3.6606944497445107e-06,1.4297278515979594e-05,26.871288770567915,51.029989558502244,20.0,2.479006149878893e-06,5.708893455969033e-06,1.421483383374925e-06,9.609382989223068e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T22:02:20,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,7.8151791429991135,0.00011078681943203447,1.4175870872512705e-05,27.806505852272334,56.39597304739277,20.0,5.509308351887149e-05,0.00019230987607010697,4.3414259027728494e-05,0.00029081721861670684,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T22:02:21,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,0.2541804819920799,3.3660034474989947e-06,1.324137271367443e-05,27.78471758827902,59.019449942853015,20.0,1.966498517635973e-06,5.4588932558718994e-06,1.410422500015959e-06,8.835814273524048e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T22:02:28,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,7.784235675993841,0.00010951492412605553,1.406882602592391e-05,27.731451235590924,62.23208831529938,20.0,5.4108350786646886e-05,0.0001901270965458668,4.324302523883586e-05,0.00028747847257134954,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T22:02:29,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,0.2513338680000743,3.468718670478557e-06,1.3801776608947156e-05,27.79227064230585,64.20605653765881,20.0,1.994133539746923e-06,5.7169490181863125e-06,1.394360861094201e-06,9.105443419027328e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T22:02:36,td3_Ant-v5_seed43611,f0c67b85-0302-4a9a-8591-e24f5c5041a1,7.645139540996752,0.00011086878898731436,1.450187014479054e-05,27.84337644465438,66.42225430327973,20.0,6.045068919385138e-05,0.00018811153937803304,4.2470161472253176e-05,0.0002910323900441377,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
