task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T12:31:45,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,90.00337994399888,0.0006153098174561833,6.836518840047337e-06,14.615069470515873,13.160626718994466,20.0,0.0004174841589870623,0.0006805808222418719,0.0005171333845833336,0.0016151983658122676,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T12:31:46,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,1.3442278469956364,1.5313993818380327e-05,1.1392389098727681e-05,18.491189785052224,25.864931410460503,20.0,1.3591488095404669e-05,1.9141959757940086e-05,7.466037166684904e-06,4.019948502002966e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T12:31:47,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,0.31847361200198065,4.192138078790023e-06,1.3163331943212942e-05,22.515824488412967,36.81986070332574,20.0,3.0795232969574315e-06,6.158060481986638e-06,1.7668474555749495e-06,1.1004431234519019e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T12:31:49,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,2.363343780001742,2.7973991925279583e-05,1.1836635758799685e-05,24.43046350497851,42.40769097950037,20.0,1.779797284947454e-05,4.250697844998541e-05,1.3127236455572175e-05,7.343218775503224e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T12:31:49,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,0.2575931390019832,3.4493416732423116e-06,1.339110270551332e-05,26.403514602386426,47.01709759439982,20.0,2.6152501477610945e-06,5.009726230076339e-06,1.4296021055390951e-06,9.054578483376529e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T12:31:52,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,2.1863270059984643,2.66411325795168e-05,1.2185390371676312e-05,27.396135528690824,49.96276833298297,20.0,1.672611254754236e-05,4.106503285195018e-05,1.2142264705552325e-05,6.993341010504486e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T12:31:52,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,0.25558207200083416,2.5471530104901165e-06,9.96553848560878e-06,27.565444232008332,49.37232813124471,20.0,2.05845803565724e-06,3.2094470119314877e-06,1.4184133944379227e-06,6.686318442026759e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T12:31:54,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,2.21314035999967,2.6379848530914572e-05,1.1919685209085661e-05,27.590430709883364,51.30356758839841,20.0,1.5918839401725393e-05,4.103475505012888e-05,1.2293940738891218e-05,6.92475351907456e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-13T12:31:54,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,0.25368154399620835,3.1916800235407775e-06,1.258078336254817e-05,27.609793044289468,53.26574106929102,20.0,1.9736190789015895e-06,4.996115107847032e-06,1.4084782388736842e-06,8.378212425622306e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-13T12:31:56,td3_Ant-v5_seed43611,d679b068-9e3a-45b9-bf04-05e2be81b3bd,2.0722031210025307,2.5375321298256562e-05,1.2245633435538341e-05,27.601274505622857,54.6710241863813,20.0,1.554542326966113e-05,3.955447608805507e-05,1.1510735366674512e-05,6.66106347243906e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
