task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T13:30:51,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,90.0036363810068,0.0006783200921918752,7.536585052851502e-06,17.19198538988303,15.576923453633727,20.0,0.00045802050197166905,0.0008054820332739077,0.0005170988355166628,0.0017806013707622396,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T13:30:52,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,1.3316127610014519,1.556247332136333e-05,1.1686903366247815e-05,20.506086945473054,28.331092089664804,20.0,1.3543830001717938e-05,1.9911682595852298e-05,7.396235194432298e-06,4.0851747792002534e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T13:30:53,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,0.33768697100458667,4.407452597427418e-06,1.3051942868533426e-05,24.050613792645965,38.37246448352619,20.0,3.2741912304665166e-06,6.421116248045422e-06,1.8743278999561186e-06,1.1569635378468057e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T13:30:55,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,2.04218766799022,2.867901406165233e-05,1.4043312580791194e-05,25.77585618036367,47.50670144328912,20.0,1.6275012742213157e-05,4.7665315909828365e-05,1.1342553777810948e-05,7.528288242985258e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T13:30:55,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,0.26821494499745313,3.762864247646683e-06,1.4029848069107032e-05,27.56796801910673,52.24925344575295,20.0,2.7415249709977774e-06,5.649171186172808e-06,1.4868842277791913e-06,9.877580384949885e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T13:30:57,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,1.910880087991245,2.745453255747891e-05,1.4367554701754342e-05,28.25160584423437,57.29782273691406,20.0,1.4972440033490797e-05,4.6482814964221575e-05,1.0613343394409941e-05,7.20685983921221e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T13:30:57,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,0.26294295900152065,3.6056709393838616e-06,1.3711953028754988e-05,29.09630484435228,59.44273083137982,20.0,2.5761198386639594e-06,5.430559899766152e-06,1.4582656333610904e-06,9.464945371791093e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T13:30:59,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,1.914721160006593,2.750316996013723e-05,1.4364176815377124e-05,29.343762229049887,62.627473706923006,20.0,1.4714465104904983e-05,4.6847815255990355e-05,1.0633992011167348e-05,7.219627237206247e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T13:30:59,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,0.27226679198793136,3.4068644664146447e-06,1.2513325841261242e-05,29.321925854616286,63.266629899456255,20.0,2.219149553089883e-06,5.213615282162465e-06,1.5103102833058076e-06,8.943075118558047e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T13:31:01,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,1.9316273299918976,2.7349321584318066e-05,1.4158719168034876e-05,29.216721965079067,65.38638956262993,20.0,1.461202807850892e-05,4.645114827184216e-05,1.0729241511095748e-05,7.179241786144661e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T13:31:02,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,0.24986560699471738,2.9189650471343016e-06,1.1682392467745151e-05,29.75389796627692,64.48547309354207,20.0,2.4949431070633854e-06,3.7819474700828692e-06,1.3854405611507265e-06,7.662331138297198e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T13:31:04,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,1.9227269609982613,2.810944261880978e-05,1.461966814399826e-05,29.905667023086966,66.47574718150932,20.0,1.4857880775188959e-05,4.825059415591859e-05,1.0679273116693416e-05,7.378774804780086e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-09T13:31:04,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,0.24923072499223053,2.7275947932050345e-06,1.0944301253356092e-05,30.28383212089147,65.15376775084859,20.0,2.4569658544498774e-06,3.3194470998587633e-06,1.3835681277365704e-06,7.159981082045103e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-09T13:31:06,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,1.9283992299897363,2.8273419921345192e-05,1.466161563012132e-05,30.372208028380772,66.8464562420566,20.0,1.5024268963846621e-05,4.848476101004806e-05,1.0709161183331136e-05,7.421819115722593e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-09T13:31:06,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,0.2425861840019934,2.699608059792292e-06,1.1127683708346364e-05,30.63862854501008,65.81084512985159,20.0,2.3534268827479776e-06,3.3863915982479398e-06,1.346696966680167e-06,7.086515447676193e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-09T13:31:08,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,1.9353412409982411,2.7518622801555475e-05,1.4219119431177952e-05,30.684904306544087,67.00708367884397,20.0,1.5184112980612396e-05,4.6303370375921915e-05,1.0749352977776024e-05,7.223683633431023e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-09T13:31:08,td3_Ant-v5_seed85062,0a2bc523-1079-4770-906a-7cccef4e084e,0.24686042599205393,3.6627979590234897e-06,1.4837855681677497e-05,30.95941678684473,67.97631752023598,20.0,2.462747247966579e-06,5.783060182062982e-06,1.369097305562025e-06,9.61490473559137e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
