task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T20:58:00,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,90.0032872229931,0.0006318642394261857,7.020457330866833e-06,7.28749736395386,13.793283399951852,20.0,0.0004284339824691327,0.0007131752927620472,0.0005170447198500268,0.0016586539950812066,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T20:58:01,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,1.3693559740058845,1.648730486522587e-05,1.2040166172715162e-05,13.733104393686537,28.24232062773,20.0,1.3973042011759113e-05,2.170862847816757e-05,7.5977752778272085e-06,4.327944576775389e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T20:58:02,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.34911561199987773,3.9303236864826445e-06,1.1258076385652713e-05,19.106780534050696,33.93802510274321,20.0,3.436391915776632e-06,4.94361506575558e-06,1.9371571777608565e-06,1.0317164159293069e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T20:58:06,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,4.0394139340060065,5.635978268224515e-05,1.3952467432542816e-05,21.92995851623731,44.4792452581343,20.0,2.829232207828339e-05,9.721368888215842e-05,2.2439343238915554e-05,0.00014794535419935737,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T20:58:06,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.26991493901005015,3.5151633591413685e-06,1.3023121072389988e-05,22.869454723242175,49.62473837285205,20.0,2.082363054777686e-06,5.646671183967555e-06,1.4983272500103525e-06,9.227361488755486e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T20:58:10,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,3.8838306029938394,5.5958750511356345e-05,1.4408161679579176e-05,23.520145901936207,55.272238301192274,20.0,2.9139759700678308e-05,9.617841027620422e-05,2.1574468194416512e-05,0.00014689263817129882,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T20:58:10,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.26503923200652935,3.447381642522119e-06,1.3006337914779842e-05,24.20896645448609,57.6603483336022,20.0,2.15304533354721e-06,5.435282125931806e-06,1.4611059111000043e-06,9.049433370579129e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T20:58:14,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,3.871859457998653,5.5776984398153815e-05,1.4405748953940182e-05,24.74046225026047,60.94803478100352,20.0,3.1074740415325264e-05,9.38322972878769e-05,2.1508461438821125e-05,0.0001464154991420233,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T20:58:14,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.2548836749920156,2.805527425684762e-06,1.1007003962819583e-05,25.840813346535008,59.65728221964615,20.0,2.550688707216725e-06,3.39916938596474e-06,1.4146974277132749e-06,7.364555520894631e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T20:58:18,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,3.8550853009946877,5.6159199778474e-05,1.4567586872889922e-05,26.56658409908243,62.37866723850059,20.0,3.0069425444409492e-05,9.593424341391987e-05,2.1415151927794778e-05,0.00014741882078612425,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T20:58:19,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.25819720899744425,2.6377266245960996e-06,1.0215862416023696e-05,26.756395619286845,61.13996200520538,20.0,2.08507583472628e-06,3.4058360580679903e-06,1.433163772243391e-06,6.92407566503777e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T20:58:22,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,3.8532709169958252,5.62526610775458e-05,1.459870256702923e-05,26.91007668529166,63.31900216179906,20.0,3.050404579210686e-05,9.575507660408711e-05,2.1405035833352835e-05,0.0001476641582295467,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-09T20:58:23,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.24951576000603382,2.8765080002928368e-06,1.1528129858443006e-05,27.607710990561362,62.511357420374516,20.0,2.5627770502203995e-06,3.6030584380508657e-06,1.385045205501683e-06,7.550880693772948e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-09T20:58:26,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,3.827460283995606,5.671183595845012e-05,1.4817113045085915e-05,28.09160086583052,64.38289240494757,20.0,3.130933560300739e-05,9.629896592788789e-05,2.1261198294410472e-05,0.00014886949982530553,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-09T20:58:27,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.24691944400547072,2.797232318219045e-06,1.1327436545361837e-05,28.62713801209052,63.49281649717891,20.0,2.5349381390614434e-06,3.4372249719805126e-06,1.3706176166629943e-06,7.342780727704733e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-09T20:58:31,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,3.8270489650021773,5.564878110301467e-05,1.4540926678234412e-05,28.98586600807758,64.96287950616386,20.0,3.076171544268494e-05,9.405785302396552e-05,2.1259394922284037e-05,0.0001460789633889346,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-09T20:58:31,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.2451154449954629,3.6739934476575156e-06,1.498850241364902e-05,29.352895120202227,66.12111788539657,20.0,2.443555288177829e-06,5.8400046720752385e-06,1.3607331166793973e-06,9.644293076932573e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-09T20:58:35,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,3.8869851719937287,5.551028007812382e-05,1.4281108995751126e-05,29.550896413205972,67.33949205283704,20.0,2.7743973028494795e-05,9.637924377003948e-05,2.1592179127765104e-05,0.00014571539592629938,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-09T20:58:35,td3_Ant-v5_seed85062,ab2dfa5c-4c35-41cd-be45-2a89ac48995c,0.24147266399813816,2.8189141711933065e-06,1.1673758706392164e-05,29.859402515762014,66.6906085355401,20.0,2.416021655037015e-06,3.6436140258278016e-06,1.3400602666176079e-06,7.399695947482316e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
