task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T22:19:20,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,90.00335540800006,0.0006405561585870146,7.117024985946404e-06,37.09914288440747,840.919198069723,20.0,0.0004346913463639038,0.0007297511393560274,0.0005170279397611416,0.0016814704254810727,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T22:19:22,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,1.3332757690077415,1.6004112228186723e-05,1.2003624265155914e-05,33.95597088005534,578.8998596719099,20.0,1.429140754423408e-05,2.0314460696058134e-05,7.4051889278053e-06,4.2011057168097514e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T22:19:22,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,0.34531585800868925,4.496977097982811e-06,1.3023047952756482e-05,34.433825101063626,450.94884137111626,20.0,3.460670268538857e-06,6.4283384759722395e-06,1.915629916685339e-06,1.1804638661196435e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T22:19:31,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,9.2395152389945,0.00012496767134275528,1.3525364693289722e-05,34.48468664111138,377.5037740926664,20.0,6.181234694983828e-05,0.00021489572747190877,5.133411311665742e-05,0.0003280421875384047,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T22:19:32,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,0.26267335799639113,3.4551096203379534e-06,1.3153831051921974e-05,33.186768206451234,327.4952772007684,20.0,1.9629379592392415e-06,5.6486156299051515e-06,1.4581658499890956e-06,9.069719439133705e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T22:19:40,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,8.82127178000519,0.00012330546074580727,1.3978204530789136e-05,32.266027120711264,292.85256644662843,20.0,6.641194840729947e-05,0.00020826238883220327,4.9004520211100387e-05,0.00032367885745060313,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T22:19:41,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,0.24431204999564216,3.5685046886282544e-06,1.460547397886885e-05,32.59128716637195,266.6172242304612,20.0,2.3855041306267144e-06,5.626115612056282e-06,1.3557636111121438e-06,9.367383353795031e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T22:19:50,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,9.099719699996058,0.00012398180004237567,1.3624806607914184e-05,32.72298212187677,246.41520152400528,20.0,6.05675031761857e-05,0.00021433572702411752,5.0551029000052926e-05,0.00032545425920035625,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T22:19:50,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,0.2522414759878302,2.6258784028081964e-06,1.0410069537262714e-05,32.1740831450421,226.8704141924124,20.0,1.9236382055795587e-06,3.5691695217110464e-06,1.4001661611675415e-06,6.892973888458255e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T22:19:59,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,8.864491915999679,0.0001243609841621448,1.4029121956759401e-05,31.720467343782115,214.04466208210206,20.0,6.597380166788874e-05,0.00021123100231790204,4.9244819749987446e-05,0.00032644962373577823,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T22:19:59,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,0.24438422700040974,2.8484487841690716e-06,1.1655336696401392e-05,31.944456178741675,200.83163205546123,20.0,2.3552238286247973e-06,3.7652807902688323e-06,1.3567201722050658e-06,7.477224791098587e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T22:20:07,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,7.870909577002749,0.00011056481046683281,1.4047297563949863e-05,32.033170486960984,192.2156071606363,20.0,5.231871824382811e-05,0.00019419098868578288,4.372473451108409e-05,0.0002902344414406951,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-09T22:20:07,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,0.24398695699346717,3.4279778720332048e-06,1.4050426388379094e-05,31.735115368572504,184.54178591518826,20.0,1.903513745030172e-06,5.741115704172017e-06,1.3538687054986476e-06,8.998498154700729e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-09T22:20:15,td3_Ant-v5_seed85062,00849b3d-9ed9-4b64-928c-4787b4eda454,7.797836322992225,0.00011130669410281714,1.4274061665681641e-05,31.452670774629343,178.2339647172154,20.0,5.408920938244216e-05,0.0001947737669298899,4.331892184442651e-05,0.00029218189815675847,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
