task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T20:45:06,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,90.00293543200678,0.0006132353988195086,6.813504132833037e-06,12.45561810544049,13.46039677926995,20.0,0.00039686648554849123,0.0006958936122699599,0.0005169928850389017,0.001609752982857353,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T20:45:08,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,1.344268793000083,1.6484952295434336e-05,1.226308066535628e-05,17.146836093268778,28.34865549690458,20.0,1.4102165170611775e-05,2.170362847397911e-05,7.4674765888630345e-06,4.3273270233454026e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T20:45:08,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,0.3413581919958233,3.8551559505110595e-06,1.1293726604416773e-05,21.515847460424066,34.249566765920804,20.0,3.3024879197655205e-06,4.922781716043545e-06,1.8945779833302564e-06,1.0119847619139213e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T20:45:10,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,2.0964980460048537,3.5151163896392744e-05,1.6766644157379382e-05,23.72531224516719,49.40064391194981,20.0,1.6580171041905012e-05,6.404810679405681e-05,1.1644104094456361e-05,9.227238193041808e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T20:45:11,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,0.264081344997976,3.857235505609277e-06,1.4606008481325587e-05,25.729949969897152,54.87895094937107,20.0,2.6429362810151402e-06,6.019449259930809e-06,1.4629209444441118e-06,1.0125306485389953e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T20:45:13,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,1.9859516419965075,3.432578956602864e-05,1.7284362437596133e-05,26.624860122888908,63.483096223509996,20.0,1.5591657473315937e-05,6.34842174540573e-05,1.102988584445689e-05,9.010576077183013e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T20:45:13,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,0.2691724560063449,2.7079088065633293e-06,1.0059627091567368e-05,26.787607099135922,61.44097759247777,20.0,2.10335251601447e-06,3.5144472558812367e-06,1.490505272239563e-06,7.108305044135378e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T20:45:15,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,1.9851528560029692,3.399075377412343e-05,1.712254588988092e-05,26.941914536538686,67.21182447244152,20.0,1.5690907274937965e-05,6.250921667416698e-05,1.1026162372258569e-05,8.922628632136351e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T20:45:15,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,0.24816613500297535,3.897598399673556e-06,1.5705680707981203e-05,27.83260871586478,69.73166690543096,20.0,2.491450604269474e-06,6.36306064583092e-06,1.376748494415843e-06,1.0231259744516346e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T20:45:17,td3_Ant-v5_seed85062,af58fbf6-8088-43f3-a3c9-5f04bb297aa2,1.9765142100004596,3.4322238492262114e-05,1.7365228922618194e-05,28.189013911149928,73.97849633160251,20.0,1.5199778548701665e-05,6.391894002399923e-05,1.0977720572231562e-05,9.009643914493267e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
