task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T13:08:05,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,90.00358977500582,0.0007305401874924566,8.116788751884078e-06,18.143391616723292,18.47182652371284,20.0,0.0004455753875711316,0.0009550660418298218,0.0005170385482666057,0.001917679977667559,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T13:08:06,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,1.3395782180014066,1.6858867410847597e-05,1.2585204618578155e-05,21.234171516591115,32.74317756432075,20.0,1.4013138710501638e-05,2.2801407129957596e-05,7.440257705537841e-06,4.4254803545997184e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T13:08:07,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,0.334057109997957,3.940935599346714e-06,1.1797326637009125e-05,24.46274737769356,38.86119927054163,20.0,3.1884539396440092e-06,5.3033375762012724e-06,1.8532290888186725e-06,1.0345020604663954e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T13:08:09,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,2.212723325006664,3.23289283903547e-05,1.461054349940367e-05,25.871234016372824,49.46829381147467,20.0,1.613188568327928e-05,5.644754515787831e-05,1.2284536583319979e-05,8.486396742447746e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T13:08:09,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,0.2708534710109234,2.977148937768838e-06,1.099234769168171e-05,27.403692425947312,49.32758815398601,20.0,2.657991570835516e-06,3.6544473682731393e-06,1.502625866689651e-06,7.815064805798307e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T13:08:12,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,2.255245473992545,3.229493309244661e-05,1.4319960675561426e-05,28.0646364303,55.0470278424685,20.0,1.627645357670654e-05,5.59719892219146e-05,1.2526286411108814e-05,8.477472920973006e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T13:08:12,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,0.27031054100370966,3.7278757811170333e-06,1.3790204292370323e-05,29.017577378507557,57.49435699315947,20.0,2.6991563259817775e-06,5.589171138131732e-06,1.4974076221632802e-06,9.785735086276573e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T13:08:14,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,2.220082077998086,3.183603343900898e-05,1.434003890958029e-05,29.441740088471768,60.92559577348949,20.0,1.6745287840659595e-05,5.4493099149954816e-05,1.2331723099972235e-05,8.357011009058665e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T13:08:14,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,0.25888679799390957,2.951645138927041e-06,1.1401248478007512e-05,29.980679789913204,60.10070330403837,20.0,2.524562297420707e-06,3.786391918003673e-06,1.4371626999895148e-06,7.748116915414112e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T13:08:16,td3_Ant-v5_seed958,5c498480-8837-4df5-a7ae-36cc1ec238e8,2.1021990369918058,3.032371296857921e-05,1.442479718784428e-05,30.19031420641986,62.737490647727945,20.0,1.589708688432695e-05,5.2026152731921016e-05,1.167700442779784e-05,7.96002440440458e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
