task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T20:25:42,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,90.0033444599976,0.000627822143734464,6.975542153075439e-06,13.067173358695271,13.745605754508176,20.0,0.00042048184471854023,0.000710598346255864,0.000516963236599986,0.0016480434275743903,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T20:25:44,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,1.3427899480011547,1.5813998327513152e-05,1.177694495445337e-05,17.672172211493734,27.079045953383226,20.0,1.4009544263181989e-05,2.0044182702072533e-05,7.458278094499152e-06,4.1512005059753674e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T20:25:45,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,0.3314003420091467,4.43523416472527e-06,1.3383309751177224e-05,22.15243032536324,37.99634550827339,20.0,3.2963331926200504e-06,6.507227428009799e-06,1.8390018277892294e-06,1.1642562448419078e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T20:25:49,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,4.623470909005846,6.249655091029459e-05,1.3517254051874421e-05,24.394116467889575,47.05816049259185,20.0,3.139108872396261e-05,0.00010698008558374106,2.5683297172266373e-05,0.00016405447147996993,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T20:25:49,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,0.27047962399956305,3.455806150117662e-06,1.27773824552283e-05,25.396146239839116,50.930702168697316,20.0,2.300868785138667e-06,5.271393106021094e-06,1.4992859500731568e-06,9.071547841232918e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T20:25:53,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,3.850542932996177,5.5794002576683294e-05,1.4489916666604847e-05,26.062296316029983,56.212966086845206,20.0,3.1053785120786596e-05,9.401674188014297e-05,2.1389645138939796e-05,0.00014646017213986937,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T20:25:54,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,0.24870033000479452,3.5305736687842038e-06,1.4194905021059754e-05,27.218758041709048,59.01355492268961,20.0,2.459305578553575e-06,5.428059898004989e-06,1.3804483278363798e-06,9.267813804394835e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T20:25:57,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,3.8195511329977307,5.5570528283134155e-05,1.4548995066856767e-05,27.934298631685433,62.322404113827446,20.0,3.04581679776263e-05,9.419840869195895e-05,2.1216971783319947e-05,0.00014587354845290498,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T20:25:58,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,0.2409342310129432,2.7975653487686885e-06,1.1611131085204443e-05,28.713755387984058,61.46463101322551,20.0,2.411257484560489e-06,3.5950028760556307e-06,1.3373945777452783e-06,7.3436549383612895e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T20:26:01,td3_Ant-v5_seed958,3660b53a-d07f-4404-bd38-9f9a9cf72123,3.8543994710053084,5.645052567553293e-05,1.4645765448700522e-05,29.190594395745737,64.03572747674349,20.0,3.0689880662996064e-05,9.608229908808497e-05,2.1411376294417977e-05,0.00014818355604549922,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
