task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T21:26:19,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,90.00329758400039,0.0006417450006036076,7.130238488572875e-06,61.235977506153596,14.083533622351613,20.0,0.0004392413566705819,0.0007282541937141396,0.0005170956048944693,0.0016845911552791906,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T21:26:21,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,1.335486755007878,1.5940734905950968e-05,1.1936288787573626e-05,49.93194650439121,27.745666179398444,20.0,1.399635397485166e-05,2.042946078817387e-05,7.41887589441226e-06,4.184469065743779e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T21:26:21,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,0.33296310099831317,4.431750906934125e-06,1.3310187682851399e-05,46.17161394133175,38.501261028001764,20.0,3.2464200971325796e-06,6.539449675768694e-06,1.8475490666686753e-06,1.163341883956984e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T21:26:30,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,8.93713289599691,0.0001244857990500062,1.3929066871875858e-05,43.73626564848826,47.76098582112721,20.0,6.661860301706082e-05,0.00021051044618602965,4.96482156610808e-05,0.0003267772648641715,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T21:26:30,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,0.26663511799415573,3.423228979425384e-06,1.283887661844046e-05,41.04530979526413,52.153646196683155,20.0,2.058746091441327e-06,5.455559920042319e-06,1.4717262222094978e-06,8.986032233693035e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T21:26:39,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,8.677146347006783,0.0001194637503653225,1.3767643784271707e-05,39.07218065629301,56.95212703944834,20.0,5.8768461181395865e-05,0.00020662905419199795,4.819678929998195e-05,0.0003135943046733759,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T21:26:39,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,0.25321745198743884,2.5953762562788306e-06,1.024871573634454e-05,37.702837460525274,55.900284648987494,20.0,1.9938965951128707e-06,3.4130582859948078e-06,1.405950372281961e-06,6.812905253389748e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T21:26:48,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,8.867751750003663,0.00012238331335956388,1.3800954839813331e-05,36.59762950386705,59.192283596895145,20.0,6.127284818490536e-05,0.00021071266856997894,4.9272688677754416e-05,0.00032125820543263883,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T21:26:48,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,0.2521790559985675,2.6419517737182735e-06,1.0476766175848038e-05,35.673214277721655,58.42196580238998,20.0,1.93106432263071e-06,3.6044473281648948e-06,1.399655100006703e-06,6.935166750802416e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T21:26:57,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,8.90695763399708,0.0001231807351850247,1.3829734905047235e-05,34.89950646152656,60.843198704857535,20.0,6.343701519401918e-05,0.0002104335016799297,4.9480933933308585e-05,0.00032335145080725734,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T21:26:57,td3_Ant-v5_seed958,ceae386b-4396-48c8-9b1f-c1959ca2d5ce,0.2485514680010965,3.3937477628088932e-06,1.3653601992278327e-05,34.25192192376186,62.584453355017324,20.0,1.888373455140313e-06,5.640560067909917e-06,1.3797100333451905e-06,8.90864355639542e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
