task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-13T11:38:43,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,90.0034872910037,0.0006674646403520771,7.415985752548399e-06,11.507911909291114,901.3073577426233,20.0,0.0003972936122790746,0.0008376667812441951,0.0005171452380611299,0.0017521056315844,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-13T11:38:45,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,1.3340991880031652,1.6874969764157596e-05,1.2648918041463794e-05,16.38819251775102,621.7238025754153,20.0,1.3708929578248874e-05,2.3178351876040892e-05,7.409791033326945e-06,4.429707248761682e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-13T11:38:45,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,0.3207717609984684,3.8066190413405107e-06,1.1867376509357329e-05,20.800625033034095,480.7786902580626,20.0,3.0522949418382295e-06,5.1597263499569834e-06,1.7804161444574893e-06,9.992437436252702e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-13T11:38:48,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,2.3679930130019784,2.719678948023775e-05,1.1485195908034637e-05,22.84779384025528,397.3218497262931,20.0,1.6480429573223487e-05,4.175864451805289e-05,1.3152944494464083e-05,7.139201858574035e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-13T11:38:48,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,0.27473457899759524,2.7054793616372802e-06,9.847327448741137e-06,23.612363435567236,338.67749884224185,20.0,2.1091508539822224e-06,3.467502774023856e-06,1.5252740833400589e-06,7.1019277113461374e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-13T11:38:50,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,2.210037052995176,2.5860922683260037e-05,1.1701628985341737e-05,24.058523475816123,299.61480865318305,20.0,1.5567667176343003e-05,4.004253203393482e-05,1.2275147116694546e-05,6.788534632697204e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-13T11:38:50,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,0.25955982499726815,3.6314376831314164e-06,1.3989987485543196e-05,25.942873985354215,271.2792506943865,20.0,2.8426567185713125e-06,5.250559756087014e-06,1.439367022208521e-06,9.53258349686674e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-13T11:38:53,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,2.208418595000694,2.613744622411145e-05,1.1835376606278021e-05,26.935022078878994,248.41273153264754,20.0,1.617920461002148e-05,4.016475435397737e-05,1.2267266194450864e-05,6.861122515844972e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-13T11:38:53,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,0.250504016999912,3.4322265423306205e-06,1.3700668652524358e-05,27.664738679273842,231.07159941143178,20.0,2.4015594212514757e-06,5.217226396014851e-06,1.3908651666699528e-06,9.009650983936388e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-13T11:38:55,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,2.2082538239992573,2.5551376345452808e-05,1.1570895369136617e-05,27.95932034714539,215.98153112387115,20.0,1.4889008577864682e-05,3.991725415608549e-05,1.2266519377751887e-05,6.707278211170184e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-13T11:38:55,td3_Ant-v5_seed958,f58cd899-6176-4762-9212-abc6fad041ef,0.24395550200279104,2.712973747332533e-06,1.1120395287517037e-05,28.434385734868204,202.24799791551743,20.0,2.3001737845806947e-06,3.4669472177562e-06,1.3544795944148147e-06,7.121600596751709e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.816158294677734,machine,0.0,0.0,0.0,0.0,N
