task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T21:00:25,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,90.00269073699747,0.000611789112905806,6.797453293029222e-06,14.200735739417894,13.484797332635015,20.0,0.0003915208157164018,0.0006973202800780731,0.0005171153628111319,0.0016059564586056068,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T21:00:27,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,1.3263345570012461,1.5394962029147922e-05,1.1607111109346732e-05,17.987263002049357,26.873895706652196,20.0,1.3276869510374725e-05,1.9766960257960875e-05,7.368198133351849e-06,4.041202790168756e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T21:00:27,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,0.32553616399673047,3.7091606525137136e-06,1.1394052656039047e-05,21.82650214253677,33.70743352202926,20.0,3.0338490937444756e-06,4.896670584009222e-06,1.806087888892049e-06,9.736607566645855e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T21:00:30,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,2.3835107179984334,4.664765987576864e-05,1.9571029671163173e-05,23.688955299880064,54.61139565196781,20.0,1.7710930002067318e-05,9.150118431200394e-05,1.3238758177774629e-05,0.00012245087249184577,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T21:00:30,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,0.26195664700208,3.933593134694481e-06,1.501565259225283e-05,25.620540185598944,59.920870137370095,20.0,2.58705512519615e-06,6.285282805995607e-06,1.4534085832969713e-06,1.0325746514488728e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T21:00:32,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,2.1684694709983887,4.3347492705924566e-05,1.999005747524298e-05,26.62053234712556,71.58863124786181,20.0,1.646288178140491e-05,8.52797904459246e-05,1.2045207299969532e-05,0.00011378787952729904,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T21:00:33,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,0.250975898001343,4.210157133222817e-06,1.6774119618550717e-05,27.766079590545115,75.3360490696278,20.0,2.5310728581900283e-06,7.119172362068937e-06,1.4014863277730244e-06,1.105173154803199e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T21:00:35,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,2.0068245570000727,4.270285994770358e-05,2.1279003332408206e-05,28.40346512765218,83.88680624218853,20.0,1.6146974862015634e-05,8.481117895997592e-05,1.1137554138905266e-05,0.00011209570796089671,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T21:00:35,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,0.24854029800189892,3.1728916373422638e-06,1.2765531365897782e-05,28.98283191502258,82.11820000095344,20.0,2.3803669042914144e-06,4.5686147659429466e-06,1.3799109333679366e-06,8.328892603602298e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T21:00:37,td3_Ant-v5_seed958,43a31f6b-5208-4413-ab51-3da132954171,2.0098562609928194,4.349056793693151e-05,2.1638818385391832e-05,29.251288870518056,88.933636967574,20.0,1.531932253322557e-05,8.768118125612734e-05,1.1162950566682007e-05,0.00011416345435603503,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
