task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-17T21:39:20,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,90.00282912299735,0.0005987572442123212,6.652648948231249e-06,10.995511100373673,12.769646840889932,20.0,0.0003940158777124489,0.0006604944172839966,0.0005172372944833316,0.0015717475894797773,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-17T21:39:22,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,1.3378378830020665,1.5342771322045625e-05,1.1468290468190574e-05,15.878186529649513,25.924865679484014,20.0,1.3423285738622254e-05,1.941751553402593e-05,7.4342251666369196e-06,4.0275026439284996e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-17T21:39:22,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,0.3284520520028309,4.360620726618887e-06,1.327635650114158e-05,20.464025599487556,37.223043238536675,20.0,3.1413383464011513e-06,6.482782964001288e-06,1.8225796388530394e-06,1.1446700949255479e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-17T21:39:25,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,2.513555113997427,5.481840459116015e-05,2.1809147637246267e-05,22.748829982748482,61.5538974502309,20.0,1.9021047161272425e-05,0.00011091619984393564,1.396196441665878e-05,0.00014389921142186684,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-17T21:39:25,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,0.2750553269943339,3.675099748612332e-06,1.3360885464963044e-05,23.76683924839968,64.16900620360757,20.0,2.221336777071675e-06,5.898893608025091e-06,1.5269667499928424e-06,9.6471971350895e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-17T21:39:27,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,2.3764896619977662,5.227380339622545e-05,2.1996295247656087e-05,24.40654991644905,77.98024733225144,20.0,1.7852734837731088e-05,0.00010616647382200028,1.3200382877807362e-05,0.00013721959153753884,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-17T21:39:28,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,0.25292827199882595,4.478968372173824e-06,1.7706952555197534e-05,25.84588720109846,82.13718638864788,20.0,2.5438053683733697e-06,7.809728469920785e-06,1.4038316221963183e-06,1.1757365460490473e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-17T21:39:30,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,2.3599715890013613,5.385679549001915e-05,2.2821025680950554e-05,26.651949479703596,91.70535595814833,20.0,1.802110691687467e-05,0.00011024897708800108,1.310488774999819e-05,0.00014137497175487372,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-17T21:39:30,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,0.2483362569983001,2.7528178617176576e-06,1.1084617741847363e-05,27.442187562847312,87.5324257134088,20.0,2.4036619229311773e-06,3.4444472000183524e-06,1.378082927759399e-06,7.226192050709037e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-17T21:39:33,td3_Ant-v5_seed958,d559d76d-cd1d-4510-8b37-c54f32dd4957,2.3698641150040203,5.361765755440475e-05,2.262486798288985e-05,27.868904570900657,94.71261760419587,20.0,1.7986113555544525e-05,0.00010959786545605699,1.3163251738903116e-05,0.00014074723075050474,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81613540649414,machine,0.0,0.0,0.0,0.0,N
