task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T12:38:45,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,90.00373189599486,0.0007042222272273989,7.824366244452146e-06,13.983334283334063,17.25051566672245,20.0,0.000439831701309526,0.0008917959912138063,0.0005169672076667161,0.0018485949001900482,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T12:38:46,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,0.3009124809905188,3.865358521519145e-06,1.2844937225620193e-05,22.068572708075834,32.44024793603278,20.0,3.221667021775787e-06,5.253059758070222e-06,1.671902755576095e-06,1.0146629535422213e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T12:38:46,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,0.19655902699742,2.524454836592277e-06,1.2844102101952721e-05,25.025974383719845,41.158169813955425,20.0,1.8697237180037574e-06,3.6677807118135064e-06,1.0892309333333447e-06,6.6267353631506085e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T12:38:48,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,2.0204186080081854,2.935093344089395e-05,1.4527192338786486e-05,26.43076054275795,50.70366959139992,20.0,1.5932792746226054e-05,4.9888928800090326e-05,1.1224960277791528e-05,7.704668182410791e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T12:38:48,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,0.11990841999067925,1.4402909659583718e-06,1.2012473450799652e-05,27.080672535885256,52.73652389219069,20.0,1.0270841549961385e-06,2.0897238939276974e-06,6.639793666383823e-07,3.7807874155621098e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T12:38:50,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,1.8822425639955327,2.8106735184469582e-05,1.4932579292292553e-05,27.39687682224565,58.4658650781359,20.0,1.4790335165590363e-05,4.853531660597987e-05,1.0454989216668775e-05,7.37806409882389e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T12:38:50,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,0.11221124599978793,1.4182391856102207e-06,1.2636944924650799e-05,28.20642223500989,59.2880727712129,20.0,1.0748441932051378e-06,2.0255571759886237e-06,6.224997611652128e-07,3.7229011303589743e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T12:38:52,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,1.9095332689903444,2.8062716138253655e-05,1.4696228658187572e-05,28.539696708389556,62.737112990664755,20.0,1.5153205455885332e-05,4.7906427213861846e-05,1.0605457599982982e-05,7.366509026973016e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T12:38:52,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,0.11291547601285856,1.455161891174327e-06,1.2886599165828853e-05,29.04148388672217,63.23573095286558,20.0,1.0715889128265488e-06,2.1219461421306818e-06,6.262887832740854e-07,3.819823838231533e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T12:38:54,td3_HalfCheetah-v5_seed14577,39fbe670-adae-4439-9e35-1a80df6f449c,1.889306167999166,2.7844329144519e-05,1.473791092657271e-05,29.210257794931888,65.7617168043187,20.0,1.483531464602228e-05,4.776226043223808e-05,1.049424574998232e-05,7.309182082824257e-05,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
