task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
idle_baseline_head,2026-09-09T18:18:37,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,90.00354994498775,0.0006458545238197873,7.175877899177627e-06,10.51468059534671,14.117505687315083,20.0,0.00044846105682411555,0.0007299003061420617,0.0005170173581777717,0.0016953787211439488,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
warmup_0,2026-09-09T18:18:38,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.3087142650038004,3.6987733129830976e-06,1.1980839836776671e-05,19.345045061934616,28.08023628352755,20.0,3.1962020014056347e-06,4.799726061932574e-06,1.713412566621466e-06,9.709340629959675e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_0,2026-09-09T18:18:38,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.20297892799135298,2.457810915912199e-06,1.2109243215773324e-05,22.75620262337892,36.377380509409676,20.0,1.8783537249073001e-06,3.448336092004567e-06,1.1251041610698927e-06,6.451793977981868e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_0,2026-09-09T18:18:43,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.51706932799425,6.186563627101909e-05,1.3695984867144196e-05,24.518610581818606,45.810820621860806,20.0,3.249004154757054e-05,0.0001048164727421863,2.5091795911106967e-05,0.00016239831020086392,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_1,2026-09-09T18:18:43,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.12041858398879413,1.3201428114707325e-06,1.096371274563635e-05,24.771274649041086,47.736753537414664,20.0,8.850932080757545e-07,1.9136126419017074e-06,6.66690688861651e-07,3.465396538839113e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_1,2026-09-09T18:18:47,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.335173704996123,6.009815506581595e-05,1.3862939972111364e-05,24.98318069131529,52.8961154196016,20.0,3.269525504507459e-05,0.00010097896967198317,2.408441832222805e-05,0.0001577586430392859,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_2,2026-09-09T18:18:47,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.11961408999923151,1.299540025375182e-06,1.0863253426153944e-05,25.207807873087425,53.23004656821043,20.0,9.045732236555304e-07,1.8436125859278008e-06,6.631280777381161e-07,3.4113138873215557e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_2,2026-09-09T18:18:51,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.357424285000889,6.019470661243259e-05,1.3814306011736799e-05,25.38411820857882,56.61365735676205,20.0,3.251882962615471e-05,0.00010128646991813817,2.420679288892035e-05,0.00015801209243321334,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_3,2026-09-09T18:18:52,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.11754334000579547,2.2026830325721017e-06,1.8738262294454456e-05,26.188705171551497,63.2840496430677,20.0,1.1104986661729377e-06,4.020003215643442e-06,6.515772166797856e-07,5.782079098496165e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_3,2026-09-09T18:18:56,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.415395100004389,5.995773634807813e-05,1.35793124733675e-05,26.679852121467352,65.17522912957088,20.0,2.9739700736185204e-05,0.00010312313805416196,2.4527202811118042e-05,0.0001573900416014652,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_4,2026-09-09T18:18:56,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.12202025200531352,1.289394789351513e-06,1.0566536904395695e-05,26.68934348707448,64.18671433352971,20.0,9.232060163393008e-07,1.7902792099899756e-06,6.711972499841897e-07,3.3846824763132492e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_4,2026-09-09T18:19:01,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.410428895003861,6.0639788541677945e-05,1.374919385811293e-05,26.680924411947778,65.72637589331067,20.0,3.152997716840758e-05,0.00010315036029795444,2.4500102333291146e-05,0.00015918043979965338,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_5,2026-09-09T18:19:01,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.11353033600607887,1.4324107126893314e-06,1.261687499985578e-05,27.173086005714453,65.69137742114752,20.0,1.0776755843648622e-06,2.0533349760487596e-06,6.290910610308236e-07,3.760101621444554e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_5,2026-09-09T18:19:05,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.373862413005554,6.118678747233091e-05,1.3989201302406894e-05,27.513355223086947,66.98498233506277,20.0,3.294137885308246e-05,0.00010337841603602627,2.4296526077766134e-05,0.00016061632096687475,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_6,2026-09-09T18:19:05,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.11344759400526527,1.4329556028021793e-06,1.2629050134154988e-05,27.8614871695761,66.9104958334331,20.0,1.0608569597954365e-06,2.0713905459768256e-06,6.292844611582252e-07,3.7615319669302705e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_6,2026-09-09T18:19:10,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.41180296499806,6.08852566240394e-05,1.380056348242743e-05,28.084771862423032,67.94296905709248,20.0,3.1819351011014296e-05,0.00010349841613210842,2.450703039996575e-05,0.00015982479754308825,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_7,2026-09-09T18:19:10,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.11764977499842644,2.1178830663429703e-06,1.800030480304699e-05,28.002641985536528,70.88345154737387,20.0,8.970457176377122e-07,4.000836533846197e-06,6.61595544402746e-07,5.559477795886655e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_7,2026-09-09T18:19:14,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.379734084999654,6.068163861661525e-05,1.3855121523671272e-05,27.93431733951786,71.56578252645966,20.0,3.298086499578176e-05,0.00010198397047611607,2.4325461461072975e-05,0.0001592902969329707,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_8,2026-09-09T18:19:14,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.11743749999732245,2.261650243376651e-06,1.9256794690421873e-05,28.23279930219784,74.44093481496058,20.0,1.125232011293248e-06,4.166392221893744e-06,6.452447611081553e-07,5.936868994295148e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_8,2026-09-09T18:19:19,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.395551380002871,6.140746251454476e-05,1.3970429512190991e-05,28.433660845301887,74.96187514620777,20.0,3.254000547642244e-05,0.00010423869450226775,2.4416896594468352e-05,0.00016119559657315876,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_9,2026-09-09T18:19:19,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.1108277809980791,1.2496661360766794e-06,1.1274698692048185e-05,28.32872899315402,74.28076724495412,20.0,8.193953777400897e-07,1.845834809666158e-06,6.151639222581797e-07,3.2803941096642107e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_9,2026-09-09T18:19:23,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.401682441995945,6.099671730345644e-05,1.3857621134201425e-05,28.233003483864433,74.73886917603109,20.0,3.196898863072617e-05,0.00010369702740220532,2.445136762228991e-05,0.0001601173836552213,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
rollout_10,2026-09-09T18:19:23,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,0.11252516999957152,1.3370581589578108e-06,1.1880924856520539e-05,28.45666542051688,74.05281148347758,20.0,1.0696733557385985e-06,1.8169458977368436e-06,6.231803500364973e-07,3.5097996035119393e-06,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
gradient_updates_10,2026-09-09T18:19:28,td3_HalfCheetah-v5_seed14577,95c0b6a7-a538-48e8-95e8-f4a2dfa7f584,4.410692935998668,6.172474605285099e-05,1.3994365365997619e-05,28.61051894581011,74.49607315555265,20.0,3.323154964077896e-05,0.00010429591677030281,2.4501004655596453e-05,0.0001620284710666781,0.0,Germany,DEU,baden-wurttemberg,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.43,3.14.4,3.3.0,24,Intel(R) Core(TM) Ultra 9 285K,1,1 x NVIDIA GeForce RTX 5090,9.2986,48.7383,60.81614685058594,machine,0.0,0.0,0.0,0.0,N
